target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_ece,delta_bilstm_reconstruction_loss,delta_brier_score,delta_precision,delta_macro_precision,delta_recall,delta_macro_recall,delta_reconstruction_loss,delta_bilstm_decoder_r2,delta_balanced_accuracy,delta_roc_auc,delta_macro_f1,delta_accuracy,delta_decoder_r2,delta_loss,delta_gcn_gru_reconstruction_loss,delta_joint_loss,delta_f1,delta_gcn_gru_decoder_r2
0,3,1,"[4, 9, 13]","[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17]",3,15,2,0.6224253910470467,0.6666666666666666,0.7058823529411765,0.75,0.6666666666666666,0.660633484162896,0.6607142857142857,0.6666666666666666,0.6666666666666666,0.6851851851851852,0.21637882050945365,0.1069720983505249,0.9993253946304321,0.6088124513626099,0.29533952474594116,0.8103843331336975,0.1896156668663025,0.5989366173744202,0.40106338262557983,0.6381050693584389,0.7333333333333333,0.75,0.8571428571428571,0.6666666666666666,0.7321428571428572,0.7410714285714286,0.75,0.75,0.6851851851851852,0.22327414181752012,0.14982582330703734,0.39396363496780396,0.6088124513626099,0.2953394651412964,0.8103844523429871,0.18961554765701294,0.5989365577697754,0.4010634422302246,0.042853724956512435,-5.960464477539063e-08,0.006895321308066471,0.1071428571428571,0.0803571428571429,0.0,0.08333333333333337,0.0,5.960464477539063e-08,0.08333333333333337,0.0,0.07150937297996118,0.06666666666666665,-5.960464477539063e-08,0.015679678311392165,1.1920928955078125e-07,-0.6053617596626282,0.044117647058823484,-1.1920928955078125e-07
0,3,2,"[1, 11, 15]","[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17]",3,15,2,0.6392694224135362,0.7333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.22041498243033597,0.20887765884399417,0.39463186264038086,0.6108698844909668,0.295032799243927,0.8058522939682007,0.19414764642715454,0.6040819883346558,0.39591795206069946,0.6420348230817455,0.6666666666666666,0.7368421052631579,0.7,0.7777777777777778,0.6411483253588517,0.6499999999999999,0.6388888888888888,0.6388888888888888,0.5925925925925926,0.22074142553850115,0.20463492870330813,0.3966275155544281,0.6108698844909668,0.295032799243927,0.8058522939682007,0.19414764642715454,0.6040819883346558,0.39591795206069946,-0.004242730140686046,0.0,0.00032644310816518085,-0.07777777777777783,-0.0722222222222223,0.0,-0.08333333333333337,0.0,0.0,-0.08333333333333337,-0.0185185185185186,-0.08107389686337052,-0.06666666666666665,0.0,0.0027654006682092946,0.0,0.001995652914047241,-0.040935672514619936,0.0
0,3,3,"[2, 10, 17]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]",3,15,2,0.6090851239248833,0.7333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7037037037037037,0.2064565586290318,0.20773730278015137,0.3763669729232788,0.6134541630744934,0.2927003502845764,0.806110680103302,0.193889319896698,0.6084885597229004,0.3915114402770996,0.6192746505101733,0.6666666666666666,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6031746031746031,0.6666666666666666,0.611111111111111,0.611111111111111,0.7407407407407408,0.210900776310101,0.27671420176823935,0.385936439037323,0.6134541630744934,0.2927003502845764,0.806110680103302,0.193889319896698,0.6084885597229004,0.3915114402770996,0.06897689898808798,0.0,0.004444217681069201,-0.11111111111111116,-0.05555555555555558,0.11111111111111105,-0.11111111111111116,0.0,0.0,-0.11111111111111116,0.03703703703703709,-0.11904761904761907,-0.06666666666666665,0.0,0.010189526585289932,0.0,0.00956946611404419,-0.015873015873015928,0.0
0,3,4,"[0, 8, 12]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17]",3,15,2,0.7112599444300077,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.4999999999999999,0.2549757599256118,0.14072838226954143,0.45408058166503906,0.6239637136459351,0.2810105085372925,0.8225994110107422,0.17740052938461304,0.6153794527053833,0.3846204876899719,0.7272924907346148,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5185185185185184,0.2627618282246686,0.20859980583190918,0.4706944227218628,0.6239637136459351,0.2810105085372925,0.8225994110107422,0.17740052938461304,0.6153794527053833,0.3846204876899719,0.06787142356236775,0.0,0.007786068299056814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01851851851851849,0.0,0.0,0.0,0.016032546304607043,0.0,0.01661384105682373,0.0,0.0
0,3,5,"[6, 7, 16]","[0, 1, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 17]",3,15,2,0.6467226873559321,0.6666666666666666,0.7619047619047619,0.7272727272727273,0.8,0.6031746031746031,0.6136363636363636,0.6000000000000001,0.6000000000000001,0.5800000000000001,0.22433287235589075,0.18937870264053347,0.40860286355018616,0.6192024946212769,0.2882840037345886,0.8091738224029541,0.19082623720169067,0.614258348941803,0.3857417106628418,0.6425217864758921,0.6666666666666666,0.7619047619047619,0.7272727272727273,0.8,0.6031746031746031,0.6136363636363636,0.6000000000000001,0.6000000000000001,0.64,0.22243902370439,0.1185200850168864,0.405033677816391,0.6192024946212769,0.2882840037345886,0.8091738224029541,0.19082623720169067,0.614258348941803,0.3857417106628418,-0.07085861762364706,0.0,-0.0018938486515007458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999999999994,0.0,0.0,0.0,-0.004200900880039993,0.0,-0.003569185733795166,0.0,0.0
0,3,6,"[3, 5, 14]","[0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]",3,15,2,0.69712701255764,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.537037037037037,0.24861959205677778,0.23347852230072022,0.44858652353286743,0.6208676099777222,0.2852367162704468,0.8173542618751526,0.18264585733413696,0.6121724247932434,0.38782763481140137,0.6939362507670246,0.6,0.7,0.6363636363636364,0.7777777777777778,0.55,0.5681818181818181,0.5555555555555556,0.5555555555555556,0.5740740740740741,0.24595881414152174,0.29111407995224,0.4455130100250244,0.6208676099777222,0.2852367162704468,0.8173542618751526,0.18264585733413696,0.6121724247932434,0.38782763481140137,0.05763555765151976,0.0,-0.0026607779152560407,-0.030303030303030276,-0.015151515151515138,0.11111111111111116,-0.02777777777777768,0.0,0.0,-0.02777777777777768,0.03703703703703709,-0.033333333333333215,0.0,0.0,-0.003190761790615393,0.0,-0.0030735135078430176,0.033333333333333326,0.0
0,6,1,"[2, 3, 5, 10, 14, 17]","[0, 1, 4, 6, 7, 8, 9, 11, 12, 13, 15, 16]",6,12,2,0.651290796600069,0.6666666666666666,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.6571428571428571,0.6285714285714286,0.2260496804094466,0.25660182535648346,0.43608561158180237,0.6186152696609497,0.28801417350769043,0.8114623427391052,0.18853759765625,0.6125091910362244,0.38749080896377563,0.6747507588955455,0.6666666666666666,0.75,0.6666666666666666,0.8571428571428571,0.625,0.6666666666666666,0.6285714285714286,0.6285714285714286,0.6571428571428571,0.23584745566014878,0.40369834005832667,0.45870035886764526,0.6186152696609497,0.28801417350769043,0.8114623427391052,0.18853759765625,0.6125091910362244,0.38749080896377563,0.1470965147018432,0.0,0.00979777525070219,-0.04761904761904767,0.00952380952380949,0.1428571428571428,-0.02857142857142858,0.0,0.0,-0.02857142857142858,0.02857142857142858,-0.03214285714285714,0.0,0.0,0.023459962295476422,0.0,0.022614747285842896,0.0357142857142857,0.0
0,6,2,"[0, 6, 7, 11, 12, 16]","[1, 2, 3, 4, 5, 8, 9, 10, 13, 14, 15, 17]",6,12,2,0.7187456920628311,0.5833333333333334,0.6666666666666666,0.625,0.7142857142857143,0.5555555555555556,0.5625,0.5571428571428572,0.5571428571428572,0.5142857142857142,0.25738027431880534,0.21127257247765857,0.4705815315246582,0.6129034161567688,0.29559046030044556,0.7986103296279907,0.2013896107673645,0.6102086901664734,0.38979125022888184,0.7232695066581898,0.5833333333333334,0.6666666666666666,0.625,0.7142857142857143,0.5555555555555556,0.5625,0.5571428571428572,0.5571428571428572,0.6,0.2594811019680643,0.17755777637163794,0.4774082899093628,0.6129034161567688,0.29559046030044556,0.7986103296279907,0.2013896107673645,0.6102086901664734,0.38979125022888184,-0.03371479610602063,0.0,0.0021008276492589517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428574,0.0,0.0,0.0,0.004523814595358666,0.0,0.00682675838470459,0.0,0.0
0,6,3,"[1, 4, 8, 9, 13, 15]","[0, 2, 3, 5, 6, 7, 10, 11, 12, 14, 16, 17]",6,12,2,0.5929122593432702,0.75,0.8,0.8571428571428571,0.75,0.7333333333333334,0.7285714285714285,0.75,0.75,0.6875,0.2021610611673789,0.13689758380254108,0.3745196759700775,0.617082953453064,0.28517842292785645,0.8256646990776062,0.1743353009223938,0.6039783358573914,0.39602160453796387,0.6199292961331372,0.75,0.8,0.8571428571428571,0.75,0.7333333333333334,0.7285714285714285,0.75,0.75,0.65625,0.21385084445329125,0.18976716697216034,0.39530181884765625,0.617082953453064,0.28517842292785645,0.8256646990776062,0.1743353009223938,0.6039783358573914,0.39602160453796387,0.05286958316961926,0.0,0.011689783285912358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03125,0.0,0.0,0.0,0.027017036789867,0.0,0.020782142877578735,0.0,0.0
0,9,1,"[0, 4, 7, 8, 9, 10, 11, 14, 16]","[1, 2, 3, 5, 6, 12, 13, 15, 17]",9,9,2,0.8017021628289811,0.4444444444444444,0.5454545454545454,0.6,0.5,0.41558441558441556,0.425,0.41666666666666663,0.41666666666666663,0.44444444444444453,0.2954803620264151,0.21409495009316337,0.5771356821060181,0.6057552099227905,0.2961050271987915,0.8098816275596619,0.19011831283569336,0.597908079624176,0.4020918607711792,0.8576190742403608,0.5555555555555556,0.6,0.75,0.5,0.55,0.575,0.5833333333333333,0.5833333333333333,0.44444444444444453,0.3203924737941352,0.38112552298439867,0.632046639919281,0.6057552099227905,0.2961050271987915,0.8098816275596619,0.19011831283569336,0.597908079624176,0.4020918607711792,0.1670305728912353,0.0,0.024912111767720124,0.15000000000000002,0.14999999999999997,0.0,0.16666666666666663,0.0,0.0,0.16666666666666663,0.0,0.1344155844155845,0.11111111111111116,0.0,0.055916911411379666,0.0,0.05491095781326294,0.054545454545454564,0.0
0,9,2,"[1, 2, 3, 5, 6, 12, 13, 15, 17]","[0, 4, 7, 8, 9, 10, 11, 14, 16]",9,9,2,0.5069273135765662,0.8888888888888888,0.9090909090909091,0.8333333333333334,1.0,0.8831168831168831,0.9166666666666667,0.875,0.875,0.85,0.16157948375803027,0.22673306862513223,0.33597850799560547,0.6266459226608276,0.2830836772918701,0.8139433860778809,0.18605667352676392,0.6198894381523132,0.38011062145233154,0.5331889468718836,0.7777777777777778,0.8333333333333334,0.7142857142857143,1.0,0.75,0.8571428571428572,0.75,0.75,0.85,0.17393349114282478,0.1295592453744676,0.35739731788635254,0.6266459226608276,0.2830836772918701,0.8139433860778809,0.18605667352676392,0.6198894381523132,0.38011062145233154,-0.09717382325066462,0.0,0.012354007384794502,-0.11904761904761907,-0.059523809523809534,0.0,-0.125,0.0,0.0,-0.125,0.0,-0.13311688311688308,-0.11111111111111105,0.0,0.026261633295317388,0.0,0.02141880989074707,-0.07575757575757569,0.0
0,12,1,"[1, 2, 3, 5, 6, 7, 8, 9, 13, 14, 15, 17]","[0, 4, 10, 11, 12, 16]",12,6,2,0.5484353910343874,0.8333333333333334,0.8888888888888888,0.8,1.0,0.7777777777777777,0.9,0.75,0.75,0.75,0.1809784306818211,0.3007755080858866,0.4466179311275482,0.6442225575447083,0.2640197277069092,0.83897465467453,0.16102540493011475,0.6329860091209412,0.3670140504837036,0.5666414729089434,0.8333333333333334,0.8888888888888888,0.8,1.0,0.7777777777777777,0.9,0.75,0.75,0.75,0.1891305818098797,0.31240853667259216,0.46025392413139343,0.6442225575447083,0.2640197277069092,0.83897465467453,0.16102540493011475,0.6329860091209412,0.3670140504837036,0.011633028586705563,0.0,0.008152151128058616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01820608187455597,0.0,0.013635993003845215,0.0,0.0
0,12,2,"[1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15]","[0, 2, 5, 14, 16, 17]",12,6,2,0.5365230226684217,0.8333333333333334,0.8571428571428571,1.0,0.75,0.8285714285714285,0.8333333333333333,0.875,0.875,0.875,0.17499083548265926,0.2765842080116272,0.40713730454444885,0.6057177782058716,0.2944929003715515,0.827756941318512,0.17224305868148804,0.583257257938385,0.416742742061615,0.5214779415247218,0.8333333333333334,0.8571428571428571,1.0,0.75,0.8285714285714285,0.8333333333333333,0.875,0.875,0.875,0.167746623248317,0.3960710068543752,0.3933055102825165,0.6057177782058716,0.2944929003715515,0.827756941318512,0.17224305868148804,0.583257257938385,0.416742742061615,0.11948679884274799,0.0,-0.007244212234342268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015045081143699846,0.0,-0.013831794261932373,0.0,0.0
