target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_recall,delta_precision,delta_ece,delta_macro_precision,delta_roc_auc,delta_balanced_accuracy,delta_macro_f1,delta_macro_recall,delta_brier_score,delta_f1,delta_joint_loss,delta_decoder_r2,delta_reconstruction_loss,delta_bilstm_reconstruction_loss,delta_accuracy,delta_loss,delta_gcn_gru_decoder_r2,delta_gcn_gru_reconstruction_loss,delta_bilstm_decoder_r2
0,3,1,"[12, 14, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16]",3,15,20,0.6920903454458449,0.6666666666666666,0.7619047619047619,0.8,0.7272727272727273,0.6031746031746031,0.6000000000000001,0.6136363636363636,0.6136363636363636,0.5454545454545454,0.24947158688152543,0.16469908952713008,0.6864281892776489,0.8139403462409973,0.18605953454971313,0.9196704626083374,0.08032947778701782,0.7082102298736572,0.291789710521698,0.6920810176686475,0.6666666666666666,0.7619047619047619,0.8,0.7272727272727273,0.6031746031746031,0.6000000000000001,0.6136363636363636,0.6136363636363636,0.5454545454545454,0.24946692230586803,0.1647516171137492,0.6027451157569885,0.8139403462409973,0.18605953454971313,0.9196704626083374,0.08032947778701782,0.7082102298736572,0.291789710521698,0.0,0.0,5.2527586619111055e-05,0.0,0.0,0.0,0.0,0.0,-4.6645756573981956e-06,0.0,-0.0836830735206604,0.0,0.0,0.0,0.0,-9.32777719742095e-06,0.0,0.0,0.0
0,3,2,"[4, 15, 16]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17]",3,15,20,0.6912922618519481,0.6666666666666666,0.7619047619047619,0.8,0.7272727272727273,0.6031746031746031,0.6000000000000001,0.6136363636363636,0.6136363636363636,0.5681818181818181,0.24907258963035125,0.16429595152537024,0.5876297354698181,0.8176330327987671,0.18236684799194336,0.9249826669692993,0.07501727342605591,0.7102834582328796,0.2897164821624756,0.6913572200612926,0.5333333333333333,0.6666666666666666,0.7,0.6363636363636364,0.4444444444444444,0.44999999999999996,0.4431818181818182,0.4431818181818182,0.5227272727272727,0.2491050720924336,0.030992289384206173,0.5840946435928345,0.8176330327987671,0.18236684799194336,0.9249826669692993,0.07501727342605591,0.7102834582328796,0.2897164821624756,-0.09090909090909094,-0.10000000000000009,-0.13330366214116407,-0.15000000000000013,-0.045454545454545414,-0.17045454545454547,-0.15873015873015872,-0.17045454545454547,3.2482462082344954e-05,-0.09523809523809523,-0.0035350918769836426,0.0,0.0,0.0,-0.1333333333333333,6.495820934449004e-05,0.0,0.0,0.0
0,3,3,"[6, 7, 9]","[0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17]",3,15,20,0.6911525381897721,0.6666666666666666,0.7619047619047619,0.8,0.7272727272727273,0.6031746031746031,0.6000000000000001,0.6136363636363636,0.6136363636363636,0.5909090909090909,0.24900273394921116,0.16422550678253167,0.5906563997268677,0.8217930793762207,0.1782069206237793,0.9245827198028564,0.07541728019714355,0.7190034985542297,0.28099650144577026,0.6907357960727988,0.6,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.48863636363636365,0.48863636363636365,0.48863636363636365,0.48863636363636365,0.5909090909090908,0.24879439326638958,0.09744657278060909,0.5898275375366211,0.8217930793762207,0.1782069206237793,0.9245827198028564,0.07541728019714355,0.7190034985542297,0.28099650144577026,0.0,-0.07272727272727275,-0.06677893400192259,-0.11136363636363644,-1.1102230246251565e-16,-0.125,-0.1145382395382395,-0.125,-0.00020834068282157836,-0.03463203463203457,-0.000828862190246582,0.0,0.0,0.0,-0.06666666666666665,-0.0004167421169732899,0.0,0.0,0.0
0,3,4,"[2, 5, 13]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]",3,15,20,0.69012532214248,0.8,0.8571428571428571,0.9,0.8181818181818182,0.7619047619047619,0.75,0.7840909090909092,0.7840909090909092,0.7045454545454546,0.2484891253219228,0.2972870429356893,0.5945814251899719,0.8238175511360168,0.17618238925933838,0.9262564182281494,0.07374358177185059,0.7213786840438843,0.2786213159561157,0.6900834030548064,0.7333333333333333,0.8,0.8888888888888888,0.7272727272727273,0.7,0.6944444444444444,0.7386363636363636,0.7386363636363636,0.6363636363636365,0.2484681729617247,0.23059742053349808,0.5910657644271851,0.8238175511360168,0.17618238925933838,0.9262564182281494,0.07374358177185059,0.7213786840438843,0.2786213159561157,-0.09090909090909094,-0.011111111111111183,-0.06668962240219123,-0.05555555555555558,-0.06818181818181812,-0.045454545454545525,-0.06190476190476191,-0.045454545454545525,-2.0952360198112085e-05,-0.05714285714285705,-0.0035156607627868652,0.0,0.0,0.0,-0.06666666666666676,-4.191908767359198e-05,0.0,0.0,0.0
0,3,5,"[0, 8, 11]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17]",3,15,20,0.6902532779482013,0.8,0.8571428571428571,0.9,0.8181818181818182,0.7619047619047619,0.75,0.7840909090909092,0.7840909090909092,0.7727272727272727,0.24855310653626653,0.2978059013684591,0.5894848108291626,0.8232882022857666,0.17671173810958862,0.9295732975006104,0.07042670249938965,0.7170031666755676,0.2829968333244324,0.6902099605130498,0.8,0.8571428571428571,0.9,0.8181818181818182,0.7619047619047619,0.75,0.7840909090909092,0.7840909090909092,0.75,0.24853146434829268,0.29780607620875044,0.5912759304046631,0.8232882022857666,0.17671173810958862,0.9295732975006104,0.07042670249938965,0.7170031666755676,0.2829968333244324,0.0,0.0,1.748402913559488e-07,0.0,-0.022727272727272707,0.0,0.0,0.0,-2.1642187973847093e-05,0.0,0.0017911195755004883,0.0,0.0,0.0,0.0,-4.3317435151513095e-05,0.0,0.0,0.0
0,3,6,"[1, 3, 10]","[0, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17]",3,15,20,0.6900501488443506,0.7333333333333333,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.24845154502781466,0.2308363795280456,0.6020783185958862,0.8231641054153442,0.17683595418930054,0.9267704486846924,0.07322955131530762,0.7195577621459961,0.2804422378540039,0.6898720144544328,0.6666666666666666,0.7619047619047619,0.7272727272727273,0.8,0.6031746031746031,0.6136363636363636,0.6000000000000001,0.6000000000000001,0.72,0.24836249856753412,0.16395054658253982,0.5975276827812195,0.8231641054153442,0.17683595418930054,0.9267704486846924,0.07322955131530762,0.7195577621459961,0.2804422378540039,0.0,-0.07272727272727275,-0.06688583294550576,-0.08636363636363631,0.020000000000000018,-0.09999999999999987,-0.09682539682539681,-0.09999999999999987,-8.904646028054519e-05,-0.03809523809523818,-0.004550635814666748,0.0,0.0,0.0,-0.06666666666666665,-0.0001781343899177612,0.0,0.0,0.0
0,6,1,"[2, 4, 7, 12, 13, 16]","[0, 1, 3, 5, 6, 8, 9, 10, 11, 14, 15, 17]",6,12,20,0.6917601025575082,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.24930646291821565,0.1643623560667038,0.6055395603179932,0.8196243643760681,0.18037551641464233,0.9243155121803284,0.07568436861038208,0.7149332165718079,0.28506672382354736,0.6914730080829371,0.5833333333333334,0.7368421052631579,0.7,0.7777777777777778,0.3684210526315789,0.35,0.3888888888888889,0.3888888888888889,0.4814814814814815,0.2491629269631576,0.08076691130797076,0.6017982959747314,0.8196243643760681,0.18037551641464233,0.9243155121803284,0.07568436861038208,0.7149332165718079,0.28506672382354736,0.0,-0.07777777777777783,-0.08359544475873304,-0.2055555555555556,-0.07407407407407407,-0.16666666666666669,-0.18713450292397665,-0.16666666666666669,-0.0001435359550580606,-0.040935672514619936,-0.0037412643432617188,0.0,0.0,0.0,-0.08333333333333326,-0.0002870944745710924,0.0,0.0,0.0
0,6,2,"[0, 3, 8, 9, 10, 11]","[1, 2, 4, 5, 6, 7, 12, 13, 14, 15, 16, 17]",6,12,20,0.6902455548088614,0.75,0.8,0.8571428571428571,0.75,0.7333333333333334,0.7285714285714285,0.75,0.75,0.71875,0.2485492565882088,0.24761604269345605,0.6085595488548279,0.8193863034248352,0.18061363697052002,0.9294397234916687,0.07056021690368652,0.7093328833580017,0.2906670570373535,0.6899143194878002,0.5,0.6666666666666666,0.6,0.75,0.3333333333333333,0.3,0.375,0.375,0.71875,0.24838368491060367,0.002643952767054203,0.6004125475883484,0.8193863034248352,0.18061363697052002,0.9294397234916687,0.07056021690368652,0.7093328833580017,0.2906670570373535,0.0,-0.2571428571428571,-0.24497208992640185,-0.42857142857142855,0.0,-0.375,-0.4000000000000001,-0.375,-0.0001655716776051419,-0.13333333333333341,-0.008147001266479492,0.0,0.0,0.0,-0.25,-0.00033123532106116294,0.0,0.0,0.0
0,6,3,"[1, 5, 6, 14, 15, 17]","[0, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 16]",6,12,20,0.6904762898449291,0.75,0.8235294117647058,0.875,0.7777777777777778,0.6974789915966386,0.6875,0.7222222222222222,0.7222222222222222,0.6296296296296298,0.24866462416712146,0.2475965370734533,0.6181644201278687,0.8228073120117188,0.17719262838363647,0.9221627116203308,0.07783722877502441,0.7234519124031067,0.27654802799224854,0.6908048635215406,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6296296296296297,0.24882888510964607,0.1644594371318817,0.6120111346244812,0.8228073120117188,0.17719262838363647,0.9221627116203308,0.07783722877502441,0.7234519124031067,0.27654802799224854,0.0,-0.09722222222222221,-0.08313709994157159,-0.13194444444444442,-1.1102230246251565e-16,-0.16666666666666663,-0.14192343604108304,-0.16666666666666663,0.00016426094252461332,-0.04575163398692805,-0.006153285503387451,0.0,0.0,0.0,-0.08333333333333337,0.0003285736766114322,0.0,0.0,0.0
0,9,1,"[2, 6, 7, 8, 12, 13, 14, 15, 17]","[0, 1, 3, 4, 5, 9, 10, 11, 16]",9,9,20,0.6914933087708505,0.6666666666666666,0.7692307692307693,0.8333333333333334,0.7142857142857143,0.5846153846153846,0.5833333333333334,0.6071428571428572,0.6071428571428572,0.6428571428571428,0.2491730828247119,0.16453695959515036,0.6618622541427612,0.8192430734634399,0.18075692653656006,0.9240822792053223,0.07591766119003296,0.7144038081169128,0.2855961322784424,0.691234738538884,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.24904380344293042,0.05322878228293526,0.6628485918045044,0.8192430734634399,0.18075692653656006,0.9240822792053223,0.07591766119003296,0.7144038081169128,0.2855961322784424,0.0,-0.11904761904761907,-0.1113081773122151,-0.22619047619047622,-0.0714285714285714,-0.25000000000000006,-0.2274725274725275,-0.25000000000000006,-0.00012927938178147746,-0.05494505494505497,0.000986337661743164,0.0,0.0,0.0,-0.11111111111111105,-0.0002585702319665151,0.0,0.0,0.0
