config_index,is_selected,selection_level,selection_metric,selection_score,selection_score_std,n_folds,config,window_loss_mean,window_joint_loss_mean,window_keras_model_loss_mean,window_accuracy_mean,window_f1_mean,window_precision_mean,window_recall_mean,window_decoder_accuracy_mean,window_loss_std,window_joint_loss_std,window_keras_model_loss_std,window_accuracy_std,window_f1_std,window_precision_std,window_recall_std,window_decoder_accuracy_std,trial_loss_mean,trial_accuracy_mean,trial_f1_mean,trial_precision_mean,trial_recall_mean,trial_loss_std,trial_accuracy_std,trial_f1_std,trial_precision_std,trial_recall_std
0,0,trial,f1,0.4594907407407407,0.021990740740740727,2,"{""activation"": ""relu"", ""ae_loss_weight"": 0.5, ""batch_size"": 32, ""bilstm_dropout"": 0.1, ""bilstm_layers"": 1, ""bilstm_units"": 256, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.0, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",0.6720800269418397,0.9625940918922424,0.9625940918922424,0.7166666666666667,0.4819039770636013,0.6890103056147833,0.5341450216450216,0.40376442670822144,0.01700995288673507,0.07797080278396606,0.07797080278396606,0.061111111111111116,0.028536451081687397,0.04908493248045487,0.028192640692640714,0.12076824903488159,0.6720448838855586,0.6944444444444444,0.4594907407407407,0.4756944444444444,0.512987012987013,0.01702606330745393,0.08333333333333331,0.021990740740740727,0.08680555555555555,0.012987012987012991
1,0,trial,f1,0.4776785714285714,0.0401785714285714,2,"{""activation"": ""relu"", ""ae_loss_weight"": 0.5, ""batch_size"": 32, ""bilstm_dropout"": 0.1, ""bilstm_layers"": 1, ""bilstm_units"": 256, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.0, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.6903526228771586,1.0911161601543427,1.0911161601543427,0.7240740740740741,0.5091050368395906,0.7231627317896925,0.5484307359307359,0.23622280359268188,0.0024200905196343214,0.10990205407142639,0.10990205407142639,0.05740740740740741,0.025056453843639193,0.030709901601013223,0.028192640692640658,0.21470576524734497,0.6903508210730874,0.7222222222222222,0.4776785714285714,0.6062091503267973,0.5357142857142857,0.0024218638783704005,0.05555555555555558,0.0401785714285714,0.21732026143790847,0.0357142857142857
2,1,trial,f1,0.6095751231527093,0.052924876847290636,2,"{""activation"": ""relu"", ""ae_loss_weight"": 0.5, ""batch_size"": 32, ""bilstm_dropout"": 0.1, ""bilstm_layers"": 1, ""bilstm_units"": 256, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.0, ""vc_alpha"": 1.0, ""vc_beta"": 0.4, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",0.6922021787679908,1.9023190140724182,1.9023190140724182,0.6370370370370371,0.5842615179862016,0.589266830883323,0.5972402597402597,0.235993891954422,0.0006498178872518801,0.28025931119918823,0.28025931119918823,0.007407407407407418,0.04289270207566309,0.04742718376344757,0.04604978354978351,0.11019203066825867,0.6922008770659901,0.6944444444444444,0.6095751231527093,0.6166666666666667,0.614448051948052,0.0006510429038610877,0.02777777777777779,0.052924876847290636,0.050000000000000044,0.06087662337662336
3,0,trial,f1,0.3275,0.04749999999999999,2,"{""activation"": ""relu"", ""ae_loss_weight"": 0.5, ""batch_size"": 32, ""bilstm_dropout"": 0.1, ""bilstm_layers"": 1, ""bilstm_units"": 256, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.0, ""vc_alpha"": 1.0, ""vc_beta"": 0.4, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.6924670563987376,1.7646275758743286,1.7646275758743286,0.5222222222222223,0.410543931097412,0.5699780040683283,0.49036796536796534,0.41545918583869934,0.0008058644736643195,0.4048877954483032,0.4048877954483032,0.06666666666666668,0.01806562830088354,0.13835532926500504,0.0641774891774892,0.12595269083976746,0.6924622963069411,0.41666666666666663,0.3275,0.5120320855614973,0.3977272727272727,0.0008064336299434816,0.027777777777777762,0.04749999999999999,0.19385026737967911,0.1477272727272727
