step,target_loss_component,decoded_distance_reference,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,typicality,discrepancy,weighted_typicality,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm,low_gradient_steps,physiological_valid,feasible,optimization_stage,typicality_no_improvement_steps,typicality_threshold,typical,optimization_success,decoder_latent_rmse,d_z,delta_dec_joint,selected_step_so_far
0,confidence,original_reconstruction,0.01,62.66341018676758,1.1024835109710693,0.0,0.0,61.56092834472656,1.1024835109710693,0.0,0.0,61.56092834472656,0.0,1.1024835109710693,1.9469847679138184,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9910761117935181,1.0173143148422241,0.0,0,0.2656363248825073,False,0.7343636155128479,0.2656363248825073,71.29289245605469,0,False,False,target,0,1.0264744748338128,True,False,0.0,0.0,0.0,0
1,confidence,original_reconstruction,0.01,266.3836669921875,0.8596567511558533,9.819091064855456e-05,0.005852872040122747,265.5234069824219,0.8596567511558533,9.819091246754397e-06,0.0005852872272953391,265.5234069824219,0.005852872040122747,0.8596567511558533,1.432228684425354,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9859996438026428,1.0121034383773804,0.0,0,0.33864590525627136,False,0.661354124546051,0.33864590525627136,522.7329711914062,0,False,False,target,0,1.0264744748338128,True,False,0.009909132495522499,0.04582369700074196,0.07650406658649445,0
2,confidence,original_reconstruction,0.01,51.96600341796875,0.7143883109092712,0.00021924817701801658,0.01088528148829937,51.25050354003906,0.7143883109092712,2.1924817701801658e-05,0.0010885281953960657,51.25050354003906,0.01088528148829937,0.7143883109092712,1.1408015489578247,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9827244877815247,1.0087416172027588,0.0,0,0.39159315824508667,False,0.6084068417549133,0.39159315824508667,41.63945770263672,0,False,False,target,0,1.0264744748338128,True,False,0.014807031489908695,0.07516982406377792,0.10433255136013031,2
3,confidence,original_reconstruction,0.01,46.10022735595703,0.5190636515617371,0.0003377317334525287,0.011914239265024662,45.57993698120117,0.5190636515617371,3.377317261765711e-05,0.001191423973068595,45.57993698120117,0.011914239265024662,0.5190636515617371,0.777741014957428,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9778758883476257,1.0037646293640137,0.0,0,0.47606202960014343,False,0.523938000202179,0.47606202960014343,150.8494415283203,0,False,False,target,0,1.0264744748338128,True,False,0.018377479165792465,0.11746980249881744,0.10915236175060272,3
4,confidence,original_reconstruction,0.01,12.982256889343262,0.37491774559020996,0.0004670748603530228,0.016417309641838074,12.605650901794434,0.37491774559020996,4.670748603530228e-05,0.001641731010749936,12.605650901794434,0.016417309641838074,0.37491774559020996,0.5384026169776917,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9737424850463867,0.999521791934967,0.0,1,0.5498766899108887,False,0.45012331008911133,0.5498766899108887,22.70403289794922,0,False,False,target,0,1.0264744748338128,True,False,0.021611914038658142,0.1535056084394455,0.12813004851341248,4
5,confidence,original_reconstruction,0.01,2.155069589614868,0.22357527911663055,0.0005891647888347507,0.019417190924286842,1.9294936656951904,0.22357527911663055,5.891648106626235e-05,0.0019417190924286842,1.9294936656951904,0.019417190924286842,0.22357527911663055,0.3218843340873718,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9682806730270386,0.9939153790473938,0.0,1,0.6397237777709961,False,0.3602762520313263,0.6397237777709961,1.5014418363571167,0,False,False,target,0,1.0264744748338128,True,False,0.02427271567285061,0.19839870929718018,0.13934558629989624,5
6,confidence,original_reconstruction,0.01,6.986330509185791,0.0732431560754776,0.0007165233255364001,0.022969234734773636,6.91071891784668,0.0732431560754776,7.165233546402305e-05,0.002296923426911235,6.91071891784668,0.022969234734773636,0.0732431560754776,0.15204644203186035,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9610946774482727,0.9865391254425049,0.0,1,0.7434998750686646,False,0.25650012493133545,0.7434998750686646,28.064434051513672,0,False,False,target,0,1.0264744748338128,True,False,0.026767952367663383,0.25552526116371155,0.15155604481697083,5
7,confidence,original_reconstruction,0.01,2.3026745319366455,0.0,0.0008390544098801911,0.028219696134328842,2.2997686862945557,0.0,8.390544098801911e-05,0.0028219695668667555,2.2997686862945557,0.028219696134328842,0.0,0.07447454333305359,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9548023343086243,0.980080246925354,0.0,1,0.8164143562316895,True,0.18358561396598816,0.8164143562316895,2.4873533248901367,0,False,False,target,0,1.0264744748338128,True,False,0.02896643616259098,0.3049617409706116,0.1679871827363968,5
8,confidence,original_reconstruction,0.01,2.201831340789795,0.0,0.000957794429268688,0.03134823590517044,2.1986007690429688,0.0,9.577944729244336e-05,0.003134823637083173,2.1986007690429688,0.03134823590517044,0.0,0.040141329169273376,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9496413469314575,0.9747825860977173,0.0,1,0.863376259803772,True,0.13662369549274445,0.863376259803772,2.539426803588867,0,False,False,target,0,1.0264744748338128,True,False,0.030948253348469734,0.34522005915641785,0.17705433070659637,5
9,confidence,original_reconstruction,0.01,0.4346622824668884,0.0,0.0010724118910729885,0.03281548619270325,0.431273490190506,0.0,0.00010724119056249037,0.0032815486192703247,0.431273490190506,0.03281548619270325,0.0,0.023667437955737114,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9453656673431396,0.970393717288971,0.0,1,0.8941889405250549,True,0.10581105202436447,0.8941889405250549,0.6174910664558411,0,False,False,target,0,1.0264744748338128,True,False,0.032747700810432434,0.37828439474105835,0.18115045130252838,9
