target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_reconstruction_loss,delta_gcn_gru_decoder_r2,delta_precision,delta_recall,delta_decoder_r2,delta_macro_recall,delta_brier_score,delta_ece,delta_bilstm_decoder_r2,delta_accuracy,delta_gcn_gru_reconstruction_loss,delta_f1,delta_bilstm_reconstruction_loss,delta_loss,delta_joint_loss,delta_balanced_accuracy,delta_macro_precision,delta_macro_f1,delta_roc_auc
0,3,1,"[12, 14, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16]",3,15,30,0.6935230988929695,0.5333333333333333,0.5882352941176471,0.8333333333333334,0.45454545454545453,0.5248868778280543,0.5833333333333334,0.6022727272727273,0.6022727272727273,0.4772727272727273,0.250187951547428,0.030805869897206573,0.6190029978752136,0.8847135901451111,0.11528635025024414,0.96797114610672,0.032028794288635254,0.8014560341835022,0.19854390621185303,0.693689137484234,0.6,0.6666666666666666,0.8571428571428571,0.5454545454545454,0.5833333333333333,0.6160714285714286,0.6477272727272727,0.6477272727272727,0.4772727272727273,0.2502709545047385,0.09753621816635127,0.5656041502952576,0.8847135901451111,0.11528635025024414,0.96797114610672,0.032028794288635254,0.8014560341835022,0.19854390621185303,0.0,0.0,0.023809523809523725,0.09090909090909088,0.0,0.045454545454545414,8.300295731050733e-05,0.0667303482691447,0.0,0.06666666666666665,0.0,0.07843137254901955,0.0,0.0001660385912645168,-0.053398847579956055,0.045454545454545414,0.03273809523809523,0.05844645550527894,0.0
0,3,2,"[4, 15, 16]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17]",3,15,30,0.6945998631844504,0.4,0.47058823529411764,0.6666666666666666,0.36363636363636365,0.3891402714932127,0.4444444444444444,0.4318181818181818,0.4318181818181818,0.4318181818181819,0.2507263182886444,0.1024908145268758,0.5605233311653137,0.884458601474762,0.11554127931594849,0.9699940085411072,0.03000587224960327,0.7989231944084167,0.20107674598693848,0.6939809600939484,0.4,0.47058823529411764,0.6666666666666666,0.36363636363636365,0.3891402714932127,0.4444444444444444,0.4318181818181818,0.4318181818181818,0.4318181818181818,0.25041686848607536,0.102403994401296,0.5598176717758179,0.884458601474762,0.11554127931594849,0.9699940085411072,0.03000587224960327,0.7989231944084167,0.20107674598693848,0.0,0.0,0.0,0.0,0.0,0.0,-0.00030944980256902843,-8.682012557981178e-05,0.0,0.0,0.0,0.0,0.0,-0.0006189030905020543,-0.0007056593894958496,0.0,0.0,0.0,-5.551115123125783e-17
0,3,3,"[6, 7, 9]","[0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17]",3,15,30,0.6942805563110166,0.4666666666666667,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.4444444444444444,0.48214285714285715,0.4772727272727273,0.4772727272727273,0.4318181818181818,0.25056666034330566,0.03578719695409138,0.5538646578788757,0.8877996206283569,0.11220031976699829,0.9699665307998657,0.030033469200134277,0.8056327700614929,0.19436722993850708,0.6941429465110299,0.4666666666666667,0.5555555555555556,0.7142857142857143,0.45454545454545453,0.4444444444444444,0.48214285714285715,0.4772727272727273,0.4772727272727273,0.4772727272727273,0.25049785523403684,0.03568668365478511,0.5540775060653687,0.8877996206283569,0.11220031976699829,0.9699665307998657,0.030033469200134277,0.8056327700614929,0.19436722993850708,0.0,0.0,0.0,0.0,0.0,0.0,-6.880510926882133e-05,-0.00010051329930627073,0.0,0.0,0.0,0.0,0.0,-0.000137609799986671,0.00021284818649291992,0.0,0.0,0.0,0.04545454545454547
0,3,4,"[2, 5, 13]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]",3,15,30,0.6945778858950393,0.4,0.4,0.75,0.2727272727272727,0.4,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.4772727272727273,0.2507153331473896,0.10255376497904456,0.5608651041984558,0.8888020515441895,0.11119788885116577,0.9707808494567871,0.02921915054321289,0.8068233132362366,0.19317668676376343,0.6942960734854675,0.4,0.4,0.75,0.2727272727272727,0.4,0.5113636363636364,0.5113636363636364,0.5113636363636364,0.4545454545454545,0.2505744306692385,0.10267482995986932,0.5583879351615906,0.8888020515441895,0.11119788885116577,0.9707808494567871,0.02921915054321289,0.8068233132362366,0.19317668676376343,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001409024781510726,0.0001210649808247588,0.0,0.0,0.0,0.0,0.0,-0.0002818124095718133,-0.0024771690368652344,0.0,0.0,0.0,-0.022727272727272818
0,3,5,"[0, 8, 11]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17]",3,15,30,0.6944602162824,0.4,0.47058823529411764,0.6666666666666666,0.36363636363636365,0.3891402714932127,0.4444444444444444,0.4318181818181818,0.4318181818181818,0.40909090909090906,0.25065649897044473,0.10248717069625857,0.5515949726104736,0.8863674402236938,0.11363250017166138,0.9719026684761047,0.028097331523895264,0.8008322715759277,0.19916772842407227,0.6940599186817498,0.4,0.47058823529411764,0.6666666666666666,0.36363636363636365,0.3891402714932127,0.4444444444444444,0.4318181818181818,0.4318181818181818,0.5227272727272727,0.25045634807736467,0.10241104761759434,0.5511904954910278,0.8863674402236938,0.11363250017166138,0.9719026684761047,0.028097331523895264,0.8008322715759277,0.19916772842407227,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002001508930800644,-7.61230786642253e-05,0.0,0.0,0.0,0.0,0.0,-0.00040029760065019016,-0.0004044771194458008,0.0,0.0,0.0,0.11363636363636365
0,3,6,"[1, 3, 10]","[0, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17]",3,15,30,0.6941111533740745,0.4666666666666667,0.5,0.6666666666666666,0.4,0.4642857142857143,0.5,0.5,0.5,0.44,0.25048196912594994,0.035841838518778424,0.555151641368866,0.888149619102478,0.11185038089752197,0.9708866477012634,0.029113352298736572,0.8054125308990479,0.19458746910095215,0.6936972057285001,0.6,0.625,0.8333333333333334,0.5,0.5982142857142857,0.6388888888888888,0.65,0.65,0.44000000000000006,0.25027501919650574,0.0973123033841451,0.5537993907928467,0.888149619102478,0.11185038089752197,0.9708866477012634,0.029113352298736572,0.8054125308990479,0.19458746910095215,0.0,0.0,0.16666666666666674,0.09999999999999998,0.0,0.15000000000000002,-0.0002069499294442001,0.06147046486536667,0.0,0.1333333333333333,0.0,0.125,0.0,-0.0004139476455743418,-0.0013522505760192871,0.15000000000000002,0.13888888888888884,0.1339285714285714,5.551115123125783e-17
0,6,1,"[2, 4, 7, 12, 13, 16]","[0, 1, 3, 5, 6, 8, 9, 10, 11, 14, 15, 17]",6,12,30,0.6955764026275378,0.3333333333333333,0.42857142857142855,0.6,0.3333333333333333,0.3142857142857143,0.37142857142857144,0.3333333333333333,0.3333333333333333,0.2962962962962963,0.25121457290189947,0.16925841073195141,0.5806833505630493,0.8866989612579346,0.11330091953277588,0.969748318195343,0.03025156259536743,0.8036496639251709,0.19635027647018433,0.6957675004876357,0.3333333333333333,0.42857142857142855,0.6,0.3333333333333333,0.3142857142857143,0.37142857142857144,0.3333333333333333,0.3333333333333333,0.2962962962962963,0.2513101102133561,0.1692412445942561,0.5813964009284973,0.8866989612579346,0.11330091953277588,0.969748318195343,0.03025156259536743,0.8036496639251709,0.19635027647018433,0.0,0.0,0.0,0.0,0.0,0.0,9.553731145661715e-05,-1.71661376953125e-05,0.0,0.0,0.0,0.0,0.0,0.00019109786009785523,0.000713050365447998,0.0,0.0,0.0,0.0
0,6,2,"[0, 3, 8, 9, 10, 11]","[1, 2, 4, 5, 6, 7, 12, 13, 14, 15, 16, 17]",6,12,30,0.694586329939157,0.4166666666666667,0.46153846153846156,0.6,0.375,0.4125874125874126,0.44285714285714284,0.4375,0.4375,0.375,0.25071955177720334,0.08595180014769238,0.5643353462219238,0.8832221031188965,0.11677783727645874,0.9717625975608826,0.028237342834472656,0.7946816086769104,0.20531833171844482,0.6946529874494963,0.5,0.5714285714285714,0.6666666666666666,0.5,0.4857142857142857,0.5,0.5,0.5,0.40625,0.25075285306435985,0.002814054489135742,0.5649654269218445,0.8832221031188965,0.11677783727645874,0.9717625975608826,0.028237342834472656,0.7946816086769104,0.20531833171844482,0.0,0.0,0.06666666666666665,0.125,0.0,0.0625,3.3301287156506376e-05,-0.08313774565855664,0.0,0.08333333333333331,0.0,0.10989010989010983,0.0,6.665751033929634e-05,0.0006300806999206543,0.0625,0.05714285714285716,0.0731268731268731,0.03125
0,6,3,"[1, 5, 6, 14, 15, 17]","[0, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 16]",6,12,30,0.6926136544032806,0.5833333333333334,0.6153846153846154,1.0,0.4444444444444444,0.5804195804195804,0.6875,0.7222222222222222,0.7222222222222222,0.7037037037037037,0.2497332410324784,0.08103275299072266,0.5869157314300537,0.890228271484375,0.10977160930633545,0.9692398905754089,0.03076004981994629,0.8112166523933411,0.18878328800201416,0.6925520287489642,0.5,0.5714285714285714,0.8,0.4444444444444444,0.4857142857142857,0.5428571428571429,0.5555555555555556,0.5555555555555556,0.5185185185185185,0.24970244037637804,0.0027302205562591553,0.5839269161224365,0.890228271484375,0.10977160930633545,0.9692398905754089,0.03076004981994629,0.8112166523933411,0.18878328800201416,0.0,0.0,-0.19999999999999996,0.0,0.0,-0.16666666666666663,-3.0800656100365975e-05,-0.0783025324344635,0.0,-0.08333333333333337,0.0,-0.04395604395604402,0.0,-6.162565431644396e-05,-0.0029888153076171875,-0.16666666666666663,-0.14464285714285707,-0.09470529470529471,-0.18518518518518523
0,9,1,"[2, 6, 7, 8, 12, 13, 14, 15, 17]","[0, 1, 3, 4, 5, 9, 10, 11, 16]",9,9,30,0.6958958588348355,0.3333333333333333,0.4,0.6666666666666666,0.2857142857142857,0.325,0.41666666666666663,0.39285714285714285,0.39285714285714285,0.21428571428571427,0.2513743099741965,0.16931795411639744,0.6493196487426758,0.8865347504615784,0.11346513032913208,0.9697281122207642,0.030271828174591064,0.8033413887023926,0.19665849208831787,0.6954680502954644,0.2222222222222222,0.36363636363636365,0.5,0.2857142857142857,0.18181818181818182,0.25,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.2511604315116796,0.2804481188456217,0.6533360481262207,0.8865347504615784,0.11346513032913208,0.9697281122207642,0.030271828174591064,0.8033413887023926,0.19665849208831787,0.0,0.0,-0.16666666666666663,0.0,0.0,-0.25,-0.00021387846251691434,0.11113016472922427,0.0,-0.1111111111111111,0.0,-0.036363636363636376,0.0,-0.0004278085393710773,0.004016399383544922,-0.25,-0.16666666666666663,-0.1431818181818182,0.0
