target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,delta_roc_auc,delta_loss,delta_macro_precision,delta_ece,delta_joint_loss,delta_macro_recall,delta_balanced_accuracy,delta_precision,delta_recall,delta_f1,delta_macro_f1,delta_brier_score,delta_accuracy
0,3,1,"[0, 7, 9]","[2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 16]",180,660,15,0.6927050880327102,0.5378787878787878,0.6054333764553687,0.6628895184135978,0.5571428571428572,0.5239232695805179,0.5285131631155937,0.5306547619047619,0.5306547619047619,0.6388144841269842,0.249778930931269,0.03335558555342932,1.3779834508895874,0.69199031243267,0.5515151515151515,0.6175710594315246,0.6751412429378532,0.569047619047619,0.5377232586534912,0.5418189874819985,0.5449404761904761,0.5449404761904761,0.6176140873015873,0.2494215733430086,0.04722358069636601,1.6081746816635132,-0.021200396825396872,-0.0007147756000402961,0.013305824366404817,0.013867995142936684,0.23019123077392578,0.014285714285714235,0.014285714285714235,0.01225172452425538,0.011904761904761862,0.012137682976155917,0.013799989072973307,-0.00035735758826038744,0.013636363636363669
0,3,2,"[2, 8, 11]","[0, 3, 4, 5, 6, 7, 9, 10, 12, 14, 16]",180,660,15,0.6932409368002457,0.5409090909090909,0.61003861003861,0.6638655462184874,0.5642857142857143,0.5260137801574265,0.5299525750894417,0.5321428571428571,0.5321428571428571,0.5377777777777778,0.25004684153788254,0.035868393652366826,1.3689067363739014,0.6915715828335401,0.5545454545454546,0.6259541984732825,0.6721311475409836,0.5857142857142857,0.5376962003602368,0.5401472064235531,0.5428571428571429,0.5428571428571429,0.4955357142857143,0.24921224349501528,0.049615395610982715,1.4953266382217407,-0.0422420634920635,-0.0016693539667055335,0.01019463133411136,0.01374700195861589,0.12641990184783936,0.010714285714285787,0.010714285714285787,0.008265601322496208,0.021428571428571463,0.015915588434672445,0.011682420202810295,-0.0008345980428672573,0.013636363636363669
0,3,3,"[3, 11, 16]","[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.6950524223116809,0.44696969696969696,0.5618247298919568,0.5665859564164649,0.5571428571428572,0.40616903845727204,0.4067747595847507,0.4056547619047619,0.4056547619047619,0.4354960317460317,0.2509525312922961,0.057280528455069535,1.3761706352233887,0.6928614978141285,0.45454545454545453,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.44371527777777775,0.24985720804431805,0.05160707018592142,1.5953401327133179,0.008219246031746064,-0.0021909244975523157,0.00393952612953502,-0.005673458269148113,0.2191694974899292,0.0050595238095237915,0.0050595238095237915,0.004842615012106477,0.014285714285714235,0.009603841536614643,0.004545247257013663,-0.001095323247978064,0.007575757575757569
0,3,4,"[0, 3, 8]","[2, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",180,660,15,0.6951489556380137,0.44545454545454544,0.48739495798319327,0.5918367346938775,0.4142857142857143,0.44171728097179463,0.4598527935764469,0.4571428571428572,0.4571428571428572,0.4674156746031746,0.2510008172344668,0.05971870458487305,1.3794218301773071,0.6934201226180292,0.46060606060606063,0.5082872928176796,0.6052631578947368,0.4380952380952381,0.4554859282880344,0.47117090479006507,0.46904761904761905,0.46904761904761905,0.42985119047619047,0.25013645496748194,0.04415287474791202,1.5581179857254028,-0.037564484126984155,-0.0017288330199844992,0.011318111213618143,-0.015565829836961032,0.1786961555480957,0.011904761904761862,0.011904761904761862,0.013426423200859294,0.02380952380952378,0.020892334834486326,0.01376864731623978,-0.000864362266984886,0.015151515151515194
0,3,5,"[2, 6, 7]","[0, 3, 4, 5, 8, 9, 10, 11, 12, 14, 16]",180,660,15,0.6942266461890914,0.45606060606060606,0.5006954102920723,0.6020066889632107,0.42857142857142855,0.4516788199546884,0.4685933721824364,0.4663690476190476,0.4663690476190476,0.5889930555555556,0.25053967490862883,0.04878433039694119,1.3618443012237549,0.6932390789198485,0.45454545454545453,0.5,0.6,0.42857142857142855,0.45,0.4666666666666667,0.4642857142857143,0.4642857142857143,0.5587450396825397,0.2500459498260586,0.05006974845221551,1.705533504486084,-0.030248015873015843,-0.0009875672692428727,-0.0019267055157697333,0.0012854180552743233,0.3436892032623291,-0.002083333333333326,-0.002083333333333326,-0.0020066889632107676,0.0,-0.0006954102920723182,-0.001678819954688382,-0.0004937250825702288,-0.001515151515151525
0,3,6,"[4, 11, 16]","[0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.6952019227067021,0.44696969696969696,0.5618247298919568,0.5665859564164649,0.5571428571428572,0.40616903845727204,0.4067747595847507,0.4056547619047619,0.4056547619047619,0.42971230158730156,0.25102727763376875,0.057205250227090054,1.3869118690490723,0.6932861921036017,0.45454545454545453,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.4107142857142857,0.4406795634920635,0.25006952307977426,0.05140556973038296,1.6134332418441772,0.010967261904761938,-0.0019157306031004628,0.00393952612953502,-0.005799680496707094,0.22652137279510498,0.0050595238095237915,0.0050595238095237915,0.004842615012106477,0.014285714285714235,0.009603841536614643,0.004545247257013663,-0.0009577545539944943,0.007575757575757569
0,6,1,"[2, 3, 4, 7, 12, 14]","[0, 5, 6, 8, 9, 10, 11, 16]",360,480,15,0.6953080771584287,0.37083333333333335,0.43656716417910446,0.4957627118644068,0.39,0.3621515066178541,0.3728813559322034,0.36444444444444446,0.36444444444444446,0.5262592592592592,0.25108037983069903,0.13363701117535431,0.9863206744194031,0.693657948377267,0.375,0.4444444444444444,0.5,0.4,0.36507936507936506,0.375,0.3666666666666667,0.3666666666666667,0.5117685185185185,0.25025552589879096,0.1311506784210602,1.558215618133545,-0.014490740740740748,-0.0016501287811616638,0.0021186440677966045,-0.002486332754294107,0.5718949437141418,0.0022222222222222365,0.0022222222222222365,0.004237288135593209,0.010000000000000009,0.007877280265339959,0.002927858461510946,-0.000824853931908065,0.004166666666666652
0,6,2,"[4, 5, 6, 8, 9, 12]","[0, 2, 3, 7, 10, 11, 14, 16]",360,480,15,0.6925114432472195,0.61875,0.659217877094972,0.7468354430379747,0.59,0.6132968818098974,0.6203313017659009,0.6283333333333333,0.6283333333333333,0.5629351851851851,0.24968213533718084,0.11384398005902774,1.0278098583221436,0.6891029188359491,0.6291666666666667,0.7581521739130435,0.6399082568807339,0.93,0.4817546583850931,0.5813177648040033,0.528888888888889,0.528888888888889,0.5489351851851852,0.24797799609542326,0.12292028019825618,1.3927260637283325,-0.013999999999999901,-0.003408524411270375,-0.03901353696189758,0.009076300139228444,0.36491620540618896,-0.09944444444444434,-0.09944444444444434,-0.10692718615724073,0.3400000000000001,0.09893429681807142,-0.13154222342480426,-0.0017041392417575796,0.01041666666666663
0,6,3,"[0, 2, 3, 6, 7, 16]","[4, 5, 8, 9, 10, 11, 12, 14]",360,480,15,0.6978615071126164,0.2520833333333333,0.25052192066805845,0.33519553072625696,0.2,0.25208008715315605,0.26892666901761353,0.2694444444444445,0.2694444444444445,0.33749074074074076,0.252357007630859,0.25295459665358067,0.9690676331520081,0.7007030769232643,0.25,0.25,0.3333333333333333,0.2,0.25,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3110740740740741,0.25377747998755057,0.25768312762180967,1.7086185216903687,-0.026416666666666644,0.0028415698106478704,-0.002260002350946866,0.0047285309682290055,0.7395508885383606,-0.0027777777777778234,-0.0027777777777778234,-0.001862197392923648,0.0,-0.0005219206680584509,-0.0020800871531560516,0.0014204723566915711,-0.002083333333333326
1,3,1,"[12, 13, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15]",180,780,15,0.6932165854847488,0.4807692307692308,0.34782608695652173,0.28346456692913385,0.45,0.4582580914015835,0.47631874962998044,0.4722222222222222,0.4722222222222222,0.4895987654320988,0.25003470437564473,0.021155830071522608,1.5188268423080444,0.6922038554279882,0.5307692307692308,0.29343629343629346,0.2733812949640288,0.31666666666666665,0.4710943463342696,0.4733440339361976,0.47129629629629627,0.47129629629629627,0.4809645061728396,0.24952836376730528,0.027617913637405733,1.5453542470932007,-0.008634259259259203,-0.0010127300567606135,-0.0029747156937828256,0.0064620835658831255,0.02652740478515625,-0.0009259259259259411,-0.0009259259259259411,-0.010083271965105056,-0.13333333333333336,-0.05438979352022827,0.012836254932686086,-0.0005063406083394562,0.04999999999999999
