epoch,accuracy,autoencoder_loss,decoder_accuracy,kl_loss,loss,predicted_class_0_fraction,predicted_class_1_fraction,reconstruction_loss,true_class_0_fraction,true_class_1_fraction,vc_class_prior_kl,vc_cross_entropy,vc_discriminator_kl,vc_discriminator_loss,vc_latent_kl,vc_loss,weighted_kl_loss,weighted_vc_class_prior_kl,weighted_vc_cross_entropy,weighted_vc_discriminator_kl,weighted_vc_latent_kl,val_accuracy,val_autoencoder_loss,val_decoder_accuracy,val_kl_loss,val_loss,val_predicted_class_0_fraction,val_predicted_class_1_fraction,val_reconstruction_loss,val_true_class_0_fraction,val_true_class_1_fraction,val_vc_class_prior_kl,val_vc_cross_entropy,val_vc_discriminator_kl,val_vc_discriminator_loss,val_vc_latent_kl,val_vc_loss,val_weighted_kl_loss,val_weighted_vc_class_prior_kl,val_weighted_vc_cross_entropy,val_weighted_vc_discriminator_kl,val_weighted_vc_latent_kl
0,0.7246376872062683,1.0503482818603516,-0.024806976318359375,0.08459476381540298,1.2159746885299683,0.0,1.0,1.0165108442306519,0.2753623127937317,0.7246376872062683,0.11549526453018188,0.6891008615493774,0.3808182179927826,0.0,0.6673983335494995,0.9008700251579285,0.03383791446685791,0.011549524962902069,0.6891008615493774,0.0,0.2002195417881012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.7244766354560852,1.0302013158798218,-0.006482720375061035,0.07974441349506378,1.1036896705627441,0.004347825888544321,0.9956521987915039,0.9983037114143372,0.2753623127937317,0.7246376872062683,0.11126280575990677,0.684649646282196,0.3623177707195282,0.0,0.3295120596885681,0.7946293950080872,0.031897760927677155,0.01112628448754549,0.684649646282196,0.0,0.09885362535715103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.6534621715545654,1.0234509706497192,-0.002554774284362793,0.07264584302902222,1.0910993814468384,0.19645732641220093,0.8035426735877991,0.9943926930427551,0.2753623127937317,0.7246376872062683,0.10719490796327591,0.6809130311012268,0.37129804491996765,0.0,0.3081057071685791,0.7840642929077148,0.02905833162367344,0.01071949303150177,0.6809130311012268,0.0,0.0924316942691803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.5648953318595886,1.0200031995773315,-0.001178741455078125,0.067452572286129,1.0783820152282715,0.4157809913158417,0.5842189788818359,0.9930223822593689,0.2753623127937317,0.7246376872062683,0.10326327383518219,0.6783002018928528,0.4023170471191406,0.0,0.2791805565357208,0.7723806500434875,0.02698102965950966,0.010326326824724674,0.6783002018928528,0.0,0.08375415951013565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.5613526701927185,1.0183292627334595,-0.0006943941116333008,0.06447416543960571,1.0703397989273071,0.42576488852500916,0.5742350816726685,0.9925394058227539,0.2753623127937317,0.7246376872062683,0.09945976734161377,0.6757785081863403,0.3981923758983612,0.0,0.2637202739715576,0.7648406028747559,0.025789666920900345,0.009945975616574287,0.6757785081863403,0.0,0.0791160985827446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.6083735823631287,1.0156582593917847,-0.0004239082336425781,0.058471228927373886,1.0677547454833984,0.2982286512851715,0.7017713189125061,0.9922696948051453,0.2753623127937317,0.7246376872062683,0.09577919542789459,0.6743031740188599,0.40561410784721375,0.0,0.2639201283454895,0.7630574107170105,0.023388490080833435,0.009577922523021698,0.6743031740188599,0.0,0.07917603105306625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.6718196272850037,1.0136158466339111,-0.00028836727142333984,0.053702037781476974,1.0646088123321533,0.1574879288673401,0.8425120711326599,0.9921350479125977,0.2753623127937317,0.7246376872062683,0.09221778810024261,0.6729961037635803,0.42637839913368225,0.0,0.2610209882259369,0.7605242133140564,0.021480821073055267,0.00922178290784359,0.6729961037635803,0.0,0.07830631732940674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.6370370388031006,1.0141422748565674,-0.0002048015594482422,0.055226024240255356,1.0531888008117676,0.23961353302001953,0.7603864669799805,0.9920520186424255,0.2753623127937317,0.7246376872062683,0.08877170085906982,0.6712096333503723,0.4162052273750305,0.0,0.2295302301645279,0.7489458918571472,0.02209041826426983,0.00887717492878437,0.6712096333503723,0.0,0.06885907799005508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.5916264057159424,1.014367938041687,-0.00015783309936523438,0.05590858310461044,1.0392396450042725,0.34750401973724365,0.6524959802627563,0.9920046925544739,0.2753623127937317,0.7246376872062683,0.0854373499751091,0.6685279011726379,0.38707226514816284,0.0,0.1928594410419464,0.7349292039871216,0.022363431751728058,0.008543736301362514,0.6685279011726379,0.0,0.05785781890153885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.5866344571113586,1.01370370388031,-0.0001024007797241211,0.054386742413043976,1.0384730100631714,0.35185185074806213,0.6481481194496155,0.9919490218162537,0.2753623127937317,0.7246376872062683,0.08221162855625153,0.6679278016090393,0.39763692021369934,0.0,0.19404205679893494,0.7343615889549255,0.02175469696521759,0.008221164345741272,0.6679278016090393,0.0,0.05821259692311287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
