step,target_loss_component,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm
0,confidence,0.5,0.899808406829834,0.33331066370010376,0.0,0.535137414932251,5.1298394203186035,0.33331066370010376,0.0,0.05351374298334122,0.5129839777946472,0.535137414932251,0.33331066370010376,0.9624359607696533,0.0,0.0,0.0,0.0,1,0.42992857098579407,False,0.42992857098579407,0.5700714588165283,1.0702600479125977
1,confidence,0.5,4.105207920074463,0.0,0.20407496392726898,2.0155766010284424,38.832427978515625,0.0,0.02040749602019787,0.20155766606330872,3.8832428455352783,2.0155766010284424,0.0,9.455878284825303e-07,0.0,0.0,0.0,0.0,0,0.9993125200271606,True,0.9993125200271606,0.0006874632090330124,0.06635305285453796
2,confidence,0.5,1.2858610153198242,0.0,0.546800434589386,3.709768056869507,8.602041244506836,0.0,0.05468004569411278,0.3709768056869507,0.8602041602134705,3.709768056869507,0.0,1.099094447454263e-06,0.0,0.0,0.0,0.0,0,0.999258816242218,True,0.999258816242218,0.0007411501719616354,0.014534506015479565
3,confidence,0.5,0.9900982975959778,0.0,0.952075183391571,5.462745666503906,3.486161708831787,0.0,0.09520751982927322,0.5462746024131775,0.34861618280410767,5.462745666503906,0.0,1.2407516578605282e-06,0.0,0.0,0.0,0.0,0,0.9992125034332275,True,0.9992125034332275,0.0007875124574638903,0.005669556558132172
4,confidence,0.5,1.0492546558380127,0.0,1.3777905702590942,7.147936820983887,1.9668190479278564,0.0,0.13777905702590942,0.7147936820983887,0.1966819018125534,7.147936820983887,0.0,1.3503479294740828e-06,0.0,0.0,0.0,0.0,0,0.9991784691810608,True,0.9991784691810608,0.0008214836125262082,0.003772570751607418
5,confidence,0.5,1.1758196353912354,0.0,1.8030186891555786,8.688050270080566,1.267127275466919,0.0,0.18030187487602234,0.8688050508499146,0.12671272456645966,8.688050270080566,0.0,1.4329386885947315e-06,0.0,0.0,0.0,0.0,0,0.999153733253479,True,0.999153733253479,0.0008462858386337757,0.002970424946397543
6,confidence,0.5,1.3122202157974243,0.0,2.2165615558624268,10.046323776245117,0.8593165874481201,0.0,0.22165615856647491,1.0046323537826538,0.08593165874481201,10.046323776245117,0.0,1.495639367021795e-06,0.0,0.0,0.0,0.0,0,0.999135434627533,True,0.999135434627533,0.0008646288188174367,0.002586714457720518
7,confidence,0.5,1.444044828414917,0.0,2.612128496170044,11.20734977722168,0.6209696531295776,0.0,0.26121285557746887,1.1207350492477417,0.062096964567899704,11.20734977722168,0.0,1.5455090078830835e-06,0.0,0.0,0.0,0.0,0,0.9991211295127869,True,0.9991211295127869,0.0008788421400822699,0.0024279444478452206
8,confidence,0.5,1.5603197813034058,0.0,2.986234188079834,12.16755199432373,0.4494110643863678,0.0,0.2986234128475189,1.2167552709579468,0.04494110867381096,12.16755199432373,0.0,1.586842358847207e-06,0.0,0.0,0.0,0.0,0,0.9991094470024109,True,0.9991094470024109,0.0008904947899281979,0.002369196619838476
9,confidence,0.5,1.660780429840088,0.0,3.337097644805908,12.93060302734375,0.34010404348373413,0.0,0.3337097764015198,1.293060302734375,0.03401040658354759,12.93060302734375,0.0,1.6221680425587692e-06,0.0,0.0,0.0,0.0,0,0.999099612236023,True,0.999099612236023,0.0009004535968415439,0.002317008562386036
10,confidence,0.5,1.7426962852478027,0.0,3.6640021800994873,13.506047248840332,0.25691327452659607,0.0,0.36640021204948425,1.350604772567749,0.025691328570246696,13.506047248840332,0.0,1.6540877822990296e-06,0.0,0.0,0.0,0.0,0,0.9990907907485962,True,0.9990907907485962,0.0009092266554944217,0.0022952219005674124
