epoch,accuracy,autoencoder_loss,kl_loss,loss,predicted_class_0_fraction,predicted_class_1_fraction,reconstruction_loss,true_class_0_fraction,true_class_1_fraction,vc_class_prior_kl,vc_cross_entropy,vc_discriminator_kl,vc_discriminator_loss,vc_latent_kl,vc_loss,weighted_kl_loss,weighted_vc_class_prior_kl,weighted_vc_cross_entropy,weighted_vc_discriminator_kl,weighted_vc_latent_kl,val_accuracy,val_autoencoder_loss,val_kl_loss,val_loss,val_predicted_class_0_fraction,val_predicted_class_1_fraction,val_reconstruction_loss,val_true_class_0_fraction,val_true_class_1_fraction,val_vc_class_prior_kl,val_vc_cross_entropy,val_vc_discriminator_kl,val_vc_discriminator_loss,val_vc_latent_kl,val_vc_loss,val_weighted_kl_loss,val_weighted_vc_class_prior_kl,val_weighted_vc_cross_entropy,val_weighted_vc_discriminator_kl,val_weighted_vc_latent_kl
0,0.6072463989257812,1.0872408151626587,0.23708075284957886,1.1322985887527466,0.26682770252227783,0.7331722974777222,1.063532829284668,0.2753623127937317,0.7246376872062683,0.1154952123761177,0.691926121711731,0.09340296685695648,0.0,0.5132527947425842,0.8061263561248779,0.023708080872893333,0.01154952310025692,0.691926121711731,0.0,0.10265058279037476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.719967782497406,1.0228008031845093,0.2062811702489853,1.0652552843093872,0.010466989129781723,0.989533007144928,1.0021724700927734,0.2753623127937317,0.7246376872062683,0.11126261949539185,0.6890553832054138,0.15476232767105103,0.0,0.2911660671234131,0.7584149837493896,0.02062811888754368,0.011126263067126274,0.6890553832054138,0.0,0.05823320895433426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.7246376872062683,1.0080890655517578,0.17211996018886566,1.0491094589233398,0.0,1.0,0.9908772110939026,0.2753623127937317,0.7246376872062683,0.1071942001581192,0.6865519285202026,0.17997580766677856,0.0,0.24705684185028076,0.7466827034950256,0.017211999744176865,0.010719421319663525,0.6865519285202026,0.0,0.04941137135028839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.7246376872062683,0.9965791702270508,0.17248636484146118,1.0398403406143188,0.0,1.0,0.9793306589126587,0.2753623127937317,0.7246376872062683,0.10326209664344788,0.6844045519828796,0.198698490858078,0.0,0.2306804209947586,0.740867018699646,0.017248641699552536,0.010326211340725422,0.6844045519828796,0.0,0.046136077493429184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.7246376872062683,0.9805864691734314,0.17729027569293976,1.0291893482208252,0.0,1.0,0.962857723236084,0.2753623127937317,0.7246376872062683,0.09945830702781677,0.6821011304855347,0.21138450503349304,0.0,0.21483200788497925,0.7350133061408997,0.017729030922055244,0.009945833124220371,0.6821011304855347,0.0,0.04296639934182167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.7223832607269287,0.9676920771598816,0.1872316300868988,1.0235260725021362,0.003864734200760722,0.9961352944374084,0.9489690661430359,0.2753623127937317,0.7246376872062683,0.09577777236700058,0.6798145771026611,0.19825369119644165,0.0,0.2191295474767685,0.7332180738449097,0.01872316189110279,0.009577776305377483,0.6798145771026611,0.0,0.0438258983194828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.7246376872062683,0.9619902968406677,0.20085406303405762,1.0319668054580688,0.0,1.0,0.94190514087677,0.2753623127937317,0.7246376872062683,0.09221616387367249,0.6789014935493469,0.14195023477077484,0.0,0.2762356996536255,0.743369996547699,0.02008541114628315,0.009221618063747883,0.6789014935493469,0.0,0.055247146636247635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.7246376872062683,0.9569548964500427,0.2090027630329132,1.0259709358215332,0.0,1.0,0.9360548257827759,0.2753623127937317,0.7246376872062683,0.08877020329236984,0.6752471327781677,0.165376678109169,0.0,0.2737993896007538,0.738883912563324,0.02090028114616871,0.008877021260559559,0.6752471327781677,0.0,0.054759878665208817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.7246376872062683,0.9528287649154663,0.20827554166316986,1.0178879499435425,0.0,1.0,0.932000994682312,0.2753623127937317,0.7246376872062683,0.08543678373098373,0.6724454760551453,0.17144039273262024,0.0,0.2552492320537567,0.7320391535758972,0.020827554166316986,0.008543677628040314,0.6724454760551453,0.0,0.051049839705228806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.7246376872062683,0.9455854296684265,0.20816344022750854,1.0103907585144043,0.0,1.0,0.9247690439224243,0.2753623127937317,0.7246376872062683,0.08221258223056793,0.6698971390724182,0.16330847144126892,0.0,0.2429829239845276,0.7267152667045593,0.020816342905163765,0.008221260271966457,0.6698971390724182,0.0,0.048596568405628204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.7246376872062683,0.94221031665802,0.20803868770599365,1.0011224746704102,0.0,1.0,0.9214062094688416,0.2753623127937317,0.7246376872062683,0.07909445464611053,0.6674939393997192,0.18568255007266998,0.0,0.21527983248233795,0.7184593081474304,0.020803872495889664,0.007909446023404598,0.6674939393997192,0.0,0.04305595904588699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.7246376872062683,0.9351400136947632,0.2128106653690338,0.9955637454986572,0.0,1.0,0.9138584733009338,0.2753623127937317,0.7246376872062683,0.07607945799827576,0.6650681495666504,0.17458592355251312,0.0,0.2117268145084381,0.7150212526321411,0.02128106728196144,0.00760794710367918,0.6650681495666504,0.0,0.04234536364674568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.7246376872062683,0.9296696782112122,0.21523171663284302,0.9940711259841919,0.0,1.0,0.908146321773529,0.2753623127937317,0.7246376872062683,0.0731651708483696,0.662243664264679,0.10118298977613449,0.0,0.22804909944534302,0.7151700258255005,0.02152317203581333,0.007316518109291792,0.662243664264679,0.0,0.04560982435941696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
