step,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_gcn_gru,decoded_bilstm,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm
0,0.556086540222168,0.4788890480995178,0.0,0.7719751596450806,0.0,0.4788890480995178,0.0,0.07719751447439194,0.0,0.922655463218689,0.6212949156761169,1,0.495576947927475,False,0.495576947927475,0.5044230222702026,0.009024924598634243
1,0.517699658870697,0.4414325952529907,3.0608611268689856e-05,0.762640118598938,0.0,0.4414325952529907,3.0608612178184558e-06,0.07626401633024216,0.0,0.9068886637687683,0.6183915734291077,0,0.5144915580749512,False,0.5144915580749512,0.48550838232040405,0.0061017852276563644
2,0.4970572888851166,0.42187660932540894,0.00011312359856674448,0.7516934871673584,0.0,0.42187660932540894,1.1312359674775507e-05,0.07516934722661972,0.0,0.8889844417572021,0.6144024729728699,0,0.5246520042419434,False,0.5246520042419434,0.47534802556037903,0.005343033466488123
3,0.4842509925365448,0.4101525545120239,0.00024690054124221206,0.7407375574111938,0.0,0.4101525545120239,2.4690054488019086e-05,0.07407375425100327,0.0,0.8718209266662598,0.6096541881561279,0,0.530839204788208,False,0.530839204788208,0.469160795211792,0.0036016928497701883
4,0.47740527987480164,0.4043668508529663,0.0004315636761020869,0.7299526333808899,0.0,0.4043668508529663,4.315636761020869e-05,0.07299526780843735,0.0,0.8555800914764404,0.6043251752853394,0,0.5339193940162659,False,0.5339193940162659,0.46608057618141174,0.002611765405163169
5,0.4735870361328125,0.40158402919769287,0.0006663360982201993,0.719363808631897,0.0,0.40158402919769287,6.663361273240298e-05,0.07193638384342194,0.0,0.8401874899864197,0.5985400676727295,0,0.5354072451591492,False,0.5354072451591492,0.46459269523620605,0.0018947049975395203
6,0.4712596535682678,0.400274395942688,0.0009506323840469122,0.7089018821716309,0.0,0.400274395942688,9.506323840469122e-05,0.07089018821716309,0.0,0.8254106640815735,0.5923931002616882,0,0.5361089110374451,False,0.5361089110374451,0.46389105916023254,0.0018644991796463728
7,0.46898216009140015,0.39900022745132446,0.0012853523949161172,0.6985338926315308,0.0,0.39900022745132446,0.00012853524822276086,0.06985338777303696,0.0,0.8111094832420349,0.5859582424163818,0,0.5367924571037292,False,0.5367924571037292,0.46320754289627075,0.0018642329378053546
8,0.4665045738220215,0.39750808477401733,0.0016723290318623185,0.6882926821708679,0.0,0.39750808477401733,0.00016723290900699794,0.06882926821708679,0.0,0.7972899675369263,0.5792953968048096,0,0.5375940203666687,False,0.5375940203666687,0.4624059796333313,0.0017360924975946546
9,0.4641771614551544,0.3961433172225952,0.002113012131303549,0.6782255172729492,0.0,0.3961433172225952,0.00021130121604073793,0.06782255321741104,0.0,0.7839897274971008,0.5724612474441528,0,0.538328230381012,False,0.538328230381012,0.46167176961898804,0.0013899051118642092
10,0.4623928666114807,0.39529430866241455,0.0026080815587192774,0.6683773994445801,0.0,0.39529430866241455,0.00026080815587192774,0.06683774292469025,0.0,0.7712559103965759,0.5654988884925842,0,0.538785457611084,False,0.538785457611084,0.46121451258659363,0.0010616546496748924
11,0.4610655605792999,0.3948713541030884,0.003157088067382574,0.6587851047515869,0.0,0.3948713541030884,0.0003157088067382574,0.06587851047515869,0.0,0.7591245770454407,0.5584456920623779,0,0.5390133857727051,False,0.5390133857727051,0.4609866440296173,0.0009593720897100866
12,0.4599325358867645,0.3946087956428528,0.0037589101120829582,0.6494784355163574,0.0,0.3946087956428528,0.0003758910170290619,0.06494784355163574,0.0,0.7476188540458679,0.5513379573822021,0,0.5391549468040466,False,0.5391549468040466,0.46084508299827576,0.0009482196182943881
13,0.4588460624217987,0.3943570852279663,0.004412007052451372,0.6404777765274048,0.0,0.3943570852279663,0.0004412007110659033,0.06404777616262436,0.0,0.7367532253265381,0.5442023873329163,0,0.5392906665802002,False,0.5392906665802002,0.4607093036174774,0.0009092476684600115
14,0.45777854323387146,0.394087016582489,0.005114469211548567,0.6318008899688721,0.0,0.394087016582489,0.0005114469095133245,0.06318008899688721,0.0,0.7265325784683228,0.5370691418647766,0,0.5394363403320312,False,0.5394363403320312,0.4605637490749359,0.0008270537946373224
15,0.4567575454711914,0.3938256502151489,0.005864013452082872,0.6234549283981323,0.0,0.3938256502151489,0.0005864013801328838,0.06234549358487129,0.0,0.716948390007019,0.5299614071846008,0,0.539577305316925,False,0.539577305316925,0.46042269468307495,0.000741873518563807
