target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_decoder_r2,delta_f1,delta_macro_recall,delta_balanced_accuracy,delta_roc_auc,delta_brier_score,delta_ece,delta_joint_loss,delta_precision,delta_macro_precision,delta_accuracy,delta_macro_f1,delta_loss,delta_recall,delta_decoder_r2
0,3,1,"[0, 1, 7]","[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",768,3840,3,0.7343395616914248,0.5697916666666667,0.6906367041198502,0.7305863708399366,0.6548295454545454,0.49232689906847216,0.49599227356586495,0.4953835227272727,0.4953835227272727,0.4831484014337713,0.26201624787135175,0.10959867110024786,1.021950125694275,0.0042108893394470215,0.7334910642026917,0.54453125,0.6644926146173029,0.722569879015436,0.6150568181818182,0.4777671828660086,0.4856785639013424,0.4828213778409091,0.4828213778409091,0.47878369418057526,0.26445286014487607,0.10434063686562395,0.8695932626724243,0.0,-0.02614408950254732,-0.012562144886363591,-0.012562144886363591,-0.004364707253196043,0.002436612273524319,-0.005258034234623912,-0.15235686302185059,-0.008016491824500593,-0.010313709664522552,-0.025260416666666674,-0.014559716202463546,-0.0008484974887330576,-0.03977272727272718,-0.0042108893394470215
0,3,2,"[1, 5, 12]","[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",768,3840,3,0.7153857147227644,0.59453125,0.7119333950046254,0.7431440710699112,0.6832386363636364,0.5137688953045105,0.5150572473654912,0.5169122869318181,0.5169122869318181,0.5062346024946733,0.2535125482786895,0.08485417947430199,1.0232335329055786,0.004799962043762207,0.6487424780721903,0.6341145833333334,0.7556096712471734,0.7405386975792704,0.7713068181818182,0.5140036963175276,0.515252810752149,0.5140713778409092,0.5140713778409092,0.534584565596147,0.22724964952888996,0.026695880549668784,0.8113422393798828,0.0,0.043676276242547996,-0.0028409090909089496,-0.0028409090909089496,0.02834996310147364,-0.026262898749799563,-0.0581582989246332,-0.2118912935256958,-0.0026053734906408277,0.00019556338665782658,0.039583333333333415,0.0002348010130170941,-0.06664323665057403,0.08806818181818188,-0.004799962043762207
0,6,1,"[7, 9, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 16, 17]",1536,3072,3,0.7068374332380962,0.6090494791666666,0.7364494184770682,0.7447847314691523,0.7282986111111112,0.4898378157287673,0.490218983561194,0.4898003472222222,0.4898003472222222,0.4548283329716435,0.24940935484446958,0.08637311100325556,1.1195149421691895,0.004958033561706543,0.6754823470379838,0.5944010416666666,0.7247017233760495,0.738073807380738,0.7118055555555556,0.4773075984000149,0.47844866839625133,0.4769965277777778,0.4769965277777778,0.4690331353081597,0.24047581242934535,0.04027734090911203,0.9627489447593689,0.0,-0.011747695101018696,-0.01280381944444442,-0.01280381944444442,0.01420480233651622,-0.00893354241512423,-0.046095770094143534,-0.15676599740982056,-0.006710924088414227,-0.011770315164942646,-0.0146484375,-0.012530217328752369,-0.0313550862001124,-0.01649305555555558,-0.004958033561706543
0,6,2,"[0, 11, 12, 14, 16, 17]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15]",1536,3072,3,0.7456471876151604,0.560546875,0.7045951859956237,0.7105030891438658,0.6987847222222222,0.4234538827055628,0.4247304527605185,0.4223090277777778,0.4223090277777778,0.3933088514539931,0.2669532674282668,0.12345996728378549,1.1408125162124634,0.004508256912231445,0.7459809169327437,0.625,0.7685817597428686,0.7154076290201945,0.8302951388888888,0.3902943104031667,0.3664977843593435,0.4197048611111111,0.4197048611111111,0.313751220703125,0.2566878940027758,0.12101637249603904,1.1651986837387085,0.0,0.06398657374724492,-0.002604166666666685,-0.002604166666666685,-0.07955763075086808,-0.010265373425490998,-0.002443594787746445,0.024386167526245117,0.004904539876328662,-0.058232668401175025,0.064453125,-0.03315957230239608,0.00033372931758335334,0.13151041666666663,-0.004508256912231445
1,3,1,"[12, 13, 16]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 17]",768,3840,3,0.8211282689516385,0.44895833333333335,0.5219159511974695,0.39965397923875434,0.751953125,0.4358196842649916,0.4993006738299035,0.4994574652777778,0.4994574652777778,0.5021119294343172,0.3033640088130743,0.20035740602033908,0.8228620290756226,-0.00446009635925293,0.7334679525655093,0.5223958333333333,0.4415347137637028,0.4147597254004577,0.4720052083333333,0.5121686307672018,0.5135462106925807,0.5139973958333334,0.5139973958333334,0.5184221620912906,0.26657097380731587,0.1041509409690965,0.6375369429588318,0.0,-0.08038123743376668,0.01453993055555558,0.01453993055555558,0.0163102326569734,-0.03679303500575842,-0.09620646505124258,-0.18532508611679077,0.015105746161703348,0.014245536862677155,0.07343749999999993,0.07634894650221014,-0.08766031638612914,-0.2799479166666667,0.00446009635925293
1,3,2,"[5, 6, 14]","[0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]",768,3840,3,0.8206404293474047,0.4484375,0.5227579990986931,0.39972432804962094,0.7552083333333334,0.4347287836332454,0.49943572479240106,0.4995659722222222,0.4995659722222222,0.5056686401367188,0.30311199167284947,0.20191261729138205,0.8388394117355347,-0.004651308059692383,0.7484236362704036,0.5122395833333333,0.44602188701567586,0.4086720867208672,0.4908854166666667,0.5051695850523832,0.5083460684230903,0.5086805555555556,0.5086805555555556,0.5073425858109086,0.27292638556348964,0.1207104955136311,0.6589699983596802,0.0,-0.07673611208301728,0.00911458333333337,0.00911458333333337,0.0016739456741898806,-0.03018560610935983,-0.08120212177775095,-0.1798694133758545,0.008947758671246253,0.00891034363068921,0.06380208333333331,0.07044080141913778,-0.07221679307700102,-0.2643229166666667,0.004651308059692383
1,6,1,"[0, 6, 9, 13, 14, 16]","[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 15, 17]",1536,3072,3,0.8142211307041664,0.4573567708333333,0.532398316970547,0.4153172866520788,0.74140625,0.4430118765930672,0.4973663942790254,0.49793526785714287,0.49793526785714287,0.4981454031808036,0.3007569465581654,0.19564766914306042,0.8433281779289246,-0.004869341850280762,0.8846444173560012,0.396484375,0.31026785714285715,0.2961647727272727,0.32578125,0.3869047619047619,0.3887674825174825,0.38638392857142856,0.38638392857142856,0.346124267578125,0.33041581726071795,0.2587014778033335,0.9995772242546082,0.0,-0.2221304598276898,-0.11155133928571431,-0.11155133928571431,-0.1520211356026786,0.029658870702552576,0.0630538086602731,0.1562490463256836,-0.11915251392480608,-0.1085989117615429,-0.060872395833333315,-0.05610711468830526,0.07042328665183484,-0.415625,0.004869341850280762
1,6,2,"[2, 4, 12, 13, 15, 16]","[0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 14, 17]",1536,3072,3,0.7940597994765074,0.4723307291666667,0.5450463092899243,0.425317564607972,0.75859375,0.45849758316104117,0.5168412918096894,0.5132254464285714,0.5132254464285714,0.5266021728515625,0.2921416686773951,0.17495759187725834,0.8245458602905273,-0.004280805587768555,0.7234490159262646,0.5403645833333334,0.4150787075393538,0.4417989417989418,0.39140625,0.5182632143594892,0.5199190787426081,0.5190848214285715,0.5190848214285715,0.5153935023716518,0.2621588538113362,0.08877599657004492,0.6048470139503479,0.0,-0.12996760175057048,0.005859375000000111,0.005859375000000111,-0.011208670479910698,-0.029982814866058916,-0.08618159530721342,-0.21969884634017944,0.016481377190969815,0.0030777869329187135,0.06803385416666669,0.05976563119844802,-0.07061078355024275,-0.36718749999999994,0.004280805587768555
