epoch,accuracy,autoencoder_loss,decoder_accuracy,kl_loss,loss,predicted_class_0_fraction,predicted_class_1_fraction,reconstruction_loss,true_class_0_fraction,true_class_1_fraction,vc_class_prior_kl,vc_cross_entropy,vc_discriminator_kl,vc_discriminator_loss,vc_latent_kl,vc_loss,weighted_kl_loss,weighted_vc_class_prior_kl,weighted_vc_cross_entropy,weighted_vc_discriminator_kl,weighted_vc_latent_kl,val_accuracy,val_autoencoder_loss,val_decoder_accuracy,val_kl_loss,val_loss,val_predicted_class_0_fraction,val_predicted_class_1_fraction,val_reconstruction_loss,val_true_class_0_fraction,val_true_class_1_fraction,val_vc_class_prior_kl,val_vc_cross_entropy,val_vc_discriminator_kl,val_vc_discriminator_loss,val_vc_latent_kl,val_vc_loss,val_weighted_kl_loss,val_weighted_vc_class_prior_kl,val_weighted_vc_cross_entropy,val_weighted_vc_discriminator_kl,val_weighted_vc_latent_kl
0,0.6594203114509583,1.1733942031860352,-0.08656013011932373,0.3188553750514984,1.2600866556167603,0.19758453965187073,0.8024154305458069,1.0777376890182495,0.2753623127937317,0.7246376872062683,0.1154952123761177,0.6904680728912354,0.27020832896232605,0.0,0.41210225224494934,0.9080685377120972,0.095656618475914,0.01154952310025692,0.6904680728912354,0.0,0.20605112612247467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5650563836097717,1.063241720199585,-0.014674901962280273,0.18933238089084625,1.1337254047393799,0.44138485193252563,0.5586151480674744,1.0064420700073242,0.2753623127937317,0.7246376872062683,0.11126270145177841,0.68807452917099,0.29573798179626465,0.0,0.23110364377498627,0.8147526383399963,0.056799717247486115,0.01112627238035202,0.68807452917099,0.0,0.11555182188749313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.5916264057159424,1.0450160503387451,-0.0050820112228393555,0.16037148237228394,1.1162996292114258,0.37713366746902466,0.6228663325309753,0.9969044327735901,0.2753623127937317,0.7246376872062683,0.10719448328018188,0.6862231492996216,0.25971829891204834,0.0,0.21170417964458466,0.8027946352958679,0.048111442476511,0.010719443671405315,0.6862231492996216,0.0,0.10585208982229233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.5924315452575684,1.038670301437378,-0.0022410154342651367,0.14865164458751678,1.1149896383285522,0.368276983499527,0.6317230463027954,0.9940750002861023,0.2753623127937317,0.7246376872062683,0.1032625287771225,0.6843703389167786,0.24527016282081604,0.0,0.21738384664058685,0.8033888936042786,0.044595494866371155,0.010326256975531578,0.6843703389167786,0.0,0.10869192332029343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.6322061419487,1.0311503410339355,-0.0010665655136108398,0.12746241688728333,1.116512417793274,0.25314009189605713,0.7468599081039429,0.9929113388061523,0.2753623127937317,0.7246376872062683,0.09945911914110184,0.6828296184539795,0.2993493676185608,0.0,0.22878457605838776,0.807167649269104,0.03823872283101082,0.009945912286639214,0.6828296184539795,0.0,0.11439228802919388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.6619967818260193,1.027119517326355,-0.0006221532821655273,0.115511454641819,1.1124387979507446,0.19210949540138245,0.8078904747962952,0.992466151714325,0.2753623127937317,0.7246376872062683,0.09577924013137817,0.681959331035614,0.35715430974960327,0.0,0.22553209960460663,0.8043034672737122,0.0346534289419651,0.009577924385666847,0.681959331035614,0.0,0.11276604980230331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.6898550987243652,1.0264438390731812,-0.00040662288665771484,0.11396877467632294,1.1091543436050415,0.09822866320610046,0.9017713069915771,0.992252767086029,0.2753623127937317,0.7246376872062683,0.09221868962049484,0.6802678108215332,0.29962173104286194,0.0,0.22346436977386475,0.8012215495109558,0.034190624952316284,0.009221868589520454,0.6802678108215332,0.0,0.11173218488693237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.7209339737892151,1.0256174802780151,-0.00030601024627685547,0.11155109852552414,1.1036638021469116,0.017874395474791527,0.9821255803108215,0.9921519756317139,0.2753623127937317,0.7246376872062683,0.08877386152744293,0.6790220141410828,0.2157827615737915,0.0,0.21615900099277496,0.795978844165802,0.03346531465649605,0.008877387270331383,0.6790220141410828,0.0,0.10807950049638748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.7098228931427002,1.0252503156661987,-0.0002186298370361328,0.11061349511146545,1.092231273651123,0.05700483173131943,0.9429951906204224,0.992065966129303,0.2753623127937317,0.7246376872062683,0.08544129133224487,0.6772190928459167,0.21349570155143738,0.0,0.19778606295585632,0.784656286239624,0.03318405523896217,0.008544130250811577,0.6772190928459167,0.0,0.09889303147792816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.6967793703079224,1.0248011350631714,-0.00017571449279785156,0.10926218330860138,1.0868552923202515,0.09162640571594238,0.9083735942840576,0.9920224547386169,0.2753623127937317,0.7246376872062683,0.0822177454829216,0.6754872798919678,0.20995275676250458,0.0,0.1914120465517044,0.7794155478477478,0.032778672873973846,0.00822177343070507,0.6754872798919678,0.0,0.0957060232758522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
