config_index,is_selected,selection_level,selection_metric,selection_score,selection_score_std,n_folds,config,window_loss_mean,window_joint_loss_mean,window_keras_model_loss_mean,window_accuracy_mean,window_f1_mean,window_precision_mean,window_recall_mean,window_loss_std,window_joint_loss_std,window_keras_model_loss_std,window_accuracy_std,window_f1_std,window_precision_std,window_recall_std,trial_loss_mean,trial_accuracy_mean,trial_f1_mean,trial_precision_mean,trial_recall_mean,trial_loss_std,trial_accuracy_std,trial_f1_std,trial_precision_std,trial_recall_std
0,1,trial,f1,0.4187344852410339,0.11274379626487727,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 32, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 512, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.0, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",0.8010130082325778,0.7936750598575758,0.7936750598575758,0.5628019323671497,0.4207052200191811,0.4658844318609159,0.4818955323590874,0.2700415977053344,0.2586447052238727,0.2586447052238727,0.18820557234451135,0.10389049866780477,0.12956334031089164,0.06822658826460594,0.7848520778667647,0.572463768115942,0.4187344852410339,0.44969741469102076,0.47236136093233266,0.24525719451489894,0.20358751213242007,0.11274379626487727,0.15766324344839255,0.10709370554385499
1,0,trial,f1,0.40029834016366983,0.15050867488597375,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 32, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 512, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.0, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.7641558314042184,0.787599820157756,0.787599820157756,0.5035426731078904,0.39998949134753636,0.5022181402957586,0.5142610119112677,0.17273707361344245,0.17390378857607372,0.17390378857607372,0.1808658204144125,0.1275261696527305,0.16305687143274966,0.09004623711456237,0.7437682123439053,0.5144927536231885,0.40029834016366983,0.45135447814475943,0.530436982738773,0.16628203594207555,0.20145564697577817,0.15050867488597375,0.205511098764434,0.11359394626759606
2,0,trial,f1,0.3480613343109476,0.10411166248728121,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 32, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 512, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.0, ""vc_alpha"": 1.0, ""vc_beta"": 0.5, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",0.6980443543139201,1.7023588159809941,1.7023588159809941,0.5098228663446055,0.38356269992567954,0.44109823949865834,0.44859830387004296,0.015425767899219057,0.5708084011921929,0.5708084011921929,0.1813273152926764,0.11122568500405183,0.1346326375442713,0.09724092682962142,0.6979194118246356,0.4927536231884058,0.3480613343109476,0.3696064130527046,0.4445027248256149,0.015238812382620003,0.19747761773883762,0.10411166248728121,0.11293954275266335,0.09684732503443343
3,0,trial,f1,0.3577997961682183,0.10303373937335217,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 32, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 512, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.0, ""vc_alpha"": 1.0, ""vc_beta"": 0.5, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.6993501497249257,1.6479125230208687,1.6479125230208687,0.5178743961352656,0.40134626050711125,0.47405026422969954,0.4755914603772659,0.019061337326428913,0.6776224682516208,0.6776224682516208,0.19812339657262446,0.118834607965001,0.1283599817110705,0.1032451057263184,0.6992647589431682,0.4975845410628019,0.3577997961682183,0.4040446925197564,0.45596521800166306,0.01907443673795266,0.21390112950077736,0.10303373937335217,0.12681235696655244,0.11195686547455751
