epoch,accuracy,base_total_loss,loss,predicted_class_0_fraction,predicted_class_1_fraction,regularization_loss,true_class_0_fraction,true_class_1_fraction,vc_class_prior_kl,vc_cross_entropy,vc_discriminator_kl,vc_discriminator_loss,vc_latent_kl,vc_loss,weighted_vc_class_prior_kl,weighted_vc_cross_entropy,weighted_vc_discriminator_kl,weighted_vc_latent_kl,val_accuracy,val_base_total_loss,val_loss,val_predicted_class_0_fraction,val_predicted_class_1_fraction,val_regularization_loss,val_true_class_0_fraction,val_true_class_1_fraction,val_vc_class_prior_kl,val_vc_cross_entropy,val_vc_discriminator_kl,val_vc_discriminator_loss,val_vc_latent_kl,val_vc_loss,val_weighted_vc_class_prior_kl,val_weighted_vc_cross_entropy,val_weighted_vc_discriminator_kl,val_weighted_vc_latent_kl
0,0.5175848603248596,0.6928792595863342,0.6933370232582092,0.4979065954685211,0.5020933747291565,0.0004574748454615474,0.2753623127937317,0.7246376872062683,0.12323066592216492,0.6928792595863342,0.7247611880302429,0.0,0.43479907512664795,0.6928792595863342,0.0,0.6928792595863342,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.524947464466095,0.6920271515846252,0.6924848556518555,0.2550724744796753,0.7449275255203247,0.00045672402484342456,0.2753623127937317,0.7246376872062683,0.12230603396892548,0.6920271515846252,0.6986328363418579,0.0,0.5853336453437805,0.6920271515846252,0.0,0.6920271515846252,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.5203568339347839,0.6903874278068542,0.6908448338508606,0.1780998408794403,0.8219001889228821,0.0004563312395475805,0.2753623127937317,0.7246376872062683,0.12148046493530273,0.6903874278068542,0.6072184443473816,0.0,0.7258457541465759,0.6903874278068542,0.0,0.6903874278068542,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.5147019028663635,0.6898834109306335,0.6903408169746399,0.15120773017406464,0.8487922549247742,0.00045592873357236385,0.2753623127937317,0.7246376872062683,0.12072312831878662,0.6898834109306335,0.6031773686408997,0.0,0.6325806975364685,0.6898834109306335,0.0,0.6898834109306335,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.5389299988746643,0.687011182308197,0.6874675154685974,0.17632849514484406,0.8236715197563171,0.00045541697181761265,0.2753623127937317,0.7246376872062683,0.11994387209415436,0.687011182308197,0.6114980578422546,0.0,0.572009265422821,0.687011182308197,0.0,0.687011182308197,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.5479006171226501,0.6874305009841919,0.6878868937492371,0.22882448136806488,0.7711755037307739,0.0004551367019303143,0.2753623127937317,0.7246376872062683,0.1191553920507431,0.6874305009841919,0.7716309428215027,0.0,0.5036332011222839,0.6874305009841919,0.0,0.6874305009841919,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.5497249960899353,0.684988796710968,0.6854450702667236,0.2302737534046173,0.7697262763977051,0.00045502232387661934,0.2753623127937317,0.7246376872062683,0.118522047996521,0.684988796710968,0.6795958876609802,0.0,0.5338138937950134,0.684988796710968,0.0,0.684988796710968,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.5705030560493469,0.6796847581863403,0.6801409721374512,0.3557165861129761,0.6442834138870239,0.00045490963384509087,0.2753623127937317,0.7246376872062683,0.11780428886413574,0.6796847581863403,0.8057941198348999,0.0,0.45752424001693726,0.6796847581863403,0.0,0.6796847581863403,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.5649415850639343,0.6773031949996948,0.6777592301368713,0.2813204526901245,0.7186795473098755,0.00045475366641767323,0.2753623127937317,0.7246376872062683,0.11709747463464737,0.6773031949996948,0.8320289850234985,0.0,0.500873327255249,0.6773031949996948,0.0,0.6773031949996948,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.5602105259895325,0.6741979122161865,0.6746540069580078,0.23671497404575348,0.7632850408554077,0.0004544775001704693,0.2753623127937317,0.7246376872062683,0.11632737517356873,0.6741979122161865,0.7292870283126831,0.0,0.4220159351825714,0.6741979122161865,0.0,0.6741979122161865,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.5589651465415955,0.6734024286270142,0.6738583445549011,0.23091787099838257,0.7690821290016174,0.0004542827664408833,0.2753623127937317,0.7246376872062683,0.11573240160942078,0.6734024286270142,0.7142009139060974,0.0,0.5339701175689697,0.6734024286270142,0.0,0.6734024286270142,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.5505788922309875,0.6738573312759399,0.6743132472038269,0.2231884002685547,0.7768115997314453,0.0004540904192253947,0.2753623127937317,0.7246376872062683,0.11540896445512772,0.6738573312759399,0.7103561162948608,0.0,0.5302708745002747,0.6738573312759399,0.0,0.6738573312759399,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.5568247437477112,0.6742414236068726,0.6746973395347595,0.2550724744796753,0.7449275255203247,0.0004539888759609312,0.2753623127937317,0.7246376872062683,0.11520736664533615,0.6742414236068726,0.7183542847633362,0.0,0.5365328788757324,0.6742414236068726,0.0,0.6742414236068726,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.5616665482521057,0.6703195571899414,0.6707754135131836,0.38840579986572266,0.6115942001342773,0.0004539914953056723,0.2753623127937317,0.7246376872062683,0.11499927937984467,0.6703195571899414,0.8624269366264343,0.0,0.4963853359222412,0.6703195571899414,0.0,0.6703195571899414,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.5656315088272095,0.6683349013328552,0.6687877774238586,0.36570048332214355,0.6342995166778564,0.00045395668712444603,0.2753623127937317,0.7246376872062683,0.1145835742354393,0.6683349013328552,0.8375686407089233,0.0,0.5014124512672424,0.6683349013328552,0.0,0.6683349013328552,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.5794268846511841,0.6664196252822876,0.6668718457221985,0.370853453874588,0.6291465163230896,0.0004539168148767203,0.2753623127937317,0.7246376872062683,0.11408589035272598,0.6664196252822876,0.8927745819091797,0.0,0.45591703057289124,0.6664196252822876,0.0,0.6664196252822876,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.5720878839492798,0.6663857698440552,0.6668379306793213,0.2768115997314453,0.7231884002685547,0.00045384952682070434,0.2753623127937317,0.7246376872062683,0.11360792815685272,0.6663857698440552,0.8315494060516357,0.0,0.4826633632183075,0.6663857698440552,0.0,0.6663857698440552,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.5851988196372986,0.6654792428016663,0.6659312844276428,0.4578099846839905,0.5421900153160095,0.0004537778440862894,0.2753623127937317,0.7246376872062683,0.11330936849117279,0.6654792428016663,0.8103892803192139,0.0,0.4442310333251953,0.6654792428016663,0.0,0.6654792428016663,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.587222158908844,0.6625484228134155,0.6630005836486816,0.3958131968975067,0.6041867733001709,0.00045367013080976903,0.2753623127937317,0.7246376872062683,0.11242065578699112,0.6625484228134155,0.8618282079696655,0.0,0.4091549515724182,0.6625484228134155,0.0,0.6625484228134155,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
