config_index,is_selected,selection_level,selection_metric,selection_score,selection_score_std,n_folds,config,window_loss_mean,window_joint_loss_mean,window_keras_model_loss_mean,window_accuracy_mean,window_f1_mean,window_precision_mean,window_recall_mean,window_decoder_accuracy_mean,window_loss_std,window_joint_loss_std,window_keras_model_loss_std,window_accuracy_std,window_f1_std,window_precision_std,window_recall_std,window_decoder_accuracy_std,trial_loss_mean,trial_accuracy_mean,trial_f1_mean,trial_precision_mean,trial_recall_mean,trial_loss_std,trial_accuracy_std,trial_f1_std,trial_precision_std,trial_recall_std
0,0,trial,f1,0.38891900410816754,0.10199092300619376,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.5, ""batch_size"": 32, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 512, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",0.7093338220276063,1.0967929181845293,1.0967929181845293,0.5935587761674718,0.4045352694896939,0.4817000634193985,0.48438419258112353,0.28982554829638935,0.07478627514214194,0.09679126098750647,0.09679126098750647,0.18037626389900827,0.09351053000440186,0.16464826077017092,0.045269803804401494,0.1384633270315104,0.7069081883547532,0.5893719806763285,0.38891900410816754,0.3851694501151023,0.5065001459183044,0.07327343518279525,0.19086711367283488,0.10199092300619376,0.11998074366135472,0.08819376077457385
1,1,trial,f1,0.40775343212143095,0.10400349660586118,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.5, ""batch_size"": 32, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 512, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.7254750345660068,1.1417428928872813,1.1417428928872813,0.5951690821256037,0.4081375282161124,0.4324352836811569,0.47728777012984164,0.29184356461400573,0.13912612164732216,0.13762497119844513,0.13762497119844513,0.17683403146884255,0.09386196931415307,0.14588152934094115,0.08643084083042392,0.15159473779220253,0.7212080135260348,0.6086956521739131,0.40775343212143095,0.41583592948682463,0.4938544298838416,0.1347556123442119,0.188560570640326,0.10400349660586118,0.15893029617598553,0.12373215396824035
2,0,trial,f1,0.3627611922958827,0.11764965992654179,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.5, ""batch_size"": 32, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 512, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.5, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",0.6973281278524471,2.214711334394372,2.214711334394372,0.5312399355877617,0.4050920340467151,0.45498045599855236,0.46897542887632404,0.1545328394226406,0.020215654245815,0.8014864482180124,0.8014864482180124,0.1851202014386439,0.11341798354514225,0.12313957297803137,0.10554058007145167,0.14544125003145067,0.6973042499156664,0.5193236714975845,0.3627611922958827,0.38205278488206873,0.4434286106760531,0.020196145056593732,0.21209325042043664,0.11764965992654179,0.11827990779105406,0.1508921353710245
3,0,trial,f1,0.36519255445367327,0.1112244686408159,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.5, ""batch_size"": 32, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 512, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 200, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.5, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.6943126423832541,2.1269726234933604,2.1269726234933604,0.5380032206119163,0.39934904744984545,0.4305736783750679,0.44549284356829116,0.16754961532095206,0.00494885459860925,0.6370119616314921,0.6370119616314921,0.17358933910951244,0.10543674052525596,0.12113902074483211,0.09876004229558087,0.12105171059589043,0.6943035881404949,0.5289855072463768,0.36519255445367327,0.38859650579599425,0.4382508760066305,0.004926199210823524,0.218488909192176,0.1112244686408159,0.1519104533872421,0.11956686957666122
