target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,delta_joint_loss,delta_accuracy,delta_macro_recall,delta_loss,delta_precision,delta_macro_precision,delta_brier_score,delta_f1,delta_macro_f1,delta_ece,delta_balanced_accuracy,delta_roc_auc,delta_recall
0,3,1,"[0, 7, 9]","[2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 16]",180,660,15,0.6857649961209112,0.5681818181818182,0.6528623629719854,0.6683291770573566,0.638095238095238,0.5408600392014236,0.5407282950923848,0.5419642857142857,0.5419642857142857,0.5681448412698413,0.24631322378494094,0.046919715043270305,1.3917689323425293,0.6851296936501152,0.5742424242424242,0.660217654171705,0.6707616707616708,0.65,0.5451189690736821,0.5448670013887406,0.5458333333333334,0.5458333333333334,0.5676884920634921,0.24599653644087482,0.0526847725564783,2.0048727989196777,0.6131038665771484,0.006060606060605989,0.0038690476190477163,-0.0006353024707960175,0.002432493704314198,0.00413870629635571,-0.00031668734406611887,0.00735529119971956,0.00425892987225851,0.005765057513207994,0.0038690476190477163,-0.0004563492063491825,0.011904761904761973
0,3,2,"[2, 8, 11]","[0, 3, 4, 5, 6, 7, 9, 10, 12, 14, 16]",180,660,15,0.689660950716576,0.5424242424242425,0.6243781094527363,0.6536458333333334,0.5976190476190476,0.5195533958116395,0.5206634963768116,0.5217261904761905,0.5217261904761905,0.46961309523809525,0.24825802223962662,0.020115062594413737,1.4595638513565063,0.6889205805302845,0.543939393939394,0.6270136307311028,0.6537467700258398,0.6023809523809524,0.5201344956774423,0.5210125791521141,0.5220238095238094,0.5220238095238094,0.4656845238095238,0.24788884508652437,0.020714658679384084,1.9598695039749146,0.5003056526184082,0.0015151515151514694,0.00029761904761893554,-0.0007403701862914724,0.000100936692506437,0.0003490827753024339,-0.0003691771531022514,0.002635521278366526,0.0005810998658027922,0.0005995960849703476,0.00029761904761893554,-0.003928571428571448,0.004761904761904745
0,3,3,"[3, 11, 16]","[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.6946815134799514,0.4575757575757576,0.5837209302325581,0.5704545454545454,0.5976190476190476,0.4027300303336704,0.4011363636363636,0.4050595238095238,0.4050595238095238,0.4748015873015873,0.25076806491191994,0.06657798814051077,1.4904226064682007,0.6951946830394256,0.4575757575757576,0.5837209302325581,0.5704545454545454,0.5976190476190476,0.4027300303336704,0.4011363636363636,0.4050595238095238,0.4050595238095238,0.47563492063492063,0.2510250555223645,0.14060891379009596,2.1512839794158936,0.6608613729476929,0.0,0.0,0.0005131695594741137,0.0,0.0,0.00025699061044454075,0.0,0.0,0.07403092564958519,0.0,0.0008333333333333526,0.0
0,3,4,"[0, 3, 8]","[2, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",180,660,15,0.6952464720733978,0.48484848484848486,0.556135770234987,0.615606936416185,0.5071428571428571,0.47120867934132016,0.478185633813188,0.4764880952380952,0.4764880952380952,0.454047619047619,0.2510487029147636,0.036274036223238104,1.448235273361206,0.6948424877258456,0.4863636363636364,0.5580182529335072,0.6167146974063401,0.5095238095238095,0.4724991807163015,0.47928386627505504,0.4776785714285714,0.4776785714285714,0.45446428571428565,0.2508471998011631,0.03490407918438759,1.9342602491378784,0.48602497577667236,0.001515151515151525,0.0011904761904761862,-0.0004039843475522886,0.0011077609901550822,0.0010982324618670214,-0.00020150311360050965,0.0018824826985202048,0.0012905013749813232,-0.0013699570388505111,0.0011904761904761862,0.0004166666666666763,0.0023809523809523725
0,3,5,"[2, 6, 7]","[0, 3, 4, 5, 8, 9, 10, 11, 12, 14, 16]",180,660,15,0.6939207127020188,0.48484848484848486,0.556135770234987,0.615606936416185,0.5071428571428571,0.47120867934132016,0.478185633813188,0.4764880952380952,0.4764880952380952,0.45781746031746035,0.25038671145389946,0.036430550705302836,1.3841933012008667,0.6944819421184836,0.47878787878787876,0.544973544973545,0.6130952380952381,0.49047619047619045,0.4675222334796803,0.47630070546737213,0.4744047619047619,0.4744047619047619,0.4578472222222222,0.2506669297729352,0.04251758943904524,2.0530519485473633,0.6688586473464966,-0.0060606060606061,-0.002083333333333326,0.000561229416464748,-0.002511698320946887,-0.0018849283458158839,0.000280218319035741,-0.01116222526144195,-0.003686445861639853,0.006087038733742403,-0.002083333333333326,2.9761904761838043e-05,-0.016666666666666663
0,3,6,"[4, 11, 16]","[0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.6936880594962541,0.4575757575757576,0.5837209302325581,0.5704545454545454,0.5976190476190476,0.4027300303336704,0.4011363636363636,0.4050595238095238,0.4050595238095238,0.4968948412698413,0.2502725450814049,0.0670991360238104,1.4920512437820435,0.6941092782460879,0.4636363636363636,0.5912240184757506,0.5739910313901345,0.6095238095238096,0.4057441678281837,0.40381794560160933,0.4089285714285715,0.4089285714285715,0.49687499999999996,0.2504840946581027,0.17574857888799716,2.207510232925415,0.7154589891433716,0.006060606060606044,0.003869047619047661,0.00042121874983380714,0.0035364859355890843,0.002681581965245705,0.00021154957669777819,0.007503088243192457,0.0030141374945132915,0.10864944286418676,0.003869047619047661,-1.9841269841336384e-05,0.011904761904761973
0,6,1,"[2, 3, 4, 7, 12, 14]","[0, 5, 6, 8, 9, 10, 11, 16]",360,480,15,0.698707133021739,0.42291666666666666,0.5148861646234676,0.5424354243542435,0.49,0.4014019512063354,0.4051890040431505,0.40055555555555555,0.40055555555555555,0.3911111111111111,0.25277899714463775,0.10026569329202177,0.9221188426017761,0.7008537373642476,0.4125,0.5,0.5340909090909091,0.47,0.3939393939393939,0.398989898989899,0.3933333333333333,0.3933333333333333,0.38914814814814813,0.2538510598973855,0.11297237599889438,1.9509997367858887,1.0288808941841125,-0.010416666666666685,-0.007222222222222241,0.0021466043425085735,-0.008344515263334462,-0.006199105053251497,0.0010720627527477378,-0.01488616462346759,-0.00746255726694145,0.012706682706872613,-0.007222222222222241,-0.001962962962962944,-0.020000000000000018
0,6,2,"[4, 5, 6, 8, 9, 12]","[0, 2, 3, 7, 10, 11, 14, 16]",360,480,15,0.6799826742312439,0.64375,0.7026086956521739,0.7345454545454545,0.6733333333333333,0.6292264257481648,0.6282483370288248,0.633888888888889,0.633888888888889,0.6808333333333334,0.24342484761931646,0.12148493230342866,0.9447391033172607,0.6790181792831369,0.6458333333333334,0.7048611111111112,0.7355072463768116,0.6766666666666666,0.6310763888888888,0.6300085251491901,0.6355555555555555,0.6355555555555555,0.6677777777777778,0.2429444906961587,0.12205559934178987,1.8495019674301147,0.904762864112854,0.002083333333333326,0.0016666666666665941,-0.0009644949481070197,0.0009617918313571394,0.0017601881203653802,-0.0004803569231577598,0.0022524154589372847,0.0018499631407240535,0.0005706670383612139,0.0016666666666665941,-0.013055555555555598,0.0033333333333332993
0,6,3,"[0, 2, 3, 6, 7, 16]","[4, 5, 8, 9, 10, 11, 12, 14]",360,480,15,0.7112747329462202,0.3,0.3563218390804598,0.4189189189189189,0.31,0.2945992757046134,0.308296668761785,0.29666666666666663,0.29666666666666663,0.24848148148148144,0.2590557046994969,0.21835289200146996,1.03040611743927,0.7152221927383063,0.28541666666666665,0.3153692614770459,0.39303482587064675,0.2633333333333333,0.2840462865119434,0.30046006526507246,0.2927777777777778,0.2927777777777778,0.2484074074074074,0.2610259461477612,0.23531375341117386,2.075510025024414,1.045103907585144,-0.014583333333333337,-0.0038888888888888307,0.003947459792086105,-0.02588409304827216,-0.007836603496712558,0.0019702414482642983,-0.040952577603413864,-0.010552989192670004,0.016960861409703903,-0.0038888888888888307,-7.407407407403199e-05,-0.04666666666666669
1,3,1,"[12, 13, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15]",180,780,15,0.6970216849478617,0.4653846153846154,0.47281921618204803,0.3393829401088929,0.7791666666666667,0.46527826868920347,0.5539709460369793,0.5525462962962964,0.5525462962962964,0.5611033950617283,0.25193562451426144,0.05202866655129654,1.1656686067581177,0.693597741573935,0.5064102564102564,0.46749654218533887,0.3498964803312629,0.7041666666666667,0.5037602185239717,0.5554196206370119,0.5613425925925926,0.5613425925925926,0.5594830246913579,0.2502249306677068,0.017013165049063944,1.2191531658172607,0.053484559059143066,0.04102564102564099,0.008796296296296191,-0.0034239433739267078,0.01051354022237,0.0014486746000326178,-0.001710693846554645,-0.00532267399670916,0.038481949834768214,-0.03501550150223259,0.008796296296296191,-0.0016203703703704386,-0.07499999999999996
