epoch,accuracy,autoencoder_loss,decoder_accuracy,kl_loss,loss,predicted_class_0_fraction,predicted_class_1_fraction,reconstruction_loss,true_class_0_fraction,true_class_1_fraction,vc_class_prior_kl,vc_cross_entropy,vc_discriminator_kl,vc_discriminator_loss,vc_latent_kl,vc_loss,weighted_kl_loss,weighted_vc_class_prior_kl,weighted_vc_cross_entropy,weighted_vc_discriminator_kl,weighted_vc_latent_kl,val_accuracy,val_autoencoder_loss,val_decoder_accuracy,val_kl_loss,val_loss,val_predicted_class_0_fraction,val_predicted_class_1_fraction,val_reconstruction_loss,val_true_class_0_fraction,val_true_class_1_fraction,val_vc_class_prior_kl,val_vc_cross_entropy,val_vc_discriminator_kl,val_vc_discriminator_loss,val_vc_latent_kl,val_vc_loss,val_weighted_kl_loss,val_weighted_vc_class_prior_kl,val_weighted_vc_cross_entropy,val_weighted_vc_discriminator_kl,val_weighted_vc_latent_kl
0,0.564251184463501,1.2016987800598145,-0.04395294189453125,0.5541449785232544,1.2223314046859741,0.43123993277549744,0.5687600374221802,1.0354554653167725,0.2753623127937317,0.7246376872062683,0.1154952347278595,0.6912428140640259,0.061416372656822205,0.0,0.530098557472229,0.8618220686912537,0.16624343395233154,0.01154952310025692,0.6912428140640259,0.0,0.1590295433998108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5512077212333679,1.0764356851577759,-0.007631778717041016,0.25667235255241394,1.1170423030853271,0.4671497642993927,0.5328502655029297,0.9994338750839233,0.2753623127937317,0.7246376872062683,0.11126280575990677,0.686926543712616,0.08682096004486084,0.0,0.32019609212875366,0.7941116094589233,0.0770016759634018,0.011126280762255192,0.686926543712616,0.0,0.09605883806943893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.5560386180877686,1.0522345304489136,-0.002732992172241211,0.19222837686538696,1.0967718362808228,0.452657014131546,0.5473430156707764,0.994566023349762,0.2753623127937317,0.7246376872062683,0.10719470679759979,0.6835299134254456,0.08118344098329544,0.0,0.2895059585571289,0.7811012864112854,0.057668499648571014,0.010719471611082554,0.6835299134254456,0.0,0.08685179799795151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.5571658611297607,1.0426467657089233,-0.00124359130859375,0.16520816087722778,1.0843740701675415,0.44830918312072754,0.5516908168792725,0.9930844902992249,0.2753623127937317,0.7246376872062683,0.10326279699802399,0.6812986135482788,0.07261598110198975,0.0,0.2665174901485443,0.7715800404548645,0.04956243932247162,0.010326279327273369,0.6812986135482788,0.0,0.07995525002479553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.6392914652824402,1.0355979204177856,-0.0006490945816040039,0.14368508756160736,1.0831712484359741,0.25346216559410095,0.7465378642082214,0.9924924969673157,0.2753623127937317,0.7246376872062683,0.09945885092020035,0.680517315864563,0.06650780141353607,0.0,0.2734280824661255,0.7724917531013489,0.04310553893446922,0.009945884346961975,0.680517315864563,0.0,0.08202844113111496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.5685990452766418,1.0318912267684937,-0.0003859996795654297,0.13220348954200745,1.062914490699768,0.4172302782535553,0.5827697515487671,0.9922299981117249,0.2753623127937317,0.7246376872062683,0.09577786177396774,0.676600456237793,0.06804686039686203,0.0,0.22389692068099976,0.7533474564552307,0.039661046117544174,0.009577784687280655,0.676600456237793,0.0,0.06716908514499664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.5816425085067749,1.0267815589904785,-0.00023126602172851562,0.11567919701337814,1.0563410520553589,0.3855072557926178,0.6144927740097046,0.9920774102210999,0.2753623127937317,0.7246376872062683,0.0922158882021904,0.6755198836326599,0.07423973083496094,0.0,0.2118842601776123,0.7483068108558655,0.03470376133918762,0.009221588261425495,0.6755198836326599,0.0,0.06356526911258698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.5967794060707092,1.0262398719787598,-0.00016832351684570312,0.11408331990242004,1.0603992938995361,0.36425119638442993,0.6357488036155701,0.9920147657394409,0.2753623127937317,0.7246376872062683,0.08876902610063553,0.6746991872787476,0.08574239909648895,0.0,0.2298377901315689,0.7525275945663452,0.03422499820590019,0.008876902982592583,0.6746991872787476,0.0,0.06895137578248978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.6004831194877625,1.018661379814148,-0.0001100301742553711,0.08901610970497131,1.0609002113342285,0.3457326889038086,0.6542673110961914,0.9919567704200745,0.2753623127937317,0.7246376872062683,0.08543417602777481,0.6712653636932373,0.10620174556970596,0.0,0.25164303183555603,0.7553014755249023,0.026704836636781693,0.00854341872036457,0.6712653636932373,0.0,0.07549294829368591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.5574879050254822,1.018527626991272,-8.738040924072266e-05,0.08864347636699677,1.0511996746063232,0.447020947933197,0.552979052066803,0.9919349551200867,0.2753623127937317,0.7246376872062683,0.08220922946929932,0.6679437756538391,0.10273421555757523,0.0,0.23158933222293854,0.7456412315368652,0.02659304253757,0.008220924064517021,0.6679437756538391,0.0,0.06947680562734604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
