target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,delta_recall,delta_brier_score,delta_joint_loss,delta_macro_f1,delta_loss,delta_accuracy,delta_macro_recall,delta_ece,delta_balanced_accuracy,delta_f1,delta_roc_auc,delta_precision,delta_macro_precision
0,3,1,"[0, 7, 9]","[2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 16]",180,660,15,0.6905775617765386,0.6136363636363636,0.723726977248104,0.6640159045725647,0.7952380952380952,0.5407047984477296,0.5581226019678109,0.5455357142857142,0.5455357142857142,0.6044097222222222,0.24871529818606497,0.11038293531446752,1.3943411111831665,0.6902598535648204,0.6242424242424243,0.7464212678936605,0.6541218637992832,0.8690476190476191,0.5106375345316255,0.5574530887623866,0.5324404761904762,0.5324404761904762,0.628125,0.24855643943274652,0.12095703103325584,1.6762903928756714,0.07380952380952388,-0.00015885875331844712,0.2819492816925049,-0.030067263916104037,-0.00031770821171817065,0.010606060606060619,-0.013095238095238049,0.010574095718788312,-0.013095238095238049,0.022694290645556503,0.02371527777777782,-0.009894040773281487,-0.0006695132054242992
0,3,2,"[2, 8, 11]","[0, 3, 4, 5, 6, 7, 9, 10, 12, 14, 16]",180,660,15,0.6900838903470631,0.6212121212121212,0.7306034482758621,0.6673228346456693,0.8071428571428572,0.5464241731175229,0.5672140489017821,0.5514880952380953,0.5514880952380953,0.6530456349206349,0.24846848482266115,0.11804077363375465,1.4138166904449463,0.6898307955536519,0.6303030303030303,0.7540322580645161,0.6538461538461539,0.8904761904761904,0.505064909520063,0.5655594405594406,0.5327380952380952,0.5327380952380952,0.6679662698412698,0.24834192794172502,0.12670048393986433,1.5548511743545532,0.08333333333333326,-0.0001265568809361295,0.14103448390960693,-0.041359263597459894,-0.00025309479341117935,0.009090909090909038,-0.018750000000000044,0.00865971030610968,-0.018750000000000044,0.023428809788654026,0.01492063492063489,-0.013476680799515472,-0.0016546083423414348
0,3,3,"[3, 11, 16]","[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.6921129852555966,0.543939393939394,0.6841552990556139,0.6116322701688556,0.7761904761904762,0.43199590565859713,0.43573739492694746,0.45684523809523814,0.45684523809523814,0.4245238095238095,0.2494829837273415,0.04080971488446905,1.3950591087341309,0.6924198639058634,0.5166666666666667,0.6490649064906491,0.6032719836400818,0.7023809523809523,0.4364545943645459,0.4361389157966491,0.4470238095238095,0.4470238095238095,0.41507936507936505,0.24963645046384034,0.013034045335018285,1.596418857574463,-0.07380952380952388,0.00015346673649882514,0.20135974884033203,0.004458688705948788,0.0003068786502667953,-0.027272727272727226,-0.009821428571428648,-0.027775669549450765,-0.009821428571428648,-0.03509039256496482,-0.009444444444444478,-0.008360286528773742,0.0004015208697016326
0,3,4,"[0, 3, 8]","[2, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",180,660,15,0.6908133168775615,0.5924242424242424,0.7040704070407041,0.65439672801636,0.7619047619047619,0.524784595247846,0.5348007031894665,0.5288690476190476,0.5288690476190476,0.5894196428571428,0.24883317802985672,0.08958313103878135,1.4075496196746826,0.6911645242551022,0.5787878787878787,0.6789838337182448,0.6591928251121076,0.7,0.5333245159780651,0.5352038891915678,0.5333333333333333,0.5333333333333333,0.5906448412698413,0.24900875158330388,0.07619759648135205,1.6059070825576782,-0.06190476190476191,0.0001755735534471614,0.1983574628829956,0.00853992073021903,0.00035120737754068543,-0.013636363636363669,0.004464285714285698,-0.013385534557429302,0.004464285714285698,-0.025086573322459338,0.001225198412698525,0.004796097095747687,0.00040318600210131894
0,3,5,"[2, 6, 7]","[0, 3, 4, 5, 8, 9, 10, 11, 12, 14, 16]",180,660,15,0.6904903498877271,0.6106060606060606,0.7209554831704669,0.6626746506986028,0.7904761904761904,0.5384226037406219,0.5546077656008737,0.5431547619047619,0.5431547619047619,0.6100793650793651,0.2486717027135588,0.10726832295909072,1.3789966106414795,0.6905526142274065,0.603030303030303,0.7095343680709535,0.6639004149377593,0.7619047619047619,0.5413700548488739,0.5510513310643853,0.5434523809523809,0.5434523809523809,0.6119246031746032,0.24870282757980977,0.09986010464754969,1.737869381904602,-0.02857142857142858,3.11248662509811e-05,0.35887277126312256,0.0029474511082520083,6.22643396794853e-05,-0.007575757575757569,0.00029761904761904656,-0.007408218311541037,0.00029761904761904656,-0.01142111509951338,0.0018452380952380665,0.001225764239156546,-0.003556434536488351
0,3,6,"[4, 11, 16]","[0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.692696145784928,0.543939393939394,0.6841552990556139,0.6116322701688556,0.7761904761904762,0.43199590565859713,0.43573739492694746,0.45684523809523814,0.45684523809523814,0.4005654761904762,0.2497744984278759,0.04110554926323173,1.4134671688079834,0.6937748856688605,0.4818181818181818,0.5879518072289157,0.5951219512195122,0.580952380952381,0.44499631177772314,0.44556097560975605,0.4446428571428572,0.4446428571428572,0.38769841269841265,0.25031384765327963,0.021129985831000564,1.5943937301635742,-0.1952380952380952,0.000539349225403718,0.18092656135559082,0.013000406119126007,0.001078739883932478,-0.06212121212121213,-0.012202380952380965,-0.01997556343223117,-0.012202380952380965,-0.09620349182669818,-0.012867063492063568,-0.016510318949343405,0.009823580682808586
0,6,1,"[2, 3, 4, 7, 12, 14]","[0, 5, 6, 8, 9, 10, 11, 16]",360,480,15,0.692137183373454,0.6104166666666667,0.726207906295754,0.6475195822454308,0.8266666666666667,0.5255588267940864,0.5557185540093134,0.5383333333333333,0.5383333333333333,0.4997407407407408,0.2494950106896887,0.10765538339813552,1.1304759979248047,0.6937921290209335,0.5166666666666667,0.5972222222222222,0.6231884057971014,0.5733333333333334,0.4965277777777778,0.4978687127024723,0.49777777777777776,0.49777777777777776,0.43265740740740743,0.25032244436210915,0.013646740590532724,1.6121833324432373,-0.2533333333333333,0.0008274336724204412,0.4817073345184326,-0.029031049016308597,0.0016549456474794777,-0.09375,-0.04055555555555557,-0.0940086428076028,-0.04055555555555557,-0.12898568407353184,-0.06708333333333338,-0.024331176448329384,-0.057849841306841066
0,6,2,"[4, 5, 6, 8, 9, 12]","[0, 2, 3, 7, 10, 11, 14, 16]",360,480,15,0.6910521192625343,0.6520833333333333,0.7488721804511278,0.6821917808219178,0.83,0.5913852427679368,0.6193567599761762,0.5927777777777777,0.5927777777777777,0.6215833333333334,0.24895250850200018,0.14950157701969147,1.1955031156539917,0.6916456592758162,0.58125,0.6752827140549273,0.6551724137931034,0.6966666666666667,0.5429199494028303,0.5449775112443778,0.5427777777777778,0.5427777777777778,0.5861296296296297,0.2492492702896162,0.07880962441364925,1.4509295225143433,-0.1333333333333333,0.0002967617876160067,0.25542640686035156,-0.04846529336510652,0.0005935400132819346,-0.0708333333333333,-0.04999999999999993,-0.07069195260604222,-0.04999999999999993,-0.07358946639620045,-0.03545370370370371,-0.027019367028814356,-0.07437924873179846
0,6,3,"[0, 2, 3, 6, 7, 16]","[4, 5, 8, 9, 10, 11, 12, 14]",360,480,15,0.6915958807887169,0.5125,0.6454545454545455,0.5916666666666667,0.71,0.43272727272727274,0.43333333333333335,0.44666666666666666,0.44666666666666666,0.4928703703703703,0.2492244717534632,0.009091546262303907,1.068699598312378,0.6931924251745679,0.425,0.5035971223021583,0.546875,0.4666666666666667,0.41021440273523757,0.41629464285714285,0.4111111111111111,0.4111111111111111,0.41962962962962963,0.2500227581884736,0.0789240505546332,1.72865891456604,-0.2433333333333333,0.0007982864350103702,0.6599593162536621,-0.022512869992035167,0.0015965443858509953,-0.08749999999999997,-0.03555555555555556,0.06983250429232929,-0.03555555555555556,-0.14185742315238725,-0.07324074074074066,-0.044791666666666674,-0.0170386904761905
1,3,1,"[12, 13, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15]",180,780,15,0.6913033157658137,0.6371794871794871,0.1844380403458213,0.29906542056074764,0.13333333333333333,0.47556609354471613,0.4950007637722015,0.49722222222222223,0.49722222222222223,0.5016473765432099,0.24907809578504134,0.13443681139212382,1.267456293106079,0.6865322466958854,0.6923076923076923,0.0,0.0,0.0,0.4090909090909091,0.34615384615384615,0.5,0.5,0.5013657407407408,0.24669298309795354,0.18345201802559385,1.1766090393066406,-0.13333333333333333,-0.002385112687087798,-0.09084725379943848,-0.06647518445380701,-0.004771069069928302,0.055128205128205154,0.002777777777777768,0.04901520663347003,0.002777777777777768,-0.1844380403458213,-0.0002816358024690935,-0.29906542056074764,-0.14884691761835533
