target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_decoder_r2,delta_ece,delta_brier_score,delta_joint_loss,delta_f1,delta_roc_auc,delta_decoder_r2,delta_macro_f1,delta_balanced_accuracy,delta_macro_precision,delta_macro_recall,delta_loss,delta_recall,delta_accuracy,delta_precision
0,3,1,"[0, 1, 7]","[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",768,3840,3,0.7030564790321404,0.64140625,0.7719821162444114,0.7232392181197642,0.8277698863636364,0.4664298149777816,0.46858881489456605,0.4783380681818182,0.4783380681818182,0.3927525607022372,0.24430258897080132,0.10074130276026458,1.515328288078308,-0.017596721649169922,0.752661926294387,0.521875,0.6645962732919255,0.6843491346877352,0.6459517045454546,0.41616033066228186,0.4204317585452212,0.4133078835227273,0.4133078835227273,0.3639193448153409,0.2739575569387605,0.12933786244216508,1.4233994483947754,0.0,0.028596559681900502,0.02965496796795919,-0.09192883968353271,-0.10738584295248588,-0.028833215886896302,0.017596721649169922,-0.05026948431549971,-0.06503018465909088,-0.04815705634934486,-0.06503018465909088,0.04960544726224658,-0.18181818181818177,-0.11953124999999998,-0.03889008343202904
0,3,2,"[1, 5, 12]","[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",768,3840,3,0.6889872839543486,0.65546875,0.7817191882527635,0.7300462249614792,0.8412642045454546,0.48227404749265723,0.48939286037989926,0.4928977272727273,0.4928977272727273,0.42438125610351557,0.2379763117524821,0.0898559177298739,1.5697786808013916,-0.01616060733795166,0.7419668651108391,0.51953125,0.6506343495550085,0.6969574036511156,0.6100852272727273,0.44078195176791696,0.4492059745528305,0.44029651988636365,0.44029651988636365,0.4241329539905895,0.26990855833092187,0.1307973700716684,1.52223801612854,0.0,0.040941452341794485,0.031932246578439766,-0.04754066467285156,-0.131084838697755,-0.00024830211292609095,0.01616060733795166,-0.041492095724740274,-0.052601207386363646,-0.04018688582706875,-0.052601207386363646,0.052979581156490485,-0.2311789772727273,-0.13593750000000004,-0.033088821310363614
0,6,1,"[7, 9, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 16, 17]",1536,3072,3,0.6972714251299253,0.6774088541666666,0.8026289583748257,0.7416267942583732,0.8745659722222222,0.46008562789622853,0.4637711436080598,0.4802517361111111,0.4802517361111111,0.3533737747757523,0.2383560680382271,0.12618589401972713,1.8592921495437622,-0.013961195945739746,0.8499387671757767,0.400390625,0.5035040431266846,0.6642958748221907,0.4053819444444444,0.37336253922973506,0.4209834716247808,0.3953993055555556,0.3953993055555556,0.346923828125,0.3190992390202069,0.24479598057120414,1.8579150438308716,0.0,0.118610086551477,0.08074317098197983,-0.001377105712890625,-0.2991249152481411,-0.006449946650752325,0.013961195945739746,-0.08672308866649348,-0.08485243055555552,-0.04278767198327904,-0.08485243055555552,0.1526673420458513,-0.4691840277777778,-0.27701822916666663,-0.07733091943618253
0,6,2,"[0, 11, 12, 14, 16, 17]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15]",1536,3072,3,0.7215963574198317,0.6585286458333334,0.791575601033181,0.7299377061194576,0.8645833333333334,0.42369059079561844,0.41015835743290663,0.45247395833333337,0.45247395833333337,0.30408958152488424,0.248792533676477,0.13172990091364534,1.8659992218017578,-0.01371920108795166,0.7556817120299705,0.6188151041666666,0.7633865427359062,0.7141776937618147,0.8198784722222222,0.3917351123721372,0.37114036912915094,0.4177517361111111,0.4177517361111111,0.2662703902633102,0.2639772359150659,0.12086098945367965,1.9341312646865845,0.0,-0.010868911459965686,0.015184702238588893,0.06813204288482666,-0.028189058297274805,-0.03781919126157407,0.01371920108795166,-0.03195547842348123,-0.034722222222222265,-0.03901798830375569,-0.034722222222222265,0.03408535461013873,-0.04470486111111116,-0.03971354166666674,-0.015760012357642905
1,3,1,"[12, 13, 16]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 17]",768,3840,3,0.7841557769908268,0.49973958333333335,0.4738427827992331,0.408983451536643,0.5631510416666666,0.49852476692704273,0.5099989721451331,0.5103081597222222,0.5103081597222222,0.5135173091182003,0.2860263384196075,0.15400356429873988,1.0478153228759766,-0.009492039680480957,0.7456621072929214,0.534375,0.35959885386819485,0.3996815286624204,0.3268229166666667,0.4969025365903985,0.4997633649504053,0.49978298611111116,0.49978298611111116,0.49453254982277195,0.26994420791789747,0.1185755764365846,0.9894129037857056,0.0,-0.03542798786215527,-0.016082130501710035,-0.058402419090270996,-0.11424392893103824,-0.01898475929542831,0.009492039680480957,-0.0016222303366442148,-0.01052517361111105,-0.010235607194727825,-0.01052517361111105,-0.038493669697905464,-0.23632812499999994,0.034635416666666696,-0.009301922874222601
1,3,2,"[5, 6, 14]","[0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]",768,3840,3,0.7821250767530477,0.49140625,0.4807232119117256,0.40629213483146065,0.5885416666666666,0.4911908991429003,0.5074804327408078,0.5075954861111112,0.5075954861111112,0.5216112490053529,0.2856379942616743,0.164490919898041,1.051567554473877,-0.009293556213378906,0.7403830752778116,0.5205729166666667,0.3744478423377506,0.3916133617626155,0.3587239583333333,0.4929026207677776,0.49338169115668795,0.4935980902777778,0.4935980902777778,0.49595274748625584,0.2689900465138519,0.1197574052522153,0.9496867060661316,0.0,-0.04473351464582569,-0.01664794774782241,-0.10188084840774536,-0.10627536957397504,-0.0256585015190971,0.009293556213378906,0.0017117216248772604,-0.01399739583333337,-0.014098741584119834,-0.01399739583333337,-0.0417420014752361,-0.22981770833333331,0.02916666666666673,-0.01467877306884513
1,6,1,"[0, 6, 9, 13, 14, 16]","[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 15, 17]",1536,3072,3,0.718844169105048,0.5670572916666666,0.5598941098610192,0.4856486796785304,0.6609375,0.5669425706255768,0.5796664451024232,0.58046875,0.58046875,0.6070377894810268,0.2573609720057753,0.09063397947799483,0.9318856596946716,-0.00936734676361084,0.8813949153237884,0.4095052083333333,0.3006939090208173,0.2968036529680365,0.3046875,0.39485399676392974,0.39527327130768153,0.39453125,0.39453125,0.35921979631696427,0.3287005330196185,0.25600738310149607,1.219478964805603,0.0,0.16537340362350123,0.0713395610138432,0.2875933051109314,-0.2592002008402019,-0.24781799316406256,0.00936734676361084,-0.1720885738616471,-0.18593749999999998,-0.18439317379474163,-0.18593749999999998,0.16255074621874044,-0.35624999999999996,-0.15755208333333331,-0.1888450267104939
1,6,2,"[2, 4, 12, 13, 15, 16]","[0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 14, 17]",1536,3072,3,0.7856605050699969,0.4925130208333333,0.48767663489977,0.420873511060692,0.5796875,0.49246779181299366,0.5049363735593758,0.5049665178571429,0.5049665178571429,0.5124825613839286,0.28703674761991643,0.16352100322831875,1.044799566268921,-0.00910484790802002,0.7417074129950008,0.5149739583333334,0.37916666666666665,0.40625,0.35546875,0.4905982905982906,0.4918032786885246,0.4921875,0.4921875,0.4860966273716518,0.270481410771582,0.11570330315377458,0.8783815503120422,0.0,-0.04781770007454417,-0.016555336848334434,-0.16641801595687866,-0.10850996823310333,-0.026385934012276735,0.00910484790802002,-0.0018695012147030843,-0.01277901785714286,-0.013133094870851236,-0.01277901785714286,-0.04395309207499609,-0.22421875000000002,0.022460937500000056,-0.014623511060691985
