task,subject_id,objective,n_eligible,n_completed,n_error,n_pending,typical_percent,latent_target_success_percent,typicality_success_percent,n_round_trip_evaluated,decoded_target_success_percent,decoded_typical_percent,decoded_typicality_success_percent,reconstruction_preserves_prediction_percent,d_z_median,d_z_q25,d_z_q75,d_z_n,delta_dec_median,delta_dec_q25,delta_dec_q75,delta_dec_n,e_rec_median,e_rec_q25,e_rec_q75,e_rec_n,reconstruction_confidence_drop_median,reconstruction_confidence_drop_q25,reconstruction_confidence_drop_q75,reconstruction_confidence_drop_n,counterfactual_target_probability_drop_median,counterfactual_target_probability_drop_q25,counterfactual_target_probability_drop_q75,counterfactual_target_probability_drop_n,reconstruction_embedding_cycle_rmse_median,reconstruction_embedding_cycle_rmse_q25,reconstruction_embedding_cycle_rmse_q75,reconstruction_embedding_cycle_rmse_n,counterfactual_embedding_cycle_rmse_median,counterfactual_embedding_cycle_rmse_q25,counterfactual_embedding_cycle_rmse_q75,counterfactual_embedding_cycle_rmse_n,n_physiologically_assessed,physiological_pass_percent,available_physiological_checks_pass_percent,provisional,fold_status
arousal,0,base,5,5,0,0,100.0,100.0,100.0,5,0.0,100.0,0.0,80.0,0.53459632396698,0.5187389254570007,0.5628460049629211,5,0.32077484955048674,0.3094355653953907,0.3318856537181112,5,0.6329108974109295,0.6114066076631034,0.7252047989417697,5,0.09627598524093628,-0.02702915668487549,0.09949427843093872,5,0.5000937581062317,0.484100878238678,0.5626300275325775,5,0.697772204875946,0.6219885945320129,0.8439257740974426,5,0.8750078082084656,0.7985985279083252,0.8756787180900574,5,0,,0.0,False,completed
arousal,0,typicality,5,5,0,0,100.0,100.0,100.0,5,0.0,100.0,0.0,80.0,1.358044147491455,1.3142361640930176,1.3926124572753906,5,0.3202822368560842,0.31876213246985485,0.3310201396188608,5,0.6329108974109295,0.6114066076631034,0.7252047989417697,5,0.09627598524093628,-0.02702915668487549,0.09949427843093872,5,0.6338844299316406,0.567083865404129,0.6717096269130707,5,0.697772204875946,0.6219885945320129,0.8439257740974426,5,1.3601778745651245,1.3265928030014038,1.3828926086425781,5,0,,0.0,False,completed
