task,subject_id,trial_id,representation,discrepancy,threshold,correct
arousal,0,0,observed_class_1,0.9755183458328247,1.0264744748338128,True
arousal,0,1,observed_class_1,1.0135258436203003,1.0264744748338128,False
arousal,0,2,observed_class_1,0.9901373982429504,1.0264744748338128,False
arousal,0,3,observed_class_1,0.9890074729919434,1.0264744748338128,False
arousal,0,4,observed_class_1,1.0158237218856812,1.0264744748338128,True
arousal,0,5,observed_class_0,1.01631498336792,1.0264744748338128,True
arousal,0,6,observed_class_1,1.0064969062805176,1.0264744748338128,False
arousal,0,7,observed_class_0,0.9854936599731445,1.0264744748338128,True
arousal,0,8,observed_class_0,1.0173143148422241,1.0264744748338128,True
arousal,0,9,observed_class_1,0.9851625561714172,1.0264744748338128,True
arousal,0,10,observed_class_0,0.997464656829834,1.0264744748338128,False
arousal,0,11,observed_class_1,0.962348461151123,1.0264744748338128,True
arousal,0,12,observed_class_1,1.018489122390747,1.0264744748338128,True
arousal,0,13,observed_class_0,0.953693151473999,1.0264744748338128,False
arousal,0,14,observed_class_1,0.9933761358261108,1.0264744748338128,True
arousal,0,15,observed_class_0,0.9924377799034119,1.0264744748338128,True
arousal,0,16,observed_class_0,1.012266993522644,1.0264744748338128,True
arousal,0,17,observed_class_1,0.9666458964347839,1.0264744748338128,True
arousal,0,5,base_reencoded,1.0060334205627441,1.0264744748338128,
arousal,0,5,base,0.9422534704208374,1.0264744748338128,
arousal,0,5,typicality_reencoded,0.9967426657676697,1.0264744748338128,
arousal,0,5,typicality,0.7650033235549927,1.0264744748338128,
arousal,0,7,base_reencoded,0.971966564655304,1.0264744748338128,
arousal,0,7,base,0.9105156064033508,1.0264744748338128,
arousal,0,7,typicality_reencoded,0.9705615043640137,1.0264744748338128,
arousal,0,7,typicality,0.7631033062934875,1.0264744748338128,
arousal,0,8,base_reencoded,0.9994197487831116,1.0264744748338128,
arousal,0,8,base,0.945558488368988,1.0264744748338128,
arousal,0,8,typicality_reencoded,1.005963683128357,1.0264744748338128,
arousal,0,8,typicality,0.7677509188652039,1.0264744748338128,
arousal,0,15,base_reencoded,0.9961081743240356,1.0264744748338128,
arousal,0,15,base,0.9515189528465271,1.0264744748338128,
arousal,0,15,typicality_reencoded,0.9988007545471191,1.0264744748338128,
arousal,0,15,typicality,0.7659753561019897,1.0264744748338128,
arousal,0,16,base_reencoded,1.0233983993530273,1.0264744748338128,
arousal,0,16,base,0.9443092346191406,1.0264744748338128,
arousal,0,16,typicality_reencoded,1.0158175230026245,1.0264744748338128,
arousal,0,16,typicality,0.7703720927238464,1.0264744748338128,
