step,target_loss_component,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm
0,confidence,0.5,1.168039083480835,0.7041047215461731,0.0,0.499348908662796,4.139995574951172,0.7041047215461731,0.0,0.04993489012122154,0.4139995574951172,0.499348908662796,0.7041047215461731,1.7088463306427002,0.0,0.0,0.0,0.0,1,0.2967306971549988,False,0.2967306971549988,0.703269362449646,1.0527116060256958
1,confidence,0.5,4.661068916320801,0.0,0.20440417528152466,2.1065359115600586,44.29975128173828,0.0,0.020440418273210526,0.21065358817577362,4.4299750328063965,2.1065359115600586,0.0,3.0524315661750734e-06,0.0,0.0,0.0,0.0,0,0.9987649917602539,True,0.9987649917602539,0.0012350737815722823,0.08010347187519073
2,confidence,0.5,1.5058214664459229,0.0,0.5423351526260376,4.0212249755859375,10.494653701782227,0.0,0.05423351749777794,0.40212249755859375,1.0494654178619385,4.0212249755859375,0.0,3.32279364556598e-06,0.0,0.0,0.0,0.0,0,0.9987114667892456,True,0.9987114667892456,0.0012885621981695294,0.02274719998240471
3,confidence,0.5,1.0460931062698364,0.0,0.9429745674133301,6.000853538513184,3.5171029567718506,0.0,0.09429746121168137,0.6000853776931763,0.3517102897167206,6.000853538513184,0.0,3.6410140182852047e-06,0.0,0.0,0.0,0.0,0,0.9986512064933777,True,0.9986512064933777,0.0013488169061020017,0.005779953207820654
4,confidence,0.5,1.1549149751663208,0.0,1.3662617206573486,7.932401657104492,2.250486373901367,0.0,0.13662616908550262,0.7932401895523071,0.22504864633083344,7.932401657104492,0.0,3.854785518342396e-06,0.0,0.0,0.0,0.0,0,0.9986121654510498,True,0.9986121654510498,0.001387772266753018,0.004085422959178686
5,confidence,0.5,1.3087565898895264,0.0,1.7900575399398804,9.709795951843262,1.5877113342285156,0.0,0.17900575697422028,0.970979630947113,0.15877114236354828,9.709795951843262,0.0,4.041222837258829e-06,0.0,0.0,0.0,0.0,0,0.9985790252685547,True,0.9985790252685547,0.001421036315150559,0.0035029049031436443
6,confidence,0.5,1.4624379873275757,0.0,2.2027063369750977,11.283466339111328,1.1382070779800415,0.0,0.22027063369750977,1.1283466815948486,0.11382070928812027,11.283466339111328,0.0,4.221842573315371e-06,0.0,0.0,0.0,0.0,0,0.9985476136207581,True,0.9985476136207581,0.0014524159487336874,0.0030591387767344713
7,confidence,0.5,1.604901909828186,0.0,2.597731351852417,12.6365966796875,0.8146906495094299,0.0,0.2597731351852417,1.2636597156524658,0.08146906644105911,12.6365966796875,0.0,4.397041720949346e-06,0.0,0.0,0.0,0.0,0,0.9985178112983704,True,0.9985178112983704,0.0014822164084762335,0.0027781850658357143
8,confidence,0.5,1.7331554889678955,0.0,2.97149920463562,13.766127586364746,0.5939275622367859,0.0,0.2971499264240265,1.3766127824783325,0.05939275771379471,13.766127586364746,0.0,4.564455593936145e-06,0.0,0.0,0.0,0.0,0,0.9984898567199707,True,0.9984898567199707,0.001510151894763112,0.002667401684448123
9,confidence,0.5,1.8427997827529907,0.0,3.3221216201782227,14.676301956176758,0.42957356572151184,0.0,0.3322121798992157,1.4676302671432495,0.0429573580622673,14.676301956176758,0.0,4.721624463854823e-06,0.0,0.0,0.0,0.0,0,0.9984641075134277,True,0.9984641075134277,0.001535954768769443,0.002557604806497693
10,confidence,0.5,1.9341744184494019,0.0,3.6487929821014404,15.377906799316406,0.31504562497138977,0.0,0.364879310131073,1.5377906560897827,0.031504563987255096,15.377906799316406,0.0,4.868248197453795e-06,0.0,0.0,0.0,0.0,0,0.9984404444694519,True,0.9984404444694519,0.0015595104778185487,0.002510298043489456
