epoch,accuracy,autoencoder_loss,base_total_loss,decoder_accuracy,kl_loss,loss,predicted_class_0_fraction,predicted_class_1_fraction,reconstruction_loss,regularization_loss,true_class_0_fraction,true_class_1_fraction,vc_class_prior_kl,vc_cross_entropy,vc_discriminator_kl,vc_discriminator_loss,vc_latent_kl,vc_loss,weighted_kl_loss,weighted_vc_class_prior_kl,weighted_vc_cross_entropy,weighted_vc_discriminator_kl,weighted_vc_latent_kl,val_accuracy,val_autoencoder_loss,val_base_total_loss,val_decoder_accuracy,val_kl_loss,val_loss,val_predicted_class_0_fraction,val_predicted_class_1_fraction,val_reconstruction_loss,val_regularization_loss,val_true_class_0_fraction,val_true_class_1_fraction,val_vc_class_prior_kl,val_vc_cross_entropy,val_vc_discriminator_kl,val_vc_discriminator_loss,val_vc_latent_kl,val_vc_loss,val_weighted_kl_loss,val_weighted_vc_class_prior_kl,val_weighted_vc_cross_entropy,val_weighted_vc_discriminator_kl,val_weighted_vc_latent_kl
0,0.5069414973258972,1.531482458114624,1.4707112312316895,-0.35986101627349854,0.581145167350769,1.4716267585754395,0.5653784275054932,0.43462157249450684,1.3571391105651855,0.0009172370773740113,0.2753623127937317,0.7246376872062683,0.11926906555891037,0.6930422782897949,0.7368567585945129,0.0,0.48779812455177307,0.7049692273139954,0.17434346675872803,0.011926905252039433,0.6930422782897949,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5271402597427368,1.144765853881836,1.2757835388183594,-0.04403340816497803,0.3423156440258026,1.2766999006271362,0.40628018975257874,0.5937197804450989,1.0420708656311035,0.0009191353456117213,0.2753623127937317,0.7246376872062683,0.11141546070575714,0.6922590136528015,0.6821601986885071,0.0,0.3991408944129944,0.7034008502960205,0.10269463062286377,0.01114154513925314,0.6922590136528015,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.5174329280853271,1.036360740661621,1.2212047576904297,0.04510229825973511,0.27640029788017273,1.222123384475708,0.2653784155845642,0.7346215844154358,0.9534409046173096,0.0009202585206367075,0.2753623127937317,0.7246376872062683,0.10409519821405411,0.6926144361495972,0.6108352541923523,0.0,0.5789949297904968,0.7030239701271057,0.08292004466056824,0.010409520007669926,0.6926144361495972,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.5166903138160706,0.9755048155784607,1.190078854560852,0.09582275152206421,0.24323317408561707,1.1909977197647095,0.4389694035053253,0.5610305666923523,0.9025347828865051,0.000921001483220607,0.2753623127937317,0.7246376872062683,0.09724131226539612,0.6926031708717346,0.5836342573165894,0.0,0.2242215871810913,0.702326774597168,0.07296992838382721,0.009724127128720284,0.6926031708717346,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.5094974040985107,0.9507388472557068,1.1769152879714966,0.12217825651168823,0.2480994015932083,1.1778347492218018,0.05056360736489296,0.949436366558075,0.8763090968132019,0.0009214241290464997,0.2753623127937317,0.7246376872062683,0.09082383662462234,0.6924633383750916,0.5899924635887146,0.0,1.1275993585586548,0.7015458345413208,0.07442981749773026,0.009082379750907421,0.6924633383750916,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.5062635540962219,0.9220436215400696,1.1622693538665771,0.14353424310684204,0.22345952689647675,1.1631889343261719,0.10144927352666855,0.8985507488250732,0.8550058007240295,0.0009216453763656318,0.2753623127937317,0.7246376872062683,0.08481796830892563,0.6927651166915894,0.5613119006156921,0.0,0.8145524859428406,0.7012471556663513,0.06703784316778183,0.008481796830892563,0.6927651166915894,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.5019767880439758,0.9049102067947388,1.1528704166412354,0.15929126739501953,0.21902716159820557,1.15378999710083,0.1450885683298111,0.8549114465713501,0.8392019271850586,0.000921803351957351,0.2753623127937317,0.7246376872062683,0.07920092344284058,0.6924951672554016,0.5779470801353455,0.0,0.91192626953125,0.7004151344299316,0.06570815294981003,0.007920094765722752,0.6924951672554016,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.5090764164924622,0.890364944934845,1.1450752019882202,0.17072898149490356,0.208537757396698,1.1459949016571045,0.19210949540138245,0.8078904747962952,0.8278037905693054,0.0009219326893799007,0.2753623127937317,0.7246376872062683,0.07395224273204803,0.6924977898597717,0.5479177832603455,0.0,0.8540282249450684,0.6998928189277649,0.06256133317947388,0.007395226042717695,0.6924977898597717,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.5091757774353027,0.8773626089096069,1.1380621194839478,0.1824072003364563,0.2040882259607315,1.138981819152832,0.16038647294044495,0.8396134972572327,0.8161361813545227,0.0009220557985827327,0.2753623127937317,0.7246376872062683,0.06905264407396317,0.6924750804901123,0.637981653213501,0.0,0.6897605061531067,0.6993801593780518,0.06122646480798721,0.006905268877744675,0.6924750804901123,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.5075734853744507,0.8708997964859009,1.1343611478805542,0.18850553035736084,0.20286333560943604,1.1352808475494385,0.11417069286108017,0.8858293294906616,0.8100411295890808,0.0009221886866725981,0.2753623127937317,0.7246376872062683,0.06448439508676529,0.6924624443054199,0.5965248942375183,0.0,1.0482736825942993,0.6989110112190247,0.06085900217294693,0.006448440253734589,0.6924624443054199,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.5082866549491882,0.8603010177612305,1.128718614578247,0.19748473167419434,0.19737379252910614,1.1296385526657104,0.1394525021314621,0.8605474829673767,0.8010891675949097,0.0009222993976436555,0.2753623127937317,0.7246376872062683,0.06023050472140312,0.6925451159477234,0.5203551054000854,0.0,1.0278371572494507,0.6985681056976318,0.05921213701367378,0.006023047026246786,0.6925451159477234,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.5042925477027893,0.8537147641181946,1.1252071857452393,0.20413738489151,0.19766993820667267,1.126127004623413,0.12769725918769836,0.8723027110099792,0.7944137454032898,0.000922391889616847,0.2753623127937317,0.7246376872062683,0.056275080889463425,0.6927229166030884,0.5236744284629822,0.0,0.8117697834968567,0.6983504891395569,0.05930100381374359,0.0056275068782269955,0.6927229166030884,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.5049417614936829,0.847709596157074,1.1220492124557495,0.21146667003631592,0.20198629796504974,1.1229690313339233,0.023832527920603752,0.9761675000190735,0.7871131896972656,0.0009225219255313277,0.2753623127937317,0.7246376872062683,0.05260332673788071,0.6929339170455933,0.5571306347846985,0.0,1.1884132623672485,0.6981943249702454,0.06059589236974716,0.005260334815829992,0.6929339170455933,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.5073979496955872,0.8413758277893066,1.1185559034347534,0.21620053052902222,0.19659757614135742,1.1194759607315063,0.018518518656492233,0.9814814925193787,0.782396137714386,0.0009226411348208785,0.2753623127937317,0.7246376872062683,0.04920097067952156,0.6929479241371155,0.5805549621582031,0.0,1.2456592321395874,0.6978680491447449,0.05897928774356842,0.0049200961366295815,0.6929479241371155,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.503748893737793,0.838054895401001,1.1163643598556519,0.21998155117034912,0.19778649508953094,1.1172844171524048,0.004508856683969498,0.9954911470413208,0.7787187099456787,0.0009227707632817328,0.2753623127937317,0.7246376872062683,0.04605468735098839,0.6927316784858704,0.6035428047180176,0.0,1.5857880115509033,0.6973372101783752,0.059335943311452866,0.004605470225214958,0.6927316784858704,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.5079126954078674,0.8313189148902893,1.1126115322113037,0.22591900825500488,0.1950695961713791,1.1135315895080566,0.007246376946568489,0.9927536249160767,0.7727985382080078,0.0009229028946720064,0.2753623127937317,0.7246376872062683,0.04315177723765373,0.6926366686820984,0.5997922420501709,0.0,1.797268271446228,0.696951687335968,0.058520879596471786,0.004315176513046026,0.6926366686820984,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.5133920907974243,0.827487587928772,1.1102311611175537,0.23010599613189697,0.19669799506664276,1.1111512184143066,0.016264090314507484,0.9837359189987183,0.7684779167175293,0.0009230338619090617,0.2753623127937317,0.7246376872062683,0.04047946631908417,0.692439615726471,0.6124864816665649,0.0,1.776235580444336,0.6964876651763916,0.05900939926505089,0.004047946538776159,0.692439615726471,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.512152373790741,0.8236136436462402,1.1077852249145508,0.23393648862838745,0.1965668648481369,1.1087111234664917,0.026247987523674965,0.9737520217895508,0.764643669128418,0.0009231647709384561,0.2753623127937317,0.7246376872062683,0.038025788962841034,0.6921758651733398,0.6249570250511169,0.0,1.7397077083587646,0.6959782242774963,0.05897009000182152,0.003802575170993805,0.6921758651733398,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.5149768590927124,0.8189972043037415,1.1046544313430786,0.2386588454246521,0.19641157984733582,1.1055808067321777,0.026247987523674965,0.9737520217895508,0.760073721408844,0.0009232947486452758,0.2753623127937317,0.7246376872062683,0.03577892482280731,0.6915785074234009,0.5843740105628967,0.0,1.6931219100952148,0.6951561570167542,0.05892348662018776,0.0035778931342065334,0.6915785074234009,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.5046203136444092,0.8151840567588806,1.1033236980438232,0.24294745922088623,0.19819693267345428,1.1042499542236328,0.07809983938932419,0.9219001531600952,0.7557248473167419,0.0009234308381564915,0.2753623127937317,0.7246376872062683,0.033727556467056274,0.692359209060669,0.6721197962760925,0.0,1.3325625658035278,0.6957318186759949,0.05945910885930061,0.003372755367308855,0.692359209060669,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.5119244456291199,0.8132163882255554,1.1021006107330322,0.24408066272735596,0.19544684886932373,1.1030268669128418,0.03301127254962921,0.966988742351532,0.754582405090332,0.0009235971956513822,0.2753623127937317,0.7246376872062683,0.03186070919036865,0.6923060417175293,0.7540620565414429,0.0,1.1902565956115723,0.6954923272132874,0.058634065091609955,0.003186072688549757,0.6923060417175293,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.508029580116272,0.8101975917816162,1.1006015539169312,0.24813121557235718,0.19876284897327423,1.1015279293060303,0.0339774563908577,0.9660225510597229,0.7505689859390259,0.0009237523772753775,0.2753623127937317,0.7246376872062683,0.030167408287525177,0.6924859285354614,0.7619816064834595,0.0,1.1724752187728882,0.6955023407936096,0.05962888151407242,0.003016740782186389,0.6924859285354614,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.5006786584854126,0.8113382458686829,1.1014546155929565,0.24701857566833496,0.19911843538284302,1.1023811101913452,0.008373591117560863,0.9916263818740845,0.751602828502655,0.0009238620405085385,0.2753623127937317,0.7246376872062683,0.028637012466788292,0.6929215788841248,0.508358359336853,0.0,1.5715091228485107,0.6957850456237793,0.05973551794886589,0.0028637018986046314,0.6929215788841248,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.5000002980232239,0.8044063448905945,1.0977404117584229,0.25269269943237305,0.19473309814929962,1.098666787147522,0.0,1.0,0.7459864616394043,0.0009240329964086413,0.2753623127937317,0.7246376872062683,0.027259062975645065,0.6928114891052246,0.5051851868629456,0.0,1.6306394338607788,0.6955376267433167,0.058419931679964066,0.002725906204432249,0.6928114891052246,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.5014623403549194,0.8013293147087097,1.0959804058074951,0.25513631105422974,0.1927596777677536,1.0969067811965942,0.0008051529875956476,0.999194860458374,0.7435015439987183,0.0009241735097020864,0.2753623127937317,0.7246376872062683,0.026022935286164284,0.6927133202552795,0.5328066945075989,0.0,1.5879403352737427,0.6953156590461731,0.05782788619399071,0.0026022950187325478,0.6927133202552795,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.5060295462608337,0.7987563014030457,1.0944465398788452,0.2577335834503174,0.19295468926429749,1.0953730344772339,0.0035426730755716562,0.9964573383331299,0.7408697605133057,0.0009243355598300695,0.2753623127937317,0.7246376872062683,0.02491850219666958,0.692575991153717,0.5341292023658752,0.0,1.497247576713562,0.6950681209564209,0.057886406779289246,0.0024918511044234037,0.692575991153717,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.512316107749939,0.7974783182144165,1.0935709476470947,0.2594600319862366,0.19416220486164093,1.0944973230361938,0.012560386210680008,0.9874396324157715,0.7392295598983765,0.0009245019755326211,0.2753623127937317,0.7246376872062683,0.023935804143548012,0.6924383640289307,0.5541099309921265,0.0,1.5523922443389893,0.6948320269584656,0.05824866145849228,0.002393580274656415,0.6924383640289307,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0.5116727352142334,0.7944712042808533,1.0916274785995483,0.2629680633544922,0.1960688680410385,1.0925538539886475,0.02109500765800476,0.9789049625396729,0.7356504797935486,0.000924655410926789,0.2753623127937317,0.7246376872062683,0.02306513674557209,0.6920852065086365,0.5181097984313965,0.0,1.5080833435058594,0.6943919062614441,0.058820657432079315,0.002306513488292694,0.6920852065086365,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.5104565024375916,0.790971577167511,1.089929461479187,0.2654380202293396,0.19240722060203552,1.0908559560775757,0.02753623202443123,0.9724637866020203,0.7332495450973511,0.0009248144342564046,0.2753623127937317,0.7246376872062683,0.022297067567706108,0.6922141909599304,0.5367312431335449,0.0,1.8624643087387085,0.6944440603256226,0.057722169905900955,0.0022297061514109373,0.6922141909599304,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.5086201429367065,0.7896475791931152,1.0895308256149292,0.2680398225784302,0.19662761688232422,1.0904573202133179,0.005636070854961872,0.9943639039993286,0.7306594252586365,0.0009250440634787083,0.2753623127937317,0.7246376872062683,0.02162259630858898,0.6925449371337891,0.443057656288147,0.0,1.6750718355178833,0.6947071552276611,0.058988288044929504,0.0021622597705572844,0.6925449371337891,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
