target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,delta_accuracy,delta_precision,delta_macro_f1,delta_roc_auc,delta_recall,delta_brier_score,delta_loss,delta_macro_recall,delta_ece,delta_macro_precision,delta_joint_loss,delta_f1,delta_balanced_accuracy
0,3,1,"[0, 7, 9]","[2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 16]",180,660,15,0.6774494087196625,0.6378787878787879,0.7299435028248588,0.6946236559139785,0.7690476190476191,0.5902591077342685,0.5985938792390405,0.5886904761904762,0.5886904761904762,0.6693749999999999,0.24215959630110656,0.11620516578356421,0.5588269233703613,0.6787296055205204,0.7045454545454546,0.7630619684082625,0.7791563275434243,0.7476190476190476,0.6853539218298857,0.6833524828378601,0.6883928571428571,0.6883928571428571,0.6690972222222222,0.2427977748610834,0.18366050539594717,0.9318609833717346,0.06666666666666665,0.08453267162944589,0.09509481409561726,-0.0002777777777777102,-0.021428571428571463,0.0006381785599768319,0.0012801968008578912,0.09970238095238093,0.06745533961238295,0.08475860359881959,0.3730340600013733,0.0331184655834037,0.09970238095238093
0,3,2,"[2, 8, 11]","[0, 3, 4, 5, 6, 7, 9, 10, 12, 14, 16]",180,660,15,0.6824382714851653,0.6257575757575757,0.7246376811594203,0.6813417190775681,0.7738095238095238,0.5703566656388118,0.5811080180087294,0.5702380952380952,0.5702380952380952,0.5605456349206349,0.24465070545529963,0.10268039712400144,0.584743857383728,0.6831936413528507,0.6303030303030303,0.7258426966292135,0.6872340425531915,0.7690476190476191,0.5792004180820486,0.5883538633818589,0.5782738095238096,0.5782738095238096,0.557311507936508,0.24502783290858182,0.10733081635200616,0.8349857330322266,0.004545454545454519,0.005892323475623407,0.008843752443236763,-0.0032341269841269504,-0.004761904761904745,0.00037712745328219444,0.0007553698676853182,0.008035714285714368,0.004650419228004715,0.007245845373129556,0.25024187564849854,0.0012050154697932358,0.008035714285714368
0,3,3,"[3, 11, 16]","[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.685940868620287,0.5681818181818182,0.6951871657754011,0.6310679611650486,0.7738095238095238,0.4774637127578304,0.4879477736859726,0.4910714285714286,0.4910714285714286,0.5503968253968254,0.24639974311551077,0.04711704759886771,0.6121354103088379,0.6861214039119509,0.5757575757575758,0.6976241900647948,0.6383399209486166,0.7690476190476191,0.4934821457938187,0.5042348955392434,0.5032738095238095,0.5032738095238095,0.5512301587301587,0.24648973663907692,0.05742046137650809,0.9629307389259338,0.007575757575757569,0.007271959783567983,0.016018433035988322,0.0008333333333332416,-0.004761904761904745,8.999352356614532e-05,0.0001805352916638414,0.012202380952380909,0.01030341377764038,0.016287121853270803,0.35079532861709595,0.002437024289393741,0.012202380952380909
0,3,4,"[0, 3, 8]","[2, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",180,660,15,0.6825887471293143,0.6045454545454545,0.7044167610419027,0.67170626349892,0.7404761904761905,0.5535813782326218,0.5592033855565666,0.5535714285714286,0.5535714285714286,0.5862599206349206,0.24472848493681815,0.08067362732959522,0.5573123097419739,0.6832462658016065,0.603030303030303,0.7009132420091324,0.6732456140350878,0.7309523809523809,0.5554115759595212,0.5596620227038184,0.5550595238095237,0.5550595238095237,0.5817162698412698,0.24505666796389336,0.0792977929115295,0.7695140838623047,-0.0015151515151514694,0.0015393505361677162,0.0018301977268994074,-0.004543650793650822,-0.009523809523809601,0.00032818302707521285,0.0006575186722922455,0.0014880952380951218,-0.0013758344180657273,0.0004586371472518058,0.2122017741203308,-0.0035035190327702415,0.0014880952380951218
0,3,5,"[2, 6, 7]","[0, 3, 4, 5, 8, 9, 10, 11, 12, 14, 16]",180,660,15,0.6797509813151517,0.6196969696969697,0.7124856815578465,0.6865342163355408,0.7404761904761905,0.575482214380713,0.5799820840131811,0.5744047619047619,0.5744047619047619,0.6388988095238095,0.2433097723870557,0.09836979806423185,0.5384209752082825,0.6808043469430051,0.6787878787878788,0.7389162561576355,0.7653061224489796,0.7142857142857143,0.6607967107559831,0.6587724642095645,0.6654761904761906,0.6654761904761906,0.6370932539682539,0.2438347874591283,0.1580576482144269,0.8807632923126221,0.05909090909090908,0.07877190611343876,0.08531449637527011,-0.0018055555555556158,-0.02619047619047621,0.0005250150720725877,0.0010533656278534087,0.09107142857142869,0.05968785015019504,0.0787903801963834,0.3423423171043396,0.026430574599788925,0.09107142857142869
0,3,6,"[4, 11, 16]","[0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.6847602487474083,0.5681818181818182,0.6951871657754011,0.6310679611650486,0.7738095238095238,0.4774637127578304,0.4879477736859726,0.4910714285714286,0.4910714285714286,0.5817063492063493,0.24581055281476008,0.04650132945089627,0.6247439384460449,0.6845586411350432,0.5621212121212121,0.6915688367129136,0.6266924564796905,0.7714285714285715,0.4684998230561957,0.4776818925755096,0.4836309523809524,0.4836309523809524,0.5811507936507936,0.24571026807413246,0.03912667460513841,0.9719581604003906,-0.0060606060606061,-0.004375504685358078,-0.008963889701634697,-0.0005555555555557534,-0.0023809523809523725,-0.00010028474062762083,-0.0002016076123650956,-0.0074404761904762196,-0.007374654845757861,-0.010265881110463004,0.3472142219543457,-0.003618329062487491,-0.0074404761904762196
0,6,1,"[2, 3, 4, 7, 12, 14]","[0, 5, 6, 8, 9, 10, 11, 16]",360,480,15,0.6775781538809222,0.6020833333333333,0.7075038284839203,0.6543909348441926,0.77,0.5426769956751849,0.5555419241150097,0.5461111111111111,0.5461111111111111,0.662962962962963,0.24222759565661456,0.07994850737353165,0.46857431530952454,0.6786106051786234,0.6166666666666667,0.707936507936508,0.6757575757575758,0.7433333333333333,0.5751803751803752,0.5812121212121213,0.5744444444444444,0.5744444444444444,0.6457222222222222,0.24274241066926097,0.0939520890514056,0.9201809167861938,0.014583333333333393,0.02136664091338314,0.03250337950519033,-0.01724074074074078,-0.026666666666666727,0.0005148150126464135,0.0010324512977011313,0.02833333333333332,0.014003581677873952,0.025670197097111602,0.4516066014766693,0.0004326794525876254,0.02833333333333332
0,6,2,"[4, 5, 6, 8, 9, 12]","[0, 2, 3, 7, 10, 11, 14, 16]",360,480,15,0.6727391813358846,0.6895833333333333,0.7653543307086614,0.7253731343283583,0.81,0.6534463961235615,0.6661348430262481,0.6494444444444445,0.6494444444444445,0.7255925925925926,0.23980875051899014,0.16610277841488522,0.4767315983772278,0.6735491523030303,0.6916666666666667,0.7643312101910829,0.7317073170731707,0.8,0.6592740388304812,0.6684852374839538,0.6555555555555556,0.6555555555555556,0.7124999999999999,0.24021268851949162,0.16850577207903067,0.7217572331428528,0.002083333333333326,0.0063341827448124555,0.005827642706919711,-0.013092592592592656,-0.010000000000000009,0.0004039380005014803,0.0008099709671456345,0.006111111111111067,0.002402993664145453,0.0023503944577056846,0.245025634765625,-0.0010231205175785796,0.006111111111111067
0,6,3,"[0, 2, 3, 6, 7, 16]","[4, 5, 8, 9, 10, 11, 12, 14]",360,480,15,0.6909159686639087,0.5020833333333333,0.6151368760064412,0.5950155763239875,0.6366666666666667,0.4550610633719522,0.45474049256450944,0.45722222222222225,0.45722222222222225,0.5132037037037036,0.2488871386432442,0.07011390800277392,0.43596217036247253,0.6929761692081605,0.575,0.6357142857142857,0.6846153846153846,0.5933333333333334,0.5628571428571428,0.5650349650349651,0.5688888888888889,0.5688888888888889,0.4989074074074074,0.24991387896670308,0.054100718100865725,0.8932663798332214,0.07291666666666663,0.08959980829139713,0.10779607948519065,-0.014296296296296196,-0.043333333333333335,0.0010267403234588968,0.0020602005442518223,0.11166666666666664,-0.016013189901908198,0.11029447247045565,0.4573042094707489,0.020577409707844496,0.11166666666666664
1,3,1,"[12, 13, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15]",180,780,15,0.705689362630708,0.39487179487179486,0.4574712643678161,0.31587301587301586,0.8291666666666667,0.38670664667666166,0.5212698412698413,0.5155092592592593,0.5155092592592593,0.502608024691358,0.2562645638148148,0.12653321379270308,0.5151094794273376,0.7034196792646229,0.39487179487179486,0.42995169082125606,0.30272108843537415,0.7416666666666667,0.3925714738259286,0.48990221088435376,0.4912037037037037,0.4912037037037037,0.49747685185185186,0.2551317009871664,0.12862174373406626,0.5759319067001343,0.0,-0.013151927437641708,0.005864827149266949,-0.0051311728395061484,-0.08750000000000002,-0.0011328628276484065,-0.002269683366085129,-0.02430555555555558,0.0020885299413631875,-0.031367630385487566,0.06082242727279663,-0.02751957354656004,-0.02430555555555558
