step,target_loss_component,decoded_distance_reference,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,typicality,discrepancy,weighted_typicality,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm,typicality_threshold,typical,optimization_success,decoded_valid,decoder_latent_rmse,d_z,decoded_joint_target_probability,decoded_joint_predicted_class,delta_dec_joint,selected_step_so_far
0,confidence,original_reconstruction,0.01,1.0981839895248413,1.0981839895248413,0.0,0.0,33.15498352050781,1.0981839895248413,0.0,0.0,0.0,0.0,1.0981839895248413,1.9376451969146729,0.0,0.0,0.0,0.0,0.0,0.3973199725151062,0.0,0,0.26678091287612915,False,0.7332190871238708,0.26678091287612915,1.1808605194091797,0.678627684362383,True,False,True,0.0,0.0,0.6574026942253113,1,0.0,0
1,confidence,original_reconstruction,0.01,0.4880664050579071,0.48806631565093994,6.757581445526739e-07,2.22910699676504e-07,33.16325378417969,0.48806631565093994,6.75758187185238e-08,2.229107032292177e-08,0.0,2.22910699676504e-07,0.48806631565093994,0.7239408493041992,0.0,0.0,0.0,0.0,0.0,0.39724618196487427,0.0,0,0.49104976654052734,False,0.5089502334594727,0.49104976654052734,0.8460520505905151,0.678627684362383,True,False,True,0.0008220450836233795,0.015114800073206425,0.657480001449585,1,0.00047213418292813003,1
2,confidence,original_reconstruction,0.01,0.11620372533798218,0.11620338261127472,2.567529008956626e-06,9.049063010024838e-07,33.16466522216797,0.11620338261127472,2.567529122643464e-07,9.049063010024838e-08,0.0,9.049063010024838e-07,0.11620338261127472,0.19530411064624786,0.0,0.0,0.0,0.0,0.0,0.3969234228134155,0.0,1,0.7122353315353394,False,0.28776469826698303,0.7122353315353394,0.4806685447692871,0.678627684362383,True,False,True,0.001602351083420217,0.029365088790655136,0.6575556397438049,1,0.0009512656251899898,2
3,confidence,original_reconstruction,0.01,7.370811090368079e-07,0.0,5.38386757398257e-06,1.986943743759184e-06,33.160743713378906,0.0,5.38386757398257e-07,1.986943800602603e-07,0.0,1.986943743759184e-06,0.0,0.04682497680187225,0.0,0.0,0.0,0.0,0.0,0.3964378833770752,0.0,1,0.852878987789154,True,0.14712098240852356,0.852878987789154,1.265791638616065e-06,0.678627684362383,True,True,True,0.002320316154509783,0.04223667457699776,0.6575315594673157,1,0.0014095898950472474,3
4,confidence,original_reconstruction,0.01,1.1713825642800657e-06,0.0,8.485218131681904e-06,3.2286077384924283e-06,33.15052032470703,0.0,8.48521835905558e-07,3.228607852179266e-07,0.0,3.2286077384924283e-06,0.0,0.014460872858762741,0.0,0.0,0.0,0.0,0.0,0.3959370255470276,0.0,1,0.916782021522522,True,0.08321797102689743,0.916782021522522,1.6282065189443529e-06,0.678627684362383,True,True,True,0.0029129397589713335,0.052106212824583054,0.6570588946342468,1,0.001796832657419145,3
5,confidence,original_reconstruction,0.01,1.6176940107470728e-06,0.0,1.166424135590205e-05,4.512698524195002e-06,33.13705825805664,0.0,1.1664241128528374e-06,4.512698694725259e-07,0.0,4.512698524195002e-06,0.0,0.005679851397871971,0.0,0.0,0.0,0.0,0.0,0.395465612411499,0.0,1,0.947420597076416,True,0.05257941782474518,0.947420597076416,1.926152890519006e-06,0.678627684362383,True,True,True,0.0034152951557189226,0.05977439880371094,0.6567752361297607,1,0.002124311402440071,3
6,confidence,original_reconstruction,0.01,2.061365648842184e-06,0.0,1.481386789237149e-05,5.799788596050348e-06,33.12478256225586,0.0,1.481386789237149e-06,5.799788596050348e-07,0.0,5.799788596050348e-06,0.0,0.0027068189810961485,0.0,0.0,0.0,0.0,0.0,0.3950374722480774,0.0,1,0.9635501503944397,True,0.03644979000091553,0.9635501503944397,2.1906748770561535e-06,0.678627684362383,True,True,True,0.0038488786667585373,0.06582992523908615,0.6564139723777771,1,0.0024082749150693417,3
7,confidence,original_reconstruction,0.01,2.4937285161286127e-06,0.0,1.7874519471661188e-05,7.062764780130237e-06,33.11063766479492,0.0,1.7874519926408539e-06,7.0627646664434e-07,0.0,7.062764780130237e-06,0.0,0.0014916671207174659,0.0,0.0,0.0,0.0,0.0,0.3946535289287567,0.0,1,0.9728767275810242,True,0.02712329290807247,0.9728767275810242,2.4252519779111026e-06,0.678627684362383,True,True,True,0.004227826837450266,0.07070761173963547,0.6561781764030457,1,0.002657586243003607,3
8,confidence,original_reconstruction,0.01,2.909007434936939e-06,0.0,2.081224010908045e-05,8.27783424028894e-06,33.09904479980469,0.0,2.081224010908045e-06,8.277834240288939e-07,0.0,8.27783424028894e-06,0.0,0.0009190809796564281,0.0,0.0,0.0,0.0,0.0,0.39431244134902954,0.0,1,0.9786781072616577,True,0.021321868523955345,0.9786781072616577,2.6288714707334293e-06,0.678627684362383,True,True,True,0.004562043119221926,0.07469566911458969,0.655961275100708,1,0.002877122489735484,3
9,confidence,original_reconstruction,0.01,3.3040532798622735e-06,0.0,2.3608079573023133e-05,9.432453225599602e-06,33.087867736816406,0.0,2.360807911827578e-06,9.432453111912764e-07,0.0,9.432453225599602e-06,0.0,0.0006159056792967021,0.0,0.0,0.0,0.0,0.0,0.3940085768699646,0.0,1,0.9825284481048584,True,0.017471536993980408,0.9825284481048584,2.799000867526047e-06,0.678627684362383,True,True,True,0.004858814645558596,0.0780179500579834,0.6556443572044373,1,0.0030712299048900604,3
