step,target_loss_component,decoded_distance_reference,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,typicality,discrepancy,weighted_typicality,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm,low_gradient_steps,physiological_valid,feasible,optimization_stage,typicality_no_improvement_steps,typicality_threshold,typical,optimization_success,decoder_latent_rmse,d_z,delta_dec_joint,selected_step_so_far
0,confidence,original_reconstruction,0.01,0.7574549317359924,0.63072270154953,0.0,0.0,0.1267322450876236,0.63072270154953,0.0,0.0,0.1267322450876236,0.0,0.63072270154953,0.9806386828422546,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9668411612510681,0.9924377799034119,0.0,0,0.42576563358306885,False,0.5742343664169312,0.42576563358306885,1.070925235748291,0,False,False,target,0,1.0264744748338128,True,False,0.0,0.0,0.0,0
1,confidence,original_reconstruction,0.01,106.31261444091797,0.26522397994995117,9.283445979235694e-05,0.007707411888986826,106.0466079711914,0.26522397994995117,9.283446161134634e-06,0.0007707412005402148,106.0466079711914,0.007707411888986826,0.26522397994995117,0.3773837387561798,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9565520882606506,0.9818763136863708,0.0,1,0.6136273145675659,False,0.3863726556301117,0.6136273145675659,200.29434204101562,0,False,False,target,0,1.0264744748338128,True,False,0.00963506381958723,0.09600146859884262,0.08779186755418777,0
2,confidence,original_reconstruction,0.01,43.925289154052734,0.12092246115207672,0.00017270246462430805,0.011551828123629093,43.80319595336914,0.12092246115207672,1.7270247553824447e-05,0.0011551828356459737,43.80319595336914,0.011551828123629093,0.12092246115207672,0.20032750070095062,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9508780837059021,0.9760521054267883,0.0,1,0.7088821530342102,False,0.2911178171634674,0.7088821530342102,183.40380859375,0,False,False,target,0,1.0264744748338128,True,False,0.01314163114875555,0.15018463134765625,0.10747943073511124,0
3,confidence,original_reconstruction,0.01,69.59587097167969,0.04248334467411041,0.00027199785108678043,0.022253869101405144,69.55113220214844,0.04248334467411041,2.7199785108678043e-05,0.0022253869101405144,69.55113220214844,0.022253869101405144,0.04248334467411041,0.12392815202474594,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9469280242919922,0.9719974398612976,0.0,1,0.7667251229286194,False,0.23327487707138062,0.7667251229286194,54.14606857299805,0,False,False,target,0,1.0264744748338128,True,False,0.016492357477545738,0.18841871619224548,0.14917729794979095,0
4,confidence,original_reconstruction,0.01,6.226825714111328,0.0,0.00037302172859199345,0.026606887578964233,6.224127769470215,0.0,3.7302172131603584e-05,0.0026606887113302946,6.224127769470215,0.026606887578964233,0.0,0.08305026590824127,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9438185691833496,0.9688056707382202,0.0,1,0.8066920042037964,True,0.19330793619155884,0.8066920042037964,6.091879844665527,0,False,False,target,0,1.0264744748338128,True,False,0.019313769415020943,0.21897166967391968,0.16311617195606232,0
5,confidence,original_reconstruction,0.01,8.16577434539795,0.0,0.0004877237952314317,0.029910553246736526,8.162734985351562,0.0,4.8772380978334695e-05,0.0029910553712397814,8.162734985351562,0.029910553246736526,0.0,0.059899237006902695,0.03464368358254433,0.0,0.0,0.03464368358254433,0.941371500492096,0.9662938117980957,0.0,1,0.8344817161560059,True,0.16551826894283295,0.8344817161560059,20.242963790893555,0,False,False,target,0,1.0264744748338128,True,False,0.022084468975663185,0.24327391386032104,0.17294667661190033,0
6,confidence,original_reconstruction,0.01,0.3593690097332001,0.0,0.0006076110294088721,0.03788881376385689,0.3555193543434143,0.0,6.0761103668482974e-05,0.0037888814695179462,0.3555193543434143,0.03788881376385689,0.0,0.04592958092689514,0.03464368358254433,0.0,0.0,0.03464368358254433,0.939439594745636,0.9643107652664185,0.0,1,0.8542360067367554,True,0.14576394855976105,0.8542360067367554,0.7118639945983887,0,False,False,target,0,1.0264744748338128,True,False,0.024649767205119133,0.26263710856437683,0.19465048611164093,6
7,confidence,original_reconstruction,0.01,1.9011859893798828,0.0,0.000737493101041764,0.046553559601306915,1.8964568376541138,0.0,7.37493101041764e-05,0.004655356053262949,1.8964568376541138,0.046553559601306915,0.0,0.036565739661455154,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9378231763839722,0.9626515507698059,0.0,1,0.8693822622299194,True,0.13061775267124176,0.8693822622299194,2.2985520362854004,0,False,False,target,0,1.0264744748338128,True,False,0.027156824246048927,0.27911144495010376,0.21576273441314697,6
8,confidence,original_reconstruction,0.01,0.72465980052948,0.0,0.0008688305388204753,0.05273590609431267,0.71929931640625,0.0,8.688305388204753e-05,0.005273590795695782,0.71929931640625,0.05273590609431267,0.0,0.030048081651329994,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9364504218101501,0.9612424373626709,0.0,1,0.8812025785446167,True,0.11879739165306091,0.8812025785446167,1.1119412183761597,0,False,False,target,0,1.0264744748338128,True,False,0.029475931078195572,0.2932479977607727,0.22964298725128174,6
9,confidence,original_reconstruction,0.01,0.09605485945940018,0.0,0.0010021306807175279,0.0577562116086483,0.09017902612686157,0.0,0.00010021306661656126,0.00577562116086483,0.09017902612686157,0.0577562116086483,0.0,0.025304019451141357,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9352694153785706,0.960030198097229,0.0,1,0.89069664478302,True,0.10930328071117401,0.89069664478302,0.2103731632232666,0,False,False,target,0,1.0264744748338128,True,False,0.03165644779801369,0.30560868978500366,0.2403252124786377,9
