target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,delta_loss,delta_accuracy,delta_precision,delta_macro_precision,delta_balanced_accuracy,delta_roc_auc,delta_joint_loss,delta_macro_recall,delta_ece,delta_brier_score,delta_macro_f1,delta_f1,delta_recall
0,3,1,"[0, 7, 9]","[2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 16]",180,660,15,0.693803725773173,0.4666666666666667,0.3888888888888889,0.717948717948718,0.26666666666666666,0.45788530465949817,0.5534188034188035,0.5416666666666666,0.5416666666666666,0.564781746031746,0.2503282349282931,0.037999277855410685,0.9138902425765991,0.6907270887106599,0.5893939393939394,0.6754491017964072,0.6795180722891566,0.6714285714285714,0.5583431075992344,0.5581263830833538,0.5586309523809524,0.5586309523809524,0.5778869047619049,0.24879013287380314,0.08525480402238439,1.167718529701233,-0.0030766370625130435,0.12272727272727268,-0.038430645659561335,0.0047075796645503765,0.016964285714285765,0.013105158730158828,0.2538282871246338,0.016964285714285765,0.047255526166973705,-0.0015381020544899537,0.10045780293973627,0.28656021290751826,0.4047619047619047
0,3,2,"[2, 8, 11]","[0, 3, 4, 5, 6, 7, 9, 10, 12, 14, 16]",180,660,15,0.6943159924920598,0.4212121212121212,0.3737704918032787,0.6,0.2714285714285714,0.4178711613945971,0.47446808510638294,0.47738095238095235,0.47738095238095235,0.5124702380952381,0.2505843531020264,0.0834546032277021,0.8987360000610352,0.690093897594087,0.6,0.7370517928286853,0.6335616438356164,0.8809523809523809,0.45080437742700086,0.48783345349675555,0.49464285714285716,0.49464285714285716,0.4675099206349207,0.24847371948290045,0.09317273416302418,1.0543227195739746,-0.004222094897972761,0.17878787878787877,0.03356164383561644,0.013365368390372612,0.01726190476190481,-0.04496031746031737,0.15558671951293945,0.01726190476190481,0.009718130935322089,-0.0021106336191259734,0.032933216032403734,0.36328130102540657,0.6095238095238096
0,3,3,"[3, 11, 16]","[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.6943512605114771,0.5015151515151515,0.5037707390648567,0.6872427983539094,0.3976190476190476,0.5015048520286232,0.5402640850282736,0.5404761904761904,0.5404761904761904,0.4933531746031746,0.2506019090126488,0.002874737436121211,0.917149543762207,0.6892977646296792,0.5848484848484848,0.7232323232323232,0.6280701754385964,0.8523809523809524,0.44646464646464645,0.4695906432748538,0.4845238095238095,0.4845238095238095,0.5442857142857143,0.24807578213582696,0.07787090296095067,1.1209293603897095,-0.005053495881797931,0.08333333333333337,-0.059172622915313,-0.07067344175341983,-0.05595238095238092,0.050932539682539635,0.20377981662750244,-0.05595238095238092,0.07499616552482946,-0.002526126876821827,-0.05504020556397671,0.21946158416746653,0.45476190476190476
0,3,4,"[0, 3, 8]","[2, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",180,660,15,0.695370772357994,0.4166666666666667,0.3657331136738056,0.5935828877005348,0.2642857142857143,0.41288058208234457,0.4701529660489989,0.4738095238095238,0.4738095238095238,0.47136904761904763,0.25111167447411753,0.08848218430172311,0.8886281847953796,0.691726385082027,0.543939393939394,0.6598870056497175,0.6279569892473118,0.6952380952380952,0.4839664913306059,0.4857733664185277,0.48720238095238094,0.48720238095238094,0.45884920634920634,0.24928981148525017,0.038590374318036136,1.1508835554122925,-0.0036443872759670537,0.12727272727272726,0.034374101546777,0.015620400369528775,0.01339285714285715,-0.012519841269841292,0.26225537061691284,0.01339285714285715,-0.049891809983686974,-0.0018218629888673565,0.0710859092482613,0.29415389197591185,0.4309523809523809
0,3,5,"[2, 6, 7]","[0, 3, 4, 5, 8, 9, 10, 11, 12, 14, 16]",180,660,15,0.6954096311306385,0.40454545454545454,0.26542056074766357,0.6173913043478261,0.16904761904761906,0.38239180903625214,0.48851216593538094,0.4928571428571429,0.4928571428571429,0.485625,0.25113110228606517,0.1005651223840136,0.8976032733917236,0.6932617323453721,0.503030303030303,0.503030303030303,0.6916666666666667,0.3952380952380952,0.503030303030303,0.5434523809523809,0.5434523809523809,0.5434523809523809,0.5318849206349205,0.250057306686346,0.0012536661191420162,1.2780863046646118,-0.0021478987852663334,0.09848484848484851,0.07427536231884058,0.05494021501699997,0.050595238095238027,0.04625992063492057,0.3804830312728882,0.050595238095238027,-0.09931145626487159,-0.0010737955997191517,0.12063849399405091,0.23760974228263948,0.22619047619047616
0,3,6,"[4, 11, 16]","[0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.6940891885022402,0.5075757575757576,0.512743628185907,0.6923076923076923,0.40714285714285714,0.5075203592690638,0.5447010616502141,0.5452380952380953,0.5452380952380953,0.5228174603174602,0.25047087534494544,0.0033021688461303267,0.9207452535629272,0.6886815234903414,0.5878787878787879,0.7263581488933601,0.6289198606271778,0.8595238095238096,0.4460011603362506,0.4714366744996354,0.4860119047619048,0.4860119047619048,0.5790575396825397,0.24776769666578896,0.08059377254861777,1.1391741037368774,-0.005407665011898821,0.08030303030303032,-0.06338783168051454,-0.07326438715057876,-0.05922619047619049,0.056240079365079465,0.2184288501739502,-0.05922619047619049,0.07729160370248744,-0.0027031786791564816,-0.06151919893281321,0.21361452070745313,0.45238095238095244
0,6,1,"[2, 3, 4, 7, 12, 14]","[0, 5, 6, 8, 9, 10, 11, 16]",360,480,15,0.6948450472253445,0.5083333333333333,0.4732142857142857,0.7162162162162162,0.35333333333333333,0.5061383928571428,0.565939433409313,0.56,0.56,0.49224074074074076,0.25084878104383973,0.003172902638713504,0.6455042362213135,0.6901099501224783,0.525,0.6534954407294833,0.6005586592178771,0.7166666666666667,0.4492642766561324,0.45191867387123363,0.46111111111111114,0.46111111111111114,0.5301203703703703,0.24848190064772357,0.018439174816012427,1.154497504234314,-0.004735097102866126,0.01666666666666672,-0.11565755699833913,-0.11402075953807933,-0.09888888888888892,0.03787962962962954,0.5089932680130005,-0.09888888888888892,0.015266272177298923,-0.0023668803961161555,-0.056874116201010405,0.1802811550151976,0.36333333333333334
0,6,2,"[4, 5, 6, 8, 9, 12]","[0, 2, 3, 7, 10, 11, 14, 16]",360,480,15,0.6915121737267141,0.5541666666666667,0.5286343612334802,0.7792207792207793,0.4,0.5528547300238547,0.6135367699784878,0.6055555555555556,0.6055555555555556,0.6644259259259259,0.24918255704244283,0.04899818984170756,0.6608808636665344,0.6858401988195452,0.625,0.762532981530343,0.631004366812227,0.9633333333333334,0.43572193630972594,0.5655021834061136,0.5122222222222222,0.5122222222222222,0.6314074074074074,0.2463480615784502,0.11558084078133102,0.9600985050201416,-0.005671974907168975,0.0708333333333333,-0.1482164124085522,-0.04803458657237425,-0.09333333333333338,-0.03301851851851845,0.2992176413536072,-0.09333333333333338,0.06658265093962346,-0.0028344954639926145,-0.11713279371412871,0.2338986202968628,0.5633333333333334
0,6,3,"[0, 2, 3, 6, 7, 16]","[4, 5, 8, 9, 10, 11, 12, 14]",360,480,15,0.6989789543263808,0.30416666666666664,0.05649717514124294,0.18518518518518517,0.03333333333333333,0.2526710298148459,0.2522170057381325,0.39444444444444443,0.39444444444444443,0.25216666666666665,0.25291556186933994,0.20110752657055858,0.6560782194137573,0.6987321562516713,0.3020833333333333,0.2505592841163311,0.38095238095238093,0.18666666666666668,0.2987689208106022,0.32410982410982414,0.34055555555555556,0.34055555555555556,0.2806666666666667,0.2527921324123865,0.20255916317303974,1.329987645149231,-0.0002467980747095089,-0.002083333333333326,0.19576719576719576,0.07189281837169165,-0.053888888888888875,0.028500000000000025,0.6739094257354736,-0.053888888888888875,0.0014516366024811544,-0.00012342945695342777,0.046097890995756285,0.19406210897508816,0.15333333333333335
1,3,1,"[12, 13, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15]",180,780,15,0.6909490694172192,0.6102564102564103,0.35319148936170214,0.36086956521739133,0.3458333333333333,0.5371462033964474,0.537707509881423,0.5368055555555555,0.5368055555555555,0.548016975308642,0.24890102848447268,0.10639880016828196,1.0513372421264648,0.6910003098901129,0.6,0.37349397590361444,0.36046511627906974,0.3875,0.5398543325845756,0.5394279604383854,0.5409722222222222,0.5409722222222222,0.5491203703703704,0.2489266646003541,0.09571537856872259,0.9351444244384766,5.12404728936211e-05,-0.010256410256410331,-0.0004044489383215888,0.0017204505569623496,0.004166666666666652,0.0011033950617284072,-0.11619281768798828,0.004166666666666652,-0.010683421599559373,2.5636115881411126e-05,0.0027081291881282388,0.0203024865419123,0.041666666666666685
