epoch,accuracy,autoencoder_loss,kl_loss,loss,reconstruction_loss,vc_loss,weighted_kl_loss,val_accuracy,val_autoencoder_loss,val_kl_loss,val_loss,val_reconstruction_loss,val_vc_loss,val_weighted_kl_loss
0,0.7057970762252808,510.9375915527344,509.8944396972656,223.83348083496094,1.0431973934173584,100.78878021240234,509.8944396972656,NA,NA,NA,NA,NA,NA,NA
1,0.7246376872062683,193.47943115234375,192.48220825195312,81.43400573730469,0.9971956610679626,33.41454315185547,192.48220825195312,NA,NA,NA,NA,NA,NA,NA
2,0.7246376872062683,106.7046127319336,105.7116928100586,53.04104995727539,0.9929252862930298,30.042383193969727,105.7116928100586,NA,NA,NA,NA,NA,NA,NA
3,0.7246376872062683,68.7253189086914,67.73345184326172,43.683719635009766,0.9918813705444336,32.95158767700195,67.73345184326172,NA,NA,NA,NA,NA,NA,NA
4,0.7246376872062683,46.91780471801758,45.92623519897461,32.38105392456055,0.9915621280670166,26.151016235351562,45.92623519897461,NA,NA,NA,NA,NA,NA,NA
5,0.7246376872062683,35.873512268066406,34.88212585449219,26.370092391967773,0.9914011359214783,22.297191619873047,34.88212585449219,NA,NA,NA,NA,NA,NA,NA
6,0.7246376872062683,28.389575958251953,27.398223876953125,23.387678146362305,0.9913393259048462,21.243995666503906,27.398223876953125,NA,NA,NA,NA,NA,NA,NA
7,0.7246376872062683,24.35312271118164,23.36185646057129,20.506956100463867,0.9912711977958679,18.858604431152344,23.36185646057129,NA,NA,NA,NA,NA,NA,NA
8,0.7246376872062683,20.836496353149414,19.845256805419922,20.688289642333984,0.9912354350090027,20.624773025512695,19.845256805419922,NA,NA,NA,NA,NA,NA,NA
9,0.7246376872062683,17.889808654785156,16.898588180541992,19.981285095214844,0.9912247061729431,20.877626419067383,16.898588180541992,NA,NA,NA,NA,NA,NA,NA
10,0.7246376872062683,14.835420608520508,13.84421443939209,16.885089874267578,0.9912028908729553,17.76352310180664,13.84421443939209,NA,NA,NA,NA,NA,NA,NA
11,0.7246376872062683,13.42370891571045,12.432524681091309,20.461942672729492,0.9911859631538391,23.478328704833984,12.432524681091309,NA,NA,NA,NA,NA,NA,NA
12,0.7246376872062683,12.102904319763184,11.111729621887207,14.438243865966797,0.9911784529685974,15.439104080200195,11.111729621887207,NA,NA,NA,NA,NA,NA,NA
13,0.7246376872062683,11.009398460388184,10.018228530883789,13.455482482910156,0.991169810295105,14.50380802154541,10.018228530883789,NA,NA,NA,NA,NA,NA,NA
14,0.7246376872062683,10.875720024108887,9.88455867767334,14.588113784790039,0.9911593794822693,16.179136276245117,9.88455867767334,NA,NA,NA,NA,NA,NA,NA
15,0.7246376872062683,10.378495216369629,9.387338638305664,16.866750717163086,0.9911551475524902,19.64743423461914,9.387338638305664,NA,NA,NA,NA,NA,NA,NA
16,0.7246376872062683,9.65313720703125,8.66198444366455,14.484663963317871,0.9911547303199768,16.55532455444336,8.66198444366455,NA,NA,NA,NA,NA,NA,NA
17,0.7246376872062683,9.021373748779297,8.030227661132812,13.025197982788086,0.9911484122276306,14.741121292114258,8.030227661132812,NA,NA,NA,NA,NA,NA,NA
