target_subject,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,delta_macro_f1,delta_macro_recall,delta_macro_precision,delta_f1,delta_loss,delta_balanced_accuracy,delta_recall,delta_accuracy,delta_precision
0,1,"[0, 2, 9, 10, 14, 16]","[1, 3, 4, 5, 6, 7, 8, 11, 12, 13, 15, 17]",6,12,15,0.5302811517744811,0.75,0.8571428571428571,0.75,1.0,0.42857142857142855,0.375,0.5,0.5,0.5996205330364044,0.75,0.8571428571428571,0.75,1.0,0.42857142857142855,0.375,0.5,0.5,0.0,0.0,0.0,0.0,0.0693393812619233,0.0,0.0,0.0,0.0
0,2,"[3, 7, 8, 11, 12, 15]","[0, 1, 2, 4, 5, 6, 9, 10, 13, 14, 16, 17]",6,12,15,0.5738309223690402,0.75,0.8571428571428571,0.75,1.0,0.42857142857142855,0.375,0.5,0.5,0.6218851423769277,0.75,0.8571428571428571,0.75,1.0,0.42857142857142855,0.375,0.5,0.5,0.0,0.0,0.0,0.0,0.048054220007887505,0.0,0.0,0.0,0.0
0,3,"[1, 4, 5, 6, 13, 17]","[0, 2, 3, 7, 8, 9, 10, 11, 12, 14, 15, 16]",6,12,15,0.6286671601922139,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4,0.3333333333333333,0.5,0.5,0.6457801912478952,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.017113031055681294,0.0,0.0,0.0,0.0
1,1,"[0, 5, 11, 14, 15, 16]","[1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 17]",6,12,15,0.6799629846775771,0.5833333333333334,0.0,0.0,0.0,0.3684210526315789,0.2916666666666667,0.5,0.5,0.6461313470986519,0.5833333333333334,0.0,0.0,0.0,0.3684210526315789,0.2916666666666667,0.5,0.5,0.0,0.0,0.0,0.0,-0.033831637578925156,0.0,0.0,0.0,0.0
1,2,"[3, 4, 6, 7, 13, 17]","[0, 1, 2, 5, 8, 9, 10, 11, 12, 14, 15, 16]",6,12,15,0.810134763843254,0.5833333333333334,0.0,0.0,0.0,0.3684210526315789,0.2916666666666667,0.5,0.5,0.7771828443440452,0.5833333333333334,0.5454545454545454,0.5,0.6,0.5804195804195804,0.5833333333333333,0.5857142857142856,0.5857142857142856,0.2119985277880015,0.08571428571428563,0.2916666666666666,0.5454545454545454,-0.03295191949920884,0.08571428571428563,0.6,0.0,0.5
1,3,"[1, 2, 8, 9, 10, 12]","[0, 3, 4, 5, 6, 7, 11, 13, 14, 15, 16, 17]",6,12,15,0.7187484050704988,0.6666666666666666,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.5,0.7864060858382184,0.5,0.4,0.3333333333333333,0.5,0.4857142857142857,0.5,0.5,0.5,0.08571428571428569,0.0,0.16666666666666669,0.4,0.06765768076771961,0.0,0.5,-0.16666666666666663,0.3333333333333333
