target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_decoder_r2,delta_roc_auc,delta_recall,delta_macro_recall,delta_loss,delta_macro_f1,delta_brier_score,delta_decoder_r2,delta_accuracy,delta_joint_loss,delta_ece,delta_f1,delta_balanced_accuracy,delta_macro_precision,delta_precision
0,3,1,"[0, 1, 7]","[2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",768,3840,3,0.6619971086675266,0.6182291666666667,0.7433473389355743,0.7330801104972375,0.75390625,0.4992143198742912,0.49948497050285606,0.49951171875,0.49951171875,0.5012685602361506,0.23402425441937189,0.026306530427045838,2.062079906463623,-0.00010824203491210938,0.6975878364957295,0.5575520833333333,0.6745834131392453,0.7322245322245322,0.6253551136363636,0.4918260701320464,0.4985164472969351,0.4982244318181818,0.4982244318181818,0.48972806063565344,0.25125952954198605,0.05362833776917496,1.7877131700515747,0.0,-0.01154049960049719,-0.12855113636363635,-0.0012872869318181768,0.03559072782820294,-0.0073882497422448346,0.017235275122614163,0.00010824203491210938,-0.06067708333333344,-0.27436673641204834,0.02732180734212912,-0.06876392579632895,-0.0012872869318181768,-0.0009685232059209459,-0.0008555782727053263
0,3,2,"[1, 5, 12]","[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17]",768,3840,3,0.6607094051014616,0.6138020833333333,0.7387704773648054,0.7329605033205173,0.7446732954545454,0.49919053074430986,0.49926881141511054,0.4992897727272727,0.4992897727272727,0.5043997331099077,0.2336526668499309,0.023195820339236266,2.0976150035858154,-9.381771087646484e-05,0.683633299365391,0.5825520833333333,0.7011001305239605,0.7381232822928936,0.6676136363636364,0.5046286151109228,0.5071126852299734,0.5081232244318181,0.5081232244318181,0.5009349476207385,0.24457301758820885,0.046591389688146634,1.7566109895706177,0.0,-0.0034647854891691754,-0.07705965909090906,0.008833451704545414,0.02292389426392938,0.005438084366612972,0.010920350738277934,9.381771087646484e-05,-0.03125,-0.34100401401519775,0.023395569348910367,-0.037670346840844915,0.008833451704545414,0.0078438738148629,0.00516277897237627
0,6,1,"[7, 9, 12, 13, 14, 15]","[0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 16, 17]",1536,3072,3,0.6543079256361232,0.626953125,0.7519480519480519,0.75,0.75390625,0.499989774005522,0.5,0.5,0.5,0.4957490143952546,0.2304867997038332,0.020902359525348396,2.2664051055908203,-8.225440979003906e-05,0.7021419317837764,0.548828125,0.674953095684803,0.7341836734693877,0.6245659722222222,0.46885952656580576,0.47815298781383053,0.4730902777777778,0.4730902777777778,0.4615032054759838,0.25313559344294106,0.06294378664063816,1.7933801412582397,0.0,-0.034245808919270815,-0.1293402777777778,-0.02690972222222221,0.04783400614765321,-0.031130247439716263,0.02264879373910786,8.225440979003906e-05,-0.078125,-0.47302496433258057,0.042041427115289756,-0.07699495626324893,-0.02690972222222221,-0.021847012186169468,-0.015816326530612268
0,6,2,"[0, 11, 12, 14, 16, 17]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15]",1536,3072,3,0.6544569086561142,0.6214192708333334,0.748104829976175,0.7466493731085171,0.7495659722222222,0.4932403652172951,0.49321928470972626,0.4932725694444444,0.4932725694444444,0.4917353877314815,0.2307277043797309,0.01978183430632421,2.2200605869293213,-9.953975677490234e-05,0.6715153597625383,0.5934244791666666,0.7169725810106503,0.7501185395922239,0.6866319444444444,0.49771217149897046,0.5001890724960081,0.5002170138888888,0.5002170138888888,0.5030647560402199,0.23899867693237553,0.025607443193683875,1.9766368865966797,0.0,0.01132936830873843,-0.06293402777777779,0.00694444444444442,0.017058451106424122,0.004471806281675372,0.00827097255264464,9.953975677490234e-05,-0.02799479166666674,-0.2434237003326416,0.005825608887359664,-0.03113224896552469,0.00694444444444442,0.0069697877862818225,0.003469166483706765
1,3,1,"[12, 13, 16]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 17]",768,3840,3,0.8074208960608857,0.44036458333333334,0.5217004228800356,0.39634764964491037,0.7630208333333334,0.423699285804624,0.4920583095336669,0.494140625,0.494140625,0.5051179108796295,0.2991570038445611,0.20269910571009556,2.498293876647949,-8.893013000488281e-05,0.7739499960853671,0.46640625,0.4944485566247224,0.39809296781883197,0.65234375,0.4647594313313852,0.49723242495249986,0.49739583333333337,0.49739583333333337,0.487955164026331,0.28594524960650247,0.1617580869264081,1.5982239246368408,0.0,-0.01716274685329855,-0.11067708333333337,0.0032552083333333703,-0.033470899975518664,0.04106014552676118,-0.013211754238058648,8.893013000488281e-05,0.026041666666666685,-0.9000699520111084,-0.040941018783687444,-0.027251866255313173,0.0032552083333333703,0.0051741154188329475,0.001745318173921595
1,3,2,"[5, 6, 14]","[0, 1, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]",768,3840,3,0.8107367007266538,0.44505208333333335,0.5257066547963499,0.3993912749408184,0.7688802083333334,0.4285263741506067,0.49867638492227784,0.4990234375,0.4990234375,0.5000069229691116,0.3005429548995867,0.19814247419844833,2.5065131187438965,-9.262561798095703e-05,0.7687514022103424,0.46432291666666664,0.48068669527896996,0.39257731958762887,0.6197916666666666,0.46379051085540324,0.4899282357655459,0.490234375,0.490234375,0.48628828260633683,0.2836913756796732,0.15707484501842378,1.6241953372955322,0.0,-0.013718640362774814,-0.14908854166666674,-0.0087890625,-0.04198529851631139,0.035264136704796556,-0.016851579219913537,9.262561798095703e-05,0.019270833333333293,-0.8823177814483643,-0.041067629180024545,-0.04501995951737997,-0.0087890625,-0.008748149156731944,-0.006813955353189516
1,6,1,"[0, 6, 9, 13, 14, 16]","[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 15, 17]",1536,3072,3,0.7927022050472937,0.4645182291666667,0.5482010436693217,0.4227022448115205,0.7796875,0.44549484864249145,0.5130388861188404,0.5095424107142857,0.5095424107142857,0.5178649902343749,0.29243490403070765,0.17786511127789406,2.5226175785064697,-9.02414321899414e-05,0.7742457441367692,0.458984375,0.49298352654057354,0.4044044044044044,0.63125,0.4565406118397215,0.4824629098372115,0.48359375,0.48359375,0.47972324916294645,0.28567529042507983,0.16136689163132584,1.859146237373352,0.0,-0.03814174107142848,-0.1484375,-0.025948660714285754,-0.018456460910524553,0.011045763197230052,-0.006759613605627823,9.02414321899414e-05,-0.005533854166666685,-0.6634713411331177,-0.016498219646568224,-0.05521751712874812,-0.025948660714285754,-0.03057597628162889,-0.018297840407116128
1,6,2,"[2, 4, 12, 13, 15, 16]","[0, 1, 3, 5, 6, 7, 8, 9, 10, 11, 14, 17]",1536,3072,3,0.8099349282586156,0.4482421875,0.5362517099863201,0.4126315789473684,0.765625,0.42762766294816207,0.4911077550403987,0.4935825892857143,0.4935825892857143,0.4876421247209821,0.30001468420769234,0.19411592444831358,2.5177042484283447,-9.775161743164062e-05,0.7516483633483491,0.4837239583333333,0.49618805590851334,0.41809421841541755,0.61015625,0.4834077796231485,0.5018211955864463,0.5017857142857143,0.5017857142857143,0.5024278913225446,0.27580925491500646,0.13024841445837862,1.4477624893188477,0.0,0.0147857666015625,-0.15546875000000004,0.008203124999999978,-0.058286564910266514,0.055780116674986446,-0.024205429292685876,9.775161743164062e-05,0.035481770833333315,-1.069941759109497,-0.06386750998993496,-0.040063654077806765,0.008203124999999978,0.010713440546047615,0.005462639468049146
