epoch,accuracy,autoencoder_loss,kl_loss,loss,predicted_class_0_fraction,predicted_class_1_fraction,reconstruction_loss,true_class_0_fraction,true_class_1_fraction,vc_class_prior_kl,vc_cross_entropy,vc_discriminator_kl,vc_discriminator_loss,vc_latent_kl,vc_loss,weighted_kl_loss,weighted_vc_class_prior_kl,weighted_vc_cross_entropy,weighted_vc_discriminator_kl,weighted_vc_latent_kl,val_accuracy,val_autoencoder_loss,val_kl_loss,val_loss,val_predicted_class_0_fraction,val_predicted_class_1_fraction,val_reconstruction_loss,val_true_class_0_fraction,val_true_class_1_fraction,val_vc_class_prior_kl,val_vc_cross_entropy,val_vc_discriminator_kl,val_vc_discriminator_loss,val_vc_latent_kl,val_vc_loss,val_weighted_kl_loss,val_weighted_vc_class_prior_kl,val_weighted_vc_cross_entropy,val_weighted_vc_discriminator_kl,val_weighted_vc_latent_kl
0,0.6508856415748596,18.712167739868164,0.17568106949329376,0.688672661781311,0.2289855033159256,0.7710145115852356,1.1440606117248535,0.2753623127937317,0.7246376872062683,0.11549891531467438,0.688672661781311,0.23790410161018372,0.0,0.6879651546478271,0.688672661781311,17.568111419677734,0.0,0.688672661781311,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.6908212304115295,18.97081184387207,0.1782926768064499,0.6794188618659973,0.208695650100708,0.791304349899292,1.1415385007858276,0.2753623127937317,0.7246376872062683,0.11127900332212448,0.6794188618659973,0.4729757010936737,0.0,0.5595077872276306,0.6794188618659973,17.829273223876953,0.0,0.6794188618659973,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.7149758338928223,17.737180709838867,0.16602565348148346,0.6696202754974365,0.18776167929172516,0.812238335609436,1.1346156597137451,0.2753623127937317,0.7246376872062683,0.10722582787275314,0.6696202754974365,0.6959357261657715,0.0,0.4959438443183899,0.6696202754974365,16.602561950683594,0.0,0.6696202754974365,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.7323671579360962,17.76067543029785,0.16633561253547668,0.6567232012748718,0.1780998408794403,0.8219001889228821,1.1271154880523682,0.2753623127937317,0.7246376872062683,0.10331502556800842,0.6567232012748718,0.8240038752555847,0.0,0.47197216749191284,0.6567232012748718,16.63355827331543,0.0,0.6567232012748718,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.737520158290863,18.380462646484375,0.17255571484565735,0.6399017572402954,0.17874395847320557,0.8212560415267944,1.1248912811279297,0.2753623127937317,0.7246376872062683,0.09955082088708878,0.6399017572402954,0.929468035697937,0.0,0.47123944759368896,0.6399017572402954,17.255573272705078,0.0,0.6399017572402954,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.7446054816246033,19.533620834350586,0.18400603532791138,0.6234601140022278,0.17552335560321808,0.8244766592979431,1.1330204010009766,0.2753623127937317,0.7246376872062683,0.095940500497818,0.6234601140022278,1.0299936532974243,0.0,0.5041100978851318,0.6234601140022278,18.400604248046875,0.0,0.6234601140022278,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.7404186725616455,18.586729049682617,0.17456787824630737,0.6011533141136169,0.2109500765800476,0.7890499234199524,1.1299470663070679,0.2753623127937317,0.7246376872062683,0.09250698983669281,0.6011533141136169,1.1287195682525635,0.0,0.5488080978393555,0.6011533141136169,17.456790924072266,0.0,0.6011533141136169,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.7381642460823059,18.78289222717285,0.17652252316474915,0.5839086771011353,0.21739129722118378,0.782608687877655,1.1306359767913818,0.2753623127937317,0.7246376872062683,0.0892772451043129,0.5839086771011353,1.1145973205566406,0.0,0.6066703200340271,0.5839086771011353,17.652252197265625,0.0,0.5839086771011353,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.747020959854126,18.924701690673828,0.17794062197208405,0.5693951845169067,0.21175523102283478,0.7882447838783264,1.1306414604187012,0.2753623127937317,0.7246376872062683,0.08624494075775146,0.5693951845169067,1.188678503036499,0.0,0.6546823382377625,0.5693951845169067,17.7940616607666,0.0,0.5693951845169067,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.7466988563537598,18.564722061157227,0.1743566393852234,0.5520590543746948,0.21626408398151398,0.7837359309196472,1.129054307937622,0.2753623127937317,0.7246376872062683,0.08340923488140106,0.5520590543746948,1.259512186050415,0.0,0.6959010362625122,0.5520590543746948,17.435667037963867,0.0,0.5520590543746948,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
