config_index,is_selected,selection_level,selection_metric,selection_score,selection_score_std,n_folds,config,window_loss_mean,window_accuracy_mean,window_f1_mean,window_precision_mean,window_recall_mean,window_decoder_accuracy_mean,window_loss_std,window_accuracy_std,window_f1_std,window_precision_std,window_recall_std,window_decoder_accuracy_std,trial_loss_mean,trial_accuracy_mean,trial_f1_mean,trial_precision_mean,trial_recall_mean,trial_loss_std,trial_accuracy_std,trial_f1_std,trial_precision_std,trial_recall_std
0,0,trial,f1,0.46255236219159596,0.1677718335986988,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.3, ""batch_size"": 64, ""bilstm_dropout"": 0.4, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.3, ""emb_dim"": 8, ""epochs"": 200, ""gcn_units"": [16, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": false, ""vae_beta"": 0.1, ""vc_alpha"": 1.0, ""vc_beta"": 0.1, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.6860986872161529,0.5594202898550725,0.46813890481721965,0.4942476739336904,0.5237126704166347,0.005591275899306587,0.011226452811790067,0.1583766813969701,0.14471411576972443,0.14284144668120022,0.13533784051295727,0.012400083764454508,0.6858754902756214,0.5748792270531401,0.46255236219159596,0.48975988844914675,0.5132192562339621,0.01132558957710648,0.18650721828498515,0.1677718335986988,0.18458546200294865,0.17020671861077932
1,0,trial,f1,0.4759457593751427,0.12826695912088804,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.3, ""batch_size"": 64, ""bilstm_dropout"": 0.4, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.3, ""emb_dim"": 8, ""epochs"": 200, ""gcn_units"": [16, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": false, ""vae_beta"": 0.4, ""vc_alpha"": 1.0, ""vc_beta"": 0.1, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.6855747757097269,0.5565217391304348,0.46927188408103704,0.5106876382717719,0.507390580079199,0.0008841960326485012,0.008821496789042076,0.11741747718544576,0.09097665780681323,0.07201856597430807,0.10523615839278416,0.003440358886139695,0.6853852017709027,0.5917874396135264,0.4759457593751427,0.4997500084456606,0.512982339484897,0.008843373673299347,0.1542114946812789,0.12826695912088804,0.12293077795175712,0.15038005712182131
2,0,trial,f1,0.4472464006994396,0.14290655519613882,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.3, ""batch_size"": 64, ""bilstm_dropout"": 0.4, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.3, ""emb_dim"": 8, ""epochs"": 200, ""gcn_units"": [16, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": false, ""vae_beta"": 0.1, ""vc_alpha"": 1.0, ""vc_beta"": 0.3, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.6888974610204602,0.5510466988727859,0.44369117887101106,0.47961572580834005,0.503675696520965,0.004759425702302352,0.008413127114651945,0.13805366263597776,0.11224987289406918,0.11344312546663818,0.10204822688486308,0.010711410886257978,0.6888101108910363,0.572463768115942,0.4472464006994396,0.45724064227900546,0.5076830529515951,0.008440106154721537,0.1682172497244459,0.14290655519613882,0.15179637763588658,0.14355431653332631
3,1,trial,f1,0.492485101158891,0.16569941357493478,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.3, ""batch_size"": 64, ""bilstm_dropout"": 0.4, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.3, ""emb_dim"": 8, ""epochs"": 200, ""gcn_units"": [16, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": false, ""vae_beta"": 0.4, ""vc_alpha"": 1.0, ""vc_beta"": 0.3, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.6883626246281849,0.5734299516908212,0.4827024729857385,0.5127463769941702,0.5399953836302941,0.0015844806380893874,0.007553719226620729,0.14005107816661727,0.1350434515096561,0.12411467017590158,0.12899369104723923,0.0027592303686902364,0.6882888556868639,0.6038647342995168,0.492485101158891,0.5076562592707095,0.5356803487078424,0.007565703368103892,0.17667558983487675,0.16569941357493478,0.16958739639378875,0.169338945643796
