target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,delta_loss,delta_macro_recall,delta_macro_precision,delta_macro_f1,delta_recall,delta_brier_score,delta_joint_loss,delta_precision,delta_roc_auc,delta_ece,delta_balanced_accuracy,delta_accuracy,delta_f1
0,3,1,"[0, 7, 9]","[2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 16]",180,660,15,0.7000746609184483,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.5172073412698412,0.2534630102807076,0.14782968524730566,1.4845304489135742,0.6989371797435183,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.476547619047619,0.25289458051177466,0.14566427162199314,1.8228741884231567,-0.0011374811749299552,0.0,0.0,0.0,0.0,-0.0005684297689329543,0.3383437395095825,0.0,-0.04065972222222225,-0.002165413625312529,0.0,0.0,0.0
0,3,2,"[2, 8, 11]","[0, 3, 4, 5, 6, 7, 9, 10, 12, 14, 16]",180,660,15,0.7002226828376059,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.44479166666666664,0.25353696694109534,0.14778234443881288,1.4993212223052979,0.6976345560995543,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.3542410714285714,0.25224348032608945,0.14280679108518546,1.727742314338684,-0.0025881267380516437,0.0,0.0,0.0,0.0,-0.00129348661500589,0.22842109203338623,0.0,-0.09055059523809522,-0.004975553353627427,0.0,0.0,0.0
0,3,3,"[3, 11, 16]","[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.7001230014853288,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.49416666666666664,0.2534871354765726,0.14786436368118627,1.495331883430481,0.6978983855822513,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.47332837301587294,0.2523752921752557,0.14365351218165767,1.7693949937820435,-0.0022246159030775425,0.0,0.0,0.0,0.0,-0.0011118433013168616,0.2740631103515625,0.0,-0.020838293650793704,-0.004210851499528601,0.0,0.0,0.0
0,3,4,"[0, 3, 8]","[2, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",180,660,15,0.7006053691744342,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.3920337301587302,0.25372818171108863,0.14796873656186194,1.502875566482544,0.6986528554461658,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.3418253968253968,0.252752459299834,0.1444017760681383,1.7658787965774536,-0.0019525137282683236,0.0,0.0,0.0,0.0,-0.0009757224112546536,0.26300323009490967,0.0,-0.05020833333333341,-0.0035669604937236254,0.0,0.0,0.0
0,3,5,"[2, 6, 7]","[0, 3, 4, 5, 8, 9, 10, 11, 12, 14, 16]",180,660,15,0.7005025619284146,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.4562797619047618,0.2536768060408862,0.14803787749825104,1.4765865802764893,0.6998476270363473,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.42884424603174603,0.25334956514910506,0.14684306771466227,1.8956061601638794,-0.0006549348920673603,0.0,0.0,0.0,0.0,-0.00032724089178115534,0.41901957988739014,0.0,-0.027435515873015792,-0.0011948097835887683,0.0,0.0,0.0
0,3,6,"[4, 11, 16]","[0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.7001739068319658,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.48020833333333335,0.25351257559821766,0.14788925114906193,1.5100702047348022,0.6980278601969324,0.36363636363636365,0.0,0.0,0.0,0.26666666666666666,0.18181818181818182,0.5,0.5,0.47551587301587295,0.2524400082102333,0.14384014507134757,1.7924813032150269,-0.002146046635033372,0.0,0.0,0.0,0.0,-0.0010725673879843356,0.2824110984802246,0.0,-0.004692460317460401,-0.0040491060777143595,0.0,0.0,0.0
0,6,1,"[2, 3, 4, 7, 12, 14]","[0, 5, 6, 8, 9, 10, 11, 16]",360,480,15,0.6998827489896191,0.375,0.0,0.0,0.0,0.2727272727272727,0.1875,0.5,0.5,0.4694351851851851,0.2533669340457248,0.13679432099064193,1.0949327945709229,0.6981039227981423,0.375,0.0,0.0,0.0,0.2727272727272727,0.1875,0.5,0.5,0.4218981481481482,0.25247799254146025,0.13239733763039108,1.7582476139068604,-0.0017788261914768455,0.0,0.0,0.0,0.0,-0.000888941504264551,0.6633148193359375,0.0,-0.04753703703703693,-0.00439698336025085,0.0,0.0,0.0
0,6,2,"[4, 5, 6, 8, 9, 12]","[0, 2, 3, 7, 10, 11, 14, 16]",360,480,15,0.6998698389028554,0.375,0.0,0.0,0.0,0.2727272727272727,0.1875,0.5,0.5,0.3600277777777777,0.25336058332486533,0.13634104616940024,1.1169984340667725,0.6971980200497588,0.37083333333333335,0.0,0.0,0.0,0.270516717325228,0.18619246861924685,0.49444444444444446,0.49444444444444446,0.2957037037037037,0.2520252714864634,0.13430922242502374,1.649000644683838,-0.0026718188530965303,-0.005555555555555536,-0.001307531380753152,-0.0022105554020447338,0.0,-0.0013353118384019091,0.5320022106170654,0.0,-0.06432407407407403,-0.002031823744376493,-0.005555555555555536,-0.004166666666666652,0.0
0,6,3,"[0, 2, 3, 6, 7, 16]","[4, 5, 8, 9, 10, 11, 12, 14]",360,480,15,0.7002953649899162,0.375,0.0,0.0,0.0,0.2727272727272727,0.1875,0.5,0.5,0.40136111111111117,0.2535731197953791,0.1368777737021446,1.0658912658691406,0.7000988966332105,0.375,0.0,0.0,0.0,0.2727272727272727,0.1875,0.5,0.5,0.32831481481481484,0.2534750280339407,0.1347880446662505,1.9128007888793945,-0.0001964683567057257,0.0,0.0,0.0,0.0,-9.809176143843468e-05,0.8469095230102539,0.0,-0.07304629629629633,-0.0020897290358941056,0.0,0.0,0.0
1,3,1,"[12, 13, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15]",180,780,15,0.6931080410874246,0.4846153846153846,0.40532544378698226,0.31422018348623854,0.5708333333333333,0.4752871562826314,0.5074007894175379,0.5085648148148147,0.5085648148148147,0.5128202160493828,0.24998043113504287,0.015883222145911924,1.8322725296020508,0.6930973204942309,0.491025641025641,0.42043795620437957,0.3235955056179775,0.6,0.48336183524504694,0.5185141707194365,0.5212962962962963,0.5212962962962963,0.5164429012345679,0.24997506981516684,0.009473428130149897,1.906535267829895,-1.0720593193735972e-05,0.01273148148148151,0.01111338130189865,0.008074678962415538,0.029166666666666674,-5.36131987602384e-06,0.07426273822784424,0.009375322131738972,0.0036226851851851594,-0.006409794015762027,0.01273148148148151,0.0064102564102563875,0.015112512417397306
