epoch,accuracy,autoencoder_loss,kl_loss,loss,reconstruction_loss,vc_loss,weighted_kl_loss,val_accuracy,val_autoencoder_loss,val_kl_loss,val_loss,val_reconstruction_loss,val_vc_loss,val_weighted_kl_loss
0,0.604347825050354,510.9053039550781,509.862548828125,242.8641357421875,1.0430339574813843,127.98938751220703,509.862548828125,NA,NA,NA,NA,NA,NA,NA
1,0.6111111044883728,194.92950439453125,193.9322967529297,99.02362060546875,0.9971663951873779,57.921043395996094,193.9322967529297,NA,NA,NA,NA,NA,NA,NA
2,0.6111111044883728,117.96903991699219,116.97621154785156,68.93158721923828,0.9927701354026794,47.91558837890625,116.97621154785156,NA,NA,NA,NA,NA,NA,NA
3,0.6111111044883728,86.6087875366211,85.61705780029297,52.762413024902344,0.9917131662368774,38.25682830810547,85.61705780029297,NA,NA,NA,NA,NA,NA,NA
4,0.6111111044883728,63.74911880493164,62.75755310058594,42.83380126953125,0.9915575385093689,33.87007522583008,62.75755310058594,NA,NA,NA,NA,NA,NA,NA
5,0.6111111044883728,48.61256790161133,47.621177673339844,35.949920654296875,0.9914079904556274,30.523088455200195,47.621177673339844,NA,NA,NA,NA,NA,NA,NA
6,0.6111111044883728,39.115509033203125,38.12417221069336,32.18618392944336,0.9913410544395447,29.21645736694336,38.12417221069336,NA,NA,NA,NA,NA,NA,NA
7,0.6111111044883728,32.72442626953125,31.733152389526367,28.499650955200195,0.9912715554237366,26.689044952392578,31.733152389526367,NA,NA,NA,NA,NA,NA,NA
8,0.6111111044883728,27.418027877807617,26.426776885986328,24.34083366394043,0.9912463426589966,23.022022247314453,26.426776885986328,NA,NA,NA,NA,NA,NA,NA
9,0.6111111044883728,23.217466354370117,22.22624397277832,22.25554084777832,0.9912276864051819,21.843271255493164,22.22624397277832,NA,NA,NA,NA,NA,NA,NA
10,0.6111111044883728,19.771804809570312,18.780597686767578,20.03087043762207,0.9912056922912598,20.141897201538086,18.780597686767578,NA,NA,NA,NA,NA,NA,NA
11,0.6111111044883728,17.197690963745117,16.206504821777344,18.968708038330078,0.9911883473396301,19.72772789001465,16.206504821777344,NA,NA,NA,NA,NA,NA,NA
12,0.6111111044883728,14.922024726867676,13.930839538574219,19.557167053222656,0.9911816716194153,21.54366111755371,13.930839538574219,NA,NA,NA,NA,NA,NA,NA
13,0.6111111044883728,13.215103149414062,12.223928451538086,17.285507202148438,0.991173505783081,19.02995491027832,12.223928451538086,NA,NA,NA,NA,NA,NA,NA
