target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,zero_shot_reconstruction_loss,zero_shot_decoder_r2,zero_shot_gcn_gru_reconstruction_loss,zero_shot_gcn_gru_decoder_r2,zero_shot_bilstm_reconstruction_loss,zero_shot_bilstm_decoder_r2,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,calibrated_reconstruction_loss,calibrated_decoder_r2,calibrated_gcn_gru_reconstruction_loss,calibrated_gcn_gru_decoder_r2,calibrated_bilstm_reconstruction_loss,calibrated_bilstm_decoder_r2,delta_brier_score,delta_accuracy,delta_reconstruction_loss,delta_gcn_gru_reconstruction_loss,delta_macro_precision,delta_roc_auc,delta_gcn_gru_decoder_r2,delta_loss,delta_macro_f1,delta_precision,delta_joint_loss,delta_decoder_r2,delta_ece,delta_f1,delta_balanced_accuracy,delta_bilstm_decoder_r2,delta_macro_recall,delta_recall,delta_bilstm_reconstruction_loss
0,3,1,"[12, 14, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16]",3,15,30,0.6890753875555288,0.7333333333333333,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.5833333333333334,0.6346153846153846,0.5795454545454546,0.5795454545454546,0.5,0.24796426418605197,0.22892449299494422,0.630206823348999,0.8785160779953003,0.12148386240005493,0.9659200310707092,0.03407984972000122,0.7911121249198914,0.2088877558708191,0.6894633614984074,0.7333333333333333,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.5833333333333334,0.6346153846153846,0.5795454545454546,0.5795454545454546,0.4772727272727273,0.24815822247615932,0.22918939193089793,0.5883488655090332,0.8785160779953003,0.12148386240005493,0.9659200310707092,0.03407984972000122,0.7911121249198914,0.2088877558708191,0.00019395829010734889,0.0,0.0,0.0,0.0,-0.022727272727272707,0.0,0.00038797394287859444,0.0,0.0,-0.04185795783996582,0.0,0.00026489893595371683,0.0,0.0,0.0,0.0,0.0,0.0
0,3,2,"[4, 15, 16]","[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17]",3,15,30,0.6893881263783757,0.6666666666666666,0.782608695652174,0.75,0.8181818181818182,0.5341614906832298,0.5416666666666666,0.5340909090909092,0.5340909090909092,0.5,0.24812063678544885,0.16209070682525628,0.5849823951721191,0.8804396390914917,0.11956018209457397,0.9681590795516968,0.03184080123901367,0.7927202582359314,0.20727962255477905,0.6898271372936328,0.6,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.48863636363636365,0.48863636363636365,0.48863636363636365,0.48863636363636365,0.5,0.2483401402562117,0.0954808831214905,0.5862081050872803,0.8804396390914917,0.11956018209457397,0.9681590795516968,0.03184080123901367,0.7927202582359314,0.20727962255477905,0.00021950347076285515,-0.06666666666666665,0.0,0.0,-0.05303030303030298,0.0,0.0,0.0004390109152571098,-0.045525127046866176,-0.022727272727272707,0.0012257099151611328,0.0,-0.06660982370376578,-0.055335968379446654,-0.045454545454545525,0.0,-0.045454545454545525,-0.09090909090909094,0.0
0,3,3,"[6, 7, 9]","[0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17]",3,15,30,0.6896572993783779,0.6666666666666666,0.782608695652174,0.75,0.8181818181818182,0.5341614906832298,0.5416666666666666,0.5340909090909092,0.5340909090909092,0.4772727272727273,0.24825521223000926,0.16235783100128165,0.5813298225402832,0.8815361261367798,0.11846393346786499,0.9681457877159119,0.031854212284088135,0.7949264049530029,0.20507359504699707,0.6893272644441915,0.7333333333333333,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.5833333333333334,0.6346153846153846,0.5795454545454546,0.5795454545454546,0.4318181818181818,0.24809020428636946,0.22880526383717847,0.5801060199737549,0.8815361261367798,0.11846393346786499,0.9681457877159119,0.031854212284088135,0.7949264049530029,0.20507359504699707,-0.00016500794363979998,0.06666666666666665,0.0,0.0,0.09294871794871795,-0.04545454545454547,0.0,-0.000330034934186485,0.04917184265010355,0.019230769230769273,-0.0012238025665283203,0.0,0.06644743283589682,0.050724637681159424,0.045454545454545414,0.0,0.045454545454545414,0.09090909090909083,0.0
0,3,4,"[2, 5, 13]","[0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17]",3,15,30,0.6910948499369248,0.6,0.75,0.6923076923076923,0.8181818181818182,0.375,0.34615384615384615,0.4090909090909091,0.4090909090909091,0.29545454545454547,0.24897393670666576,0.09563706715901688,0.5868924856185913,0.8828097581863403,0.11719018220901489,0.9688778519630432,0.031122148036956787,0.7967416644096375,0.20325833559036255,0.6905737338181605,0.6,0.75,0.6923076923076923,0.8181818181818182,0.375,0.34615384615384615,0.4090909090909091,0.4090909090909091,0.34090909090909094,0.24871345720605814,0.09494914213816319,0.5839328765869141,0.8828097581863403,0.11719018220901489,0.9688778519630432,0.031122148036956787,0.7967416644096375,0.20325833559036255,-0.0002604795006076188,0.0,0.0,0.0,0.0,0.04545454545454547,0.0,-0.0005211161187643754,0.0,0.0,-0.002959609031677246,0.0,-0.0006879250208536858,0.0,0.0,0.0,0.0,0.0,0.0
0,3,5,"[0, 8, 11]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17]",3,15,30,0.6892561190180433,0.6666666666666666,0.782608695652174,0.75,0.8181818181818182,0.5341614906832298,0.5416666666666666,0.5340909090909092,0.5340909090909092,0.5454545454545454,0.2480546510155722,0.16229458252588902,0.5748417377471924,0.8825361132621765,0.11746382713317871,0.9702428579330444,0.029757142066955566,0.7948293685913086,0.2051706314086914,0.6886834017732789,0.6,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.48863636363636365,0.48863636363636365,0.48863636363636365,0.48863636363636365,0.5681818181818181,0.24776833789523914,0.09527544180552161,0.5777489542961121,0.8825361132621765,0.11746382713317871,0.9702428579330444,0.029757142066955566,0.7948293685913086,0.2051706314086914,-0.00028631312033305933,-0.06666666666666665,0.0,0.0,-0.05303030303030298,0.022727272727272707,0.0,-0.0005727172447643758,-0.045525127046866176,-0.022727272727272707,0.0029072165489196777,0.0,-0.06701914072036741,-0.055335968379446654,-0.045454545454545525,0.0,-0.045454545454545525,-0.09090909090909094,0.0
0,3,6,"[1, 3, 10]","[0, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17]",3,15,30,0.6905432191093446,0.6666666666666666,0.782608695652174,0.6923076923076923,0.9,0.5341614906832298,0.5961538461538461,0.55,0.55,0.45999999999999996,0.24869809014170777,0.16204634110132854,0.5977391004562378,0.8826098442077637,0.11739015579223633,0.9690371751785278,0.030962824821472168,0.7961825728416443,0.2038174271583557,0.6904345800647232,0.6666666666666666,0.782608695652174,0.6923076923076923,0.9,0.5341614906832298,0.5961538461538461,0.55,0.55,0.45999999999999996,0.24864381331774468,0.16138817071914668,0.5917358994483948,0.8826098442077637,0.11739015579223633,0.9690371751785278,0.030962824821472168,0.7961825728416443,0.2038174271583557,-5.42768239630842e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010863904462132812,0.0,0.0,-0.006003201007843018,0.0,-0.0006581703821818552,0.0,0.0,0.0,0.0,0.0,0.0
0,6,1,"[2, 4, 7, 12, 13, 16]","[0, 1, 3, 5, 6, 8, 9, 10, 11, 14, 15, 17]",6,12,30,0.6884128157346224,0.75,0.8421052631578947,0.8,0.8888888888888888,0.6210526315789473,0.65,0.611111111111111,0.611111111111111,0.5185185185185186,0.24763298348252238,0.2454460710287094,0.592433750629425,0.8809289932250977,0.11907088756561279,0.9678736329078674,0.03212624788284302,0.7939844131469727,0.20601552724838257,0.6880806236141787,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.40740740740740744,0.24746687258215413,0.16140174865722656,0.5897241830825806,0.8809289932250977,0.11907088756561279,0.9678736329078674,0.03212624788284302,0.7939844131469727,0.20601552724838257,-0.00016611090036824927,-0.08333333333333337,0.0,0.0,-0.09444444444444444,-0.11111111111111116,0.0,-0.000332192120443775,-0.06549707602339172,-0.022222222222222254,-0.0027095675468444824,0.0,-0.08404432237148285,-0.0643274853801169,-0.05555555555555547,0.0,-0.05555555555555547,-0.11111111111111105,0.0
0,6,2,"[0, 3, 8, 9, 10, 11]","[1, 2, 4, 5, 6, 7, 12, 13, 14, 15, 16, 17]",6,12,30,0.6903566118464712,0.6666666666666666,0.7777777777777778,0.7,0.875,0.5555555555555556,0.6,0.5625,0.5625,0.5625,0.24860482194248892,0.16226946314175916,0.5892698168754578,0.8804688453674316,0.11953103542327881,0.9701645970344543,0.02983534336090088,0.7907731533050537,0.2092267870903015,0.6898161665433574,0.75,0.8421052631578947,0.7272727272727273,1.0,0.6210526315789473,0.8636363636363636,0.625,0.625,0.46875,0.24833462285750527,0.24483766158421838,0.5826915502548218,0.8804688453674316,0.11953103542327881,0.9701645970344543,0.02983534336090088,0.7907731533050537,0.2092267870903015,-0.00027019908498365774,0.08333333333333337,0.0,0.0,0.26363636363636367,-0.09375,0.0,-0.0005404453031138123,0.06549707602339172,0.027272727272727337,-0.006578266620635986,0.0,0.08256819844245922,0.0643274853801169,0.0625,0.0,0.0625,0.125,0.0
0,6,3,"[1, 5, 6, 14, 15, 17]","[0, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 16]",6,12,30,0.6907380731072039,0.5833333333333334,0.7368421052631579,0.7,0.7777777777777778,0.3684210526315789,0.35,0.3888888888888889,0.3888888888888889,0.25925925925925924,0.24879559010771657,0.07895997663338983,0.6303098797798157,0.8828258514404297,0.11717402935028076,0.9671531915664673,0.03284674882888794,0.7984985709190369,0.20150136947631836,0.6909110143103141,0.5833333333333334,0.7368421052631579,0.7,0.7777777777777778,0.3684210526315789,0.35,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.2488820997630823,0.0785208741823833,0.6289025545120239,0.8828258514404297,0.11717402935028076,0.9671531915664673,0.03284674882888794,0.7984985709190369,0.20150136947631836,8.650965536571853e-05,0.0,0.0,0.0,0.0,-0.037037037037037035,0.0,0.00017294120311017736,0.0,0.0,-0.001407325267791748,0.0,-0.00043910245100653444,0.0,0.0,0.0,0.0,0.0,0.0
0,9,1,"[2, 6, 7, 8, 12, 13, 14, 15, 17]","[0, 1, 3, 4, 5, 9, 10, 11, 16]",9,9,30,0.6889357610538595,0.7777777777777778,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6785714285714286,0.6428571428571428,0.24789445587825862,0.274551616774665,0.6480624675750732,0.8811260461807251,0.11887383460998535,0.9678251147270203,0.03217482566833496,0.7944270372390747,0.20557290315628052,0.6889860662101738,0.8888888888888888,0.9333333333333333,0.875,1.0,0.8,0.9375,0.75,0.75,0.5714285714285714,0.24791959814076345,0.3855449292394849,0.6422163248062134,0.8811260461807251,0.11887383460998535,0.9678251147270203,0.03217482566833496,0.7944270372390747,0.20557290315628052,2.5142262504829205e-05,0.11111111111111105,0.0,0.0,0.2589285714285714,-0.0714285714285714,0.0,5.0305156314323085e-05,0.12142857142857144,0.017857142857142905,-0.005846142768859863,0.0,0.11099331246481992,0.07619047619047625,0.0714285714285714,0.0,0.0714285714285714,0.1428571428571429,0.0
