epoch,accuracy,autoencoder_loss,base_total_loss,decoder_accuracy,kl_loss,loss,predicted_class_0_fraction,predicted_class_1_fraction,reconstruction_loss,regularization_loss,true_class_0_fraction,true_class_1_fraction,vc_class_prior_kl,vc_cross_entropy,vc_discriminator_kl,vc_discriminator_loss,vc_latent_kl,vc_loss,weighted_kl_loss,weighted_vc_class_prior_kl,weighted_vc_cross_entropy,weighted_vc_discriminator_kl,weighted_vc_latent_kl,val_accuracy,val_autoencoder_loss,val_base_total_loss,val_decoder_accuracy,val_kl_loss,val_loss,val_predicted_class_0_fraction,val_predicted_class_1_fraction,val_reconstruction_loss,val_regularization_loss,val_true_class_0_fraction,val_true_class_1_fraction,val_vc_class_prior_kl,val_vc_cross_entropy,val_vc_discriminator_kl,val_vc_discriminator_loss,val_vc_latent_kl,val_vc_loss,val_weighted_kl_loss,val_weighted_vc_class_prior_kl,val_weighted_vc_cross_entropy,val_weighted_vc_discriminator_kl,val_weighted_vc_latent_kl
0,0.5252626538276672,2.588549852371216,1.7650545835494995,-0.9887468814849854,1.9875205755233765,1.7659701108932495,0.6739130616188049,0.32608696818351746,1.9922940731048584,0.0009165147785097361,0.2753623127937317,0.7246376872062683,0.41618096828460693,0.6934641003608704,0.26654770970344543,0.0,0.633516788482666,0.9884889125823975,0.5962563753128052,0.04161808639764786,0.6934641003608704,0.0,0.25340670347213745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.4830700755119324,1.937165379524231,1.5390686988830566,-0.4365410804748535,1.660207986831665,1.5399842262268066,0.1473429948091507,0.8526570200920105,1.4391026496887207,0.0009176934836432338,0.2753623127937317,0.7246376872062683,0.41124168038368225,0.6919780969619751,0.24704672396183014,0.0,0.5620422959327698,0.9579194784164429,0.49806246161460876,0.041124165058135986,0.6919780969619751,0.0,0.2248169183731079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.5054386258125305,1.6950324773788452,1.447052240371704,-0.2556573152542114,1.4571188688278198,1.4479683637619019,0.009661835618317127,0.990338146686554,1.2578965425491333,0.0009187053074128926,0.2753623127937317,0.7246376872062683,0.40649956464767456,0.6903094053268433,0.22854621708393097,0.0,0.5189594626426697,0.9385427832603455,0.4371357858181,0.04064994677901268,0.6903094053268433,0.0,0.20758384466171265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.5,1.5520293712615967,1.3885680437088013,-0.15072393417358398,1.3308466672897339,1.389485478401184,0.0,1.0,1.152775526046753,0.000919482612516731,0.2753623127937317,0.7246376872062683,0.40197089314460754,0.6889212131500244,0.22826680541038513,0.0,0.48460105061531067,0.9229587912559509,0.3992539942264557,0.04019710049033165,0.6889212131500244,0.0,0.19384047389030457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.5,1.4468640089035034,1.3411219120025635,-0.08638143539428711,1.1951478719711304,1.3420401811599731,0.0,1.0,1.088319182395935,0.00092008535284549,0.2753623127937317,0.7246376872062683,0.3976501524448395,0.6877248287200928,0.21728931367397308,0.0,0.44893237948417664,0.9070626497268677,0.35854437947273254,0.03976502642035484,0.6877248287200928,0.0,0.1795729249715805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.5,1.3902426958084106,1.312599539756775,-0.04786717891693115,1.1350233554840088,1.3135178089141846,0.0,1.0,1.0497361421585083,0.0009206502581946552,0.2753623127937317,0.7246376872062683,0.39352911710739136,0.6866648197174072,0.21284928917884827,0.0,0.4237731397151947,0.8955270051956177,0.3405068814754486,0.0393529012799263,0.6866648197174072,0.0,0.16950924694538116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
