step,target_loss_component,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm
0,confidence,0.5,1.031976580619812,0.5025532841682434,0.0,0.5045852661132812,4.789647579193115,0.5025532841682434,0.0,0.050458528101444244,0.47896477580070496,0.5045852661132812,0.5025532841682434,1.2910641431808472,0.0,0.0,0.0,0.0,0,0.3629903793334961,False,0.6370096206665039,0.3629903793334961,1.049210548400879
1,confidence,0.5,3.7548069953918457,0.0,0.20570622384548187,1.9985394477844238,35.34382247924805,0.0,0.020570622757077217,0.19985394179821014,3.5343823432922363,1.9985394477844238,0.0,6.124639639892848e-07,0.0,0.0,0.0,0.0,1,0.99944669008255,True,0.0005532846553251147,0.99944669008255,0.05800258368253708
2,confidence,0.5,1.0724232196807861,0.0,0.5550855398178101,3.7612786293029785,6.407867908477783,0.0,0.055508553981781006,0.37612786889076233,0.6407868266105652,3.7612786293029785,0.0,4.240329189997283e-07,0.0,0.0,0.0,0.0,1,0.9995396137237549,True,0.00046046043280512094,0.9995396137237549,0.010770944878458977
3,confidence,0.5,0.9190250635147095,0.0,0.9657762050628662,5.620482921600342,2.6039907932281494,0.0,0.09657762199640274,0.5620483160018921,0.26039907336235046,5.620482921600342,0.0,4.4942621002519445e-07,0.0,0.0,0.0,0.0,1,0.9995260238647461,True,0.0004740278236567974,0.9995260238647461,0.005061281844973564
4,confidence,0.5,1.0268369913101196,0.0,1.3949300050735474,7.409685134887695,1.4637545347213745,0.0,0.13949300348758698,0.7409685254096985,0.14637546241283417,7.409685134887695,0.0,5.117891532790964e-07,0.0,0.0,0.0,0.0,1,0.999494194984436,True,0.0005057941889390349,0.999494194984436,0.003396001411601901
5,confidence,0.5,1.1837818622589111,0.0,1.822064995765686,9.04428768157959,0.9714657068252563,0.0,0.18220649659633636,0.9044287800788879,0.09714657068252563,9.04428768157959,0.0,5.82759867029381e-07,0.0,0.0,0.0,0.0,1,0.9994602799415588,True,0.0005397087661549449,0.9994602799415588,0.002879631007090211
6,confidence,0.5,1.3397552967071533,0.0,2.236363649368286,10.481348991394043,0.6798394322395325,0.0,0.22363637387752533,1.0481349229812622,0.0679839476943016,10.481348991394043,0.0,6.537627541547408e-07,0.0,0.0,0.0,0.0,1,0.9994283318519592,True,0.0005716305458918214,0.9994283318519592,0.002601406304165721
7,confidence,0.5,1.483822226524353,0.0,2.6318764686584473,11.703722953796387,0.5026217699050903,0.0,0.2631876468658447,1.1703723669052124,0.05026217922568321,11.703722953796387,0.0,7.21883168353088e-07,0.0,0.0,0.0,0.0,1,0.9993993043899536,True,0.0006006479961797595,0.9993993043899536,0.0023943777196109295
8,confidence,0.5,1.6105619668960571,0.0,3.0053317546844482,12.71074104309082,0.3895459771156311,0.0,0.3005331754684448,1.2710741758346558,0.03895459696650505,12.71074104309082,0.0,7.858897674850596e-07,0.0,0.0,0.0,0.0,1,0.9993732571601868,True,0.0006267162971198559,0.9993732571601868,0.0023752248380333185
9,confidence,0.5,1.716610312461853,0.0,3.3551440238952637,13.506662368774414,0.30429553985595703,0.0,0.3355143964290619,1.3506662845611572,0.030429555103182793,13.506662368774414,0.0,8.455479019175982e-07,0.0,0.0,0.0,0.0,1,0.9993498921394348,True,0.0006501172319985926,0.9993498921394348,0.002365794964134693
10,confidence,0.5,1.8019771575927734,0.0,3.680788516998291,14.101346969604492,0.23763702809810638,0.0,0.3680788576602936,1.4101346731185913,0.02376370318233967,14.101346969604492,0.0,9.012175610223494e-07,0.0,0.0,0.0,0.0,1,0.9993288516998291,True,0.0006711547030135989,0.9993288516998291,0.002359714126214385
