target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,delta_accuracy,delta_loss,delta_macro_f1,delta_brier_score,delta_f1,delta_balanced_accuracy,delta_macro_recall,delta_macro_precision,delta_precision,delta_joint_loss,delta_ece,delta_recall,delta_roc_auc
0,3,1,"[0, 7, 9]","[2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 16]",180,660,15,0.6860055984524827,0.5409090909090909,0.5843621399176955,0.6893203883495146,0.5071428571428571,0.5358358922938731,0.5497883993029624,0.5535714285714286,0.5535714285714286,0.6471924603174604,0.24643386565343692,0.027443279732357315,0.5086801648139954,0.6867897717735914,0.5303030303030303,0.5682451253481894,0.6845637583892618,0.4857142857142857,0.5266474796176163,0.5439393377581668,0.5470238095238095,0.5470238095238095,0.6393650793650794,0.2468261672294075,0.016092761538245452,0.8005600571632385,-0.010606060606060619,0.0007841733211086943,-0.009188412676256807,0.00039230157597058835,-0.016117014569506094,-0.006547619047619135,-0.006547619047619135,-0.005849061544795586,-0.004756629960252834,0.29187989234924316,-0.011350518194111862,-0.021428571428571408,-0.007827380952381002
0,3,2,"[2, 8, 11]","[0, 3, 4, 5, 6, 7, 9, 10, 12, 14, 16]",180,660,15,0.6929691254588103,0.49242424242424243,0.5515394912985274,0.6299694189602446,0.49047619047619045,0.48344862872081695,0.49366338815880095,0.49315476190476193,0.49315476190476193,0.5039583333333333,0.24991166417229124,0.021071996381788534,0.5401968955993652,0.6924517330140352,0.5015151515151515,0.5699346405228758,0.6318840579710145,0.5190476190476191,0.48857092386504153,0.49530710835058667,0.4949404761904762,0.4949404761904762,0.501795634920635,0.2496532614366931,0.010834577950564302,0.7267003655433655,0.009090909090909038,-0.000517392444775111,0.005122295144224576,-0.0002584027355981289,0.018395149224348373,0.0017857142857142794,0.0017857142857142794,0.0016437201917857136,0.0019146390107699363,0.18650346994400024,-0.010237418431224232,0.028571428571428636,-0.0021626984126983384
0,3,3,"[3, 11, 16]","[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.685949839431072,0.5818181818181818,0.6461538461538462,0.7,0.6,0.5675213675213675,0.57,0.575,0.575,0.6443551587301588,0.24640506861432218,0.06881454939191994,0.5347194075584412,0.6841984498566241,0.5666666666666667,0.6520681265206812,0.6666666666666666,0.638095238095238,0.5388854688828306,0.5387596899224806,0.5398809523809524,0.5398809523809524,0.6401190476190476,0.24553014561727635,0.05240426722801089,0.8316625952720642,-0.015151515151515138,-0.0017513895744478702,-0.028635898638536883,-0.000874922997045835,0.005914280366835056,-0.035119047619047605,-0.035119047619047605,-0.031240310077519373,-0.033333333333333326,0.29694318771362305,-0.01641028216390905,0.03809523809523807,-0.004236111111111218
0,3,4,"[0, 3, 8]","[2, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",180,660,15,0.6887834157634577,0.55,0.621656050955414,0.6684931506849315,0.580952380952381,0.533257932019763,0.535941490596703,0.5383928571428571,0.5383928571428571,0.5750595238095237,0.2478204255797653,0.03764940897623692,0.5133872032165527,0.6875792459109978,0.5333333333333333,0.6306954436450839,0.6352657004830918,0.6261904761904762,0.49847529383900285,0.49852715918463536,0.49851190476190477,0.49851190476190477,0.5684722222222223,0.24721949604871432,0.019741697564269543,0.6507967710494995,-0.01666666666666672,-0.0012041698524598576,-0.03478263818076016,-0.000600929531050981,0.009039392689669912,-0.03988095238095235,-0.03988095238095235,-0.03741433141206768,-0.0332274502018397,0.13740956783294678,-0.017907711411967377,0.04523809523809519,-0.006587301587301475
0,3,5,"[2, 6, 7]","[0, 3, 4, 5, 8, 9, 10, 11, 12, 14, 16]",180,660,15,0.6855857595348567,0.5515151515151515,0.5978260869565217,0.6962025316455697,0.5238095238095238,0.5454883859440143,0.5574035914041802,0.5619047619047619,0.5619047619047619,0.6516468253968253,0.2462242214471078,0.037485366156607004,0.4862975478172302,0.6858982067904692,0.55,0.5959183673469388,0.6952380952380952,0.5214285714285715,0.5441130298273156,0.5563146997929607,0.5607142857142857,0.5607142857142857,0.6430456349206348,0.24638061842453896,0.0352015315583257,0.7709972262382507,-0.0015151515151514694,0.0003124472556125246,-0.0013753561166987005,0.00015639697743116687,-0.001907719609582914,-0.0011904761904761862,-0.0011904761904761862,-0.0010888916112195002,-0.000964436407474456,0.2846996784210205,-0.002283834598281305,-0.0023809523809523725,-0.008601190476190457
0,3,6,"[4, 11, 16]","[0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.684114960485033,0.603030303030303,0.6700251889168766,0.7112299465240641,0.6333333333333333,0.5859631648006436,0.5863842040312628,0.5916666666666667,0.5916666666666667,0.6697916666666667,0.24548795686030972,0.09081490256569605,0.5474360585212708,0.6823694778114562,0.6287878787878788,0.7167630057803468,0.6966292134831461,0.7380952380952381,0.5891507336594042,0.5925006532532009,0.5877976190476191,0.5877976190476191,0.6702876984126984,0.24461536199781034,0.11559456884860987,0.8654128909111023,0.025757575757575757,-0.0017454826735767703,0.003187568858760592,-0.0008725948624993818,0.04673781686347023,-0.0038690476190476053,-0.0038690476190476053,0.006116449221938103,-0.014600733040918024,0.31797683238983154,0.024779666282913823,0.10476190476190483,0.0004960317460317443
0,6,1,"[2, 3, 4, 7, 12, 14]","[0, 5, 6, 8, 9, 10, 11, 16]",360,480,15,0.6771787144089895,0.68125,0.7366609294320138,0.7615658362989324,0.7133333333333334,0.6664834990167985,0.664702516139416,0.6705555555555556,0.6705555555555556,0.7610185185185184,0.24202354599733777,0.16676466365655257,0.43980786204338074,0.6755996205336544,0.7,0.7631578947368421,0.7532467532467533,0.7733333333333333,0.6770334928229665,0.6789489580187255,0.6755555555555555,0.6755555555555555,0.7464074074074074,0.24123419342680302,0.18356625288724904,0.8356882333755493,0.018749999999999933,-0.001579093875335058,0.010549993806168056,-0.0007893525705347515,0.026496965304828368,0.004999999999999893,0.004999999999999893,0.014246441879309457,-0.0083190830521791,0.3958803713321686,0.016801589230696468,0.05999999999999994,-0.01461111111111102
0,6,2,"[4, 5, 6, 8, 9, 12]","[0, 2, 3, 7, 10, 11, 14, 16]",360,480,15,0.6821882135498396,0.6666666666666666,0.7212543554006968,0.7554744525547445,0.69,0.6533732916899857,0.6520090709375664,0.6588888888888889,0.6588888888888889,0.7215925925925926,0.24452388132253772,0.1550610749671857,0.4570605754852295,0.6792600642256882,0.6583333333333333,0.7537537537537538,0.6857923497267759,0.8366666666666667,0.5979653122510266,0.6279838941616336,0.5988888888888889,0.5988888888888889,0.7148981481481481,0.2430622490832071,0.1442015297710896,0.6897799968719482,-0.008333333333333304,-0.002928149324151419,-0.05540797943895914,-0.0014616322393306291,0.03249939835305693,-0.05999999999999994,-0.05999999999999994,-0.024025176775932855,-0.0696821028279686,0.23271942138671875,-0.01085954519609611,0.14666666666666672,-0.006694444444444447
0,6,3,"[0, 2, 3, 6, 7, 16]","[4, 5, 8, 9, 10, 11, 12, 14]",360,480,15,0.6867467363444668,0.5104166666666666,0.5574387947269304,0.6406926406926406,0.49333333333333335,0.5048266234706913,0.5151254368121838,0.5161111111111111,0.5161111111111111,0.6224444444444444,0.24680540617328106,0.01666901558637628,0.40826576948165894,0.6883847691314645,0.5041666666666667,0.5559701492537313,0.6313559322033898,0.49666666666666665,0.49732469726837514,0.5062517365934982,0.5066666666666667,0.5066666666666667,0.5936851851851852,0.24762387850461215,0.019660527879993114,0.836809515953064,-0.006249999999999978,0.0016380327869977007,-0.007501926202316156,0.0008184723313310882,-0.0014686454731990262,-0.009444444444444366,-0.009444444444444366,-0.00887370021868561,-0.009336708489250833,0.42854374647140503,0.002991512293616834,0.0033333333333332993,-0.02875925925925915
1,3,1,"[12, 13, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15]",180,780,15,0.7061983375586145,0.382051282051282,0.4329411764705882,0.3016393442622951,0.7666666666666667,0.37703396851698423,0.48611378977820635,0.48888888888888893,0.48888888888888893,0.4521836419753087,0.25651827437444524,0.13657992260578347,0.5131276249885559,0.7039096503321124,0.3974358974358974,0.41102756892230574,0.2939068100358423,0.6833333333333333,0.3971148343299193,0.47578223384675,0.47685185185185186,0.47685185185185186,0.4458641975308642,0.2553757108734514,0.12053226499985426,0.5782502293586731,0.015384615384615385,-0.0022886872265021063,0.020080865812935056,-0.0011425635009938429,-0.021913607548282477,-0.012037037037037068,-0.012037037037037068,-0.010331555931456349,-0.007732534226452814,0.06512260437011719,-0.016047657605929216,-0.08333333333333337,-0.006319444444444489
