step,target_loss_component,decoded_distance_reference,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,typicality,discrepancy,weighted_typicality,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm,low_gradient_steps,physiological_valid,feasible,optimization_stage,typicality_no_improvement_steps,typicality_threshold,typical,optimization_success,decoder_latent_rmse,d_z,delta_dec_joint,selected_step_so_far
0,confidence,original_reconstruction,0.01,1.3865070343017578,1.1461857557296753,0.0,0.0,0.24032121896743774,1.1461857557296753,0.0,0.0,0.24032121896743774,0.0,1.1461857557296753,2.0422794818878174,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9901025295257568,1.01631498336792,0.0,0,0.25427743792533875,False,0.7457225918769836,0.25427743792533875,1.454744815826416,0,False,False,target,0,1.0264744748338128,True,False,0.0,0.0,0.0,0
1,confidence,original_reconstruction,0.01,1.6923456192016602,0.6098751425743103,9.353145287605003e-05,0.00902814231812954,1.0815582275390625,0.6098751425743103,9.353145287605003e-06,0.0009028142667375505,1.0815582275390625,0.00902814231812954,0.6098751425743103,0.9417524933815002,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9770894050598145,1.0029573440551758,0.0,0,0.4347350299358368,False,0.5652649998664856,0.4347350299358368,2.227015495300293,0,False,False,target,0,1.0264744748338128,True,False,0.009671165607869625,0.10027265548706055,0.09501653909683228,0
2,confidence,original_reconstruction,0.01,199.57489013671875,0.24443863332271576,0.00018889621424023062,0.015273893252015114,199.3289031982422,0.24443863332271576,1.888962106022518e-05,0.0015273893950507045,199.3289031982422,0.015273893252015114,0.24443863332271576,0.34926965832710266,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9647394418716431,0.9902803897857666,0.0,1,0.6265152096748352,False,0.3734847605228424,0.6265152096748352,756.0234985351562,0,False,False,target,0,1.0264744748338128,True,False,0.013743951916694641,0.19597528874874115,0.12358759343624115,0
3,confidence,original_reconstruction,0.01,58.55588912963867,0.07264478504657745,0.0002819669898599386,0.02716483734548092,58.480499267578125,0.07264478504657745,2.819669862219598e-05,0.0027164837811142206,58.480499267578125,0.02716483734548092,0.07264478504657745,0.15147621929645538,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9561203718185425,0.9814331531524658,0.0,1,0.7439448833465576,False,0.25605514645576477,0.7439448833465576,71.57927703857422,0,False,False,target,0,1.0264744748338128,True,False,0.016791872680187225,0.262925922870636,0.16481758654117584,0
4,confidence,original_reconstruction,0.01,12.40875244140625,0.0,0.00036683163489215076,0.03308231011033058,12.405407905578613,0.0,3.6683162761619315e-05,0.003308231011033058,12.405407905578613,0.03308231011033058,0.0,0.07632658630609512,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9497092366218567,0.9748522639274597,0.0,1,0.8142639994621277,True,0.18573595583438873,0.8142639994621277,11.396174430847168,0,False,False,target,0,1.0264744748338128,True,False,0.019152848049998283,0.3130072057247162,0.18188543617725372,0
5,confidence,original_reconstruction,0.01,0.72569340467453,0.0,0.0004517572233453393,0.03528324142098427,0.722119927406311,0.0,4.517572233453393e-05,0.0035283241886645555,0.722119927406311,0.03528324142098427,0.0,0.04413338005542755,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9448525905609131,0.9698670506477356,0.0,1,0.8570021390914917,True,0.14299778640270233,0.8570021390914917,1.0234289169311523,0,False,False,target,0,1.0264744748338128,True,False,0.021254580467939377,0.35118964314460754,0.1878383308649063,5
6,confidence,original_reconstruction,0.01,1.2170993089675903,0.0,0.0005545758176594973,0.04023399576544762,1.2130204439163208,0.0,5.5457581765949726e-05,0.004023399669677019,1.2130204439163208,0.04023399576544762,0.0,0.028032761067152023,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9409652352333069,0.9658768177032471,0.0,1,0.8851305842399597,True,0.11486946791410446,0.8851305842399597,2.916400909423828,0,False,False,target,0,1.0264744748338128,True,False,0.023549433797597885,0.38192009925842285,0.20058412849903107,5
7,confidence,original_reconstruction,0.01,1.2938036918640137,0.0,0.0006630989955738187,0.04855593666434288,1.288881778717041,0.0,6.630989810219035e-05,0.004855593666434288,1.288881778717041,0.04855593666434288,0.0,0.01920258067548275,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9377955794334412,0.9626232385635376,0.0,1,0.9044239521026611,True,0.09557609260082245,0.9044239521026611,1.920127511024475,0,False,False,target,0,1.0264744748338128,True,False,0.02575070969760418,0.40708985924720764,0.2203541100025177,5
8,confidence,original_reconstruction,0.01,0.8600752949714661,0.0,0.0007704004528932273,0.05454918369650841,0.8545433282852173,0.0,7.704004383413121e-05,0.005454918369650841,0.8545433282852173,0.05454918369650841,0.0,0.013952873647212982,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9351645112037659,0.9599224925041199,0.0,1,0.918225109577179,True,0.08177489787340164,0.918225109577179,1.353712558746338,0,False,False,target,0,1.0264744748338128,True,False,0.027756087481975555,0.4279642105102539,0.23355767130851746,5
9,confidence,original_reconstruction,0.01,0.3478345572948456,0.0,0.0008771065040491521,0.05902154743671417,0.34184467792510986,0.0,8.771065040491521e-05,0.005902154836803675,0.34184467792510986,0.05902154743671417,0.0,0.010626671835780144,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9329500794410706,0.9576494693756104,0.0,1,0.928439736366272,True,0.07156027108430862,0.928439736366272,0.4151291847229004,0,False,False,target,0,1.0264744748338128,True,False,0.029615983366966248,0.44559621810913086,0.24294351041316986,9
