epoch,accuracy,autoencoder_loss,kl_loss,loss,predicted_class_0_fraction,predicted_class_1_fraction,reconstruction_loss,true_class_0_fraction,true_class_1_fraction,vc_class_prior_kl,vc_cross_entropy,vc_discriminator_kl,vc_discriminator_loss,vc_latent_kl,vc_loss,weighted_kl_loss,weighted_vc_class_prior_kl,weighted_vc_cross_entropy,weighted_vc_discriminator_kl,weighted_vc_latent_kl,val_accuracy,val_autoencoder_loss,val_kl_loss,val_loss,val_predicted_class_0_fraction,val_predicted_class_1_fraction,val_reconstruction_loss,val_true_class_0_fraction,val_true_class_1_fraction,val_vc_class_prior_kl,val_vc_cross_entropy,val_vc_discriminator_kl,val_vc_discriminator_loss,val_vc_latent_kl,val_vc_loss,val_weighted_kl_loss,val_weighted_vc_class_prior_kl,val_weighted_vc_cross_entropy,val_weighted_vc_discriminator_kl,val_weighted_vc_latent_kl
0,0.67568439245224,1.3934108018875122,0.2099887877702713,0.690662145614624,0.1916264146566391,0.8083735704421997,1.1834219694137573,0.2753623127937317,0.7246376872062683,0.11549775302410126,0.690662145614624,0.041766852140426636,0.0,0.8344288468360901,0.690662145614624,0.2099887877702713,0.0,0.690662145614624,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.7080515027046204,1.4191782474517822,0.2304365336894989,0.6835198402404785,0.13671498000621796,0.8632850050926208,1.1887415647506714,0.2753623127937317,0.7246376872062683,0.11127370595932007,0.6835198402404785,0.0412585623562336,0.0,0.7443484663963318,0.6835198402404785,0.2304365336894989,0.0,0.6835198402404785,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.7202898263931274,1.3793916702270508,0.19617588818073273,0.6752128005027771,0.10805153101682663,0.8919484615325928,1.1832157373428345,0.2753623127937317,0.7246376872062683,0.10721483081579208,0.6752128005027771,0.016691595315933228,0.0,0.7399408221244812,0.6752128005027771,0.19617588818073273,0.0,0.6752128005027771,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.7252817749977112,1.3753690719604492,0.18928076326847076,0.6677435040473938,0.11078905314207077,0.8892109394073486,1.186087965965271,0.2753623127937317,0.7246376872062683,0.10329049825668335,0.6677435040473938,0.015643570572137833,0.0,0.7389404773712158,0.6677435040473938,0.18928076326847076,0.0,0.6677435040473938,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.7334943413734436,1.372011661529541,0.1839144229888916,0.6592453718185425,0.08872786164283752,0.9112721681594849,1.1880967617034912,0.2753623127937317,0.7246376872062683,0.0994986817240715,0.6592453718185425,0.019134655594825745,0.0,0.7829513549804688,0.6592453718185425,0.1839144229888916,0.0,0.6592453718185425,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.7380031943321228,1.3741474151611328,0.18564309179782867,0.6497067213058472,0.0816425085067749,0.9183574914932251,1.1885042190551758,0.2753623127937317,0.7246376872062683,0.09585119783878326,0.6497067213058472,0.020619429647922516,0.0,0.7790425419807434,0.6497067213058472,0.18564309179782867,0.0,0.6497067213058472,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.7380031943321228,1.385463833808899,0.19340775907039642,0.6398441195487976,0.08872786164283752,0.9112721681594849,1.1920560598373413,0.2753623127937317,0.7246376872062683,0.09235604107379913,0.6398441195487976,0.027825023978948593,0.0,0.7420921921730042,0.6398441195487976,0.19340775907039642,0.0,0.6398441195487976,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.7425121068954468,1.3860853910446167,0.19420310854911804,0.6282432675361633,0.08711755275726318,0.9128824472427368,1.1918823719024658,0.2753623127937317,0.7246376872062683,0.0890146791934967,0.6282432675361633,0.026021378114819527,0.0,0.7326835989952087,0.6282432675361633,0.19420310854911804,0.0,0.6282432675361633,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.7452495694160461,1.3917174339294434,0.19935740530490875,0.6162885427474976,0.08824476599693298,0.9117552042007446,1.1923600435256958,0.2753623127937317,0.7246376872062683,0.08584772050380707,0.6162885427474976,0.032063256949186325,0.0,0.7165933847427368,0.6162885427474976,0.19935740530490875,0.0,0.6162885427474976,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.7476650476455688,1.4064966440200806,0.21189865469932556,0.6041633486747742,0.09001610428094864,0.9099838733673096,1.1945983171463013,0.2753623127937317,0.7246376872062683,0.0828528106212616,0.6041633486747742,0.03758293390274048,0.0,0.7186114192008972,0.6041633486747742,0.21189865469932556,0.0,0.6041633486747742,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
