step,target_loss_component,decoded_distance_reference,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,typicality,discrepancy,weighted_typicality,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm,low_gradient_steps,physiological_valid,feasible,optimization_stage,typicality_no_improvement_steps,typicality_threshold,typical,optimization_success,decoder_latent_rmse,d_z,delta_dec_joint,selected_step_so_far
0,confidence,original_reconstruction,0.01,1.2421419620513916,0.8678378462791443,0.0,0.0,0.37430405616760254,0.8678378462791443,0.0,0.0,0.37430405616760254,0.0,0.8678378462791443,1.4490704536437988,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9861589670181274,1.012266993522644,0.0,0,0.33588671684265137,False,0.6641132831573486,0.33588671684265137,1.576497197151184,0,False,False,target,0,1.0264744748338128,True,False,0.0,0.0,0.0,0
1,confidence,original_reconstruction,0.01,1543.6556396484375,0.37843847274780273,9.513567056274042e-05,0.006957338657230139,1543.2764892578125,0.37843847274780273,9.513567420071922e-06,0.0006957338773645461,1543.2764892578125,0.006957338657230139,0.37843847274780273,0.5438973307609558,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9732237458229065,0.9989893436431885,0.0,1,0.5479441285133362,False,0.4520558714866638,0.5479441285133362,3252.207275390625,0,False,False,target,0,1.0264744748338128,True,False,0.009753751568496227,0.10695460438728333,0.08341066539287567,0
2,confidence,original_reconstruction,0.01,146.41848754882812,0.1723373979330063,0.00019258017709944397,0.012325696647167206,146.24490356445312,0.1723373979330063,1.9258017346146517e-05,0.001232569687999785,146.24490356445312,0.012325696647167206,0.1723373979330063,0.25836285948753357,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9652787446975708,0.9908339977264404,0.0,1,0.6733561158180237,False,0.32664385437965393,0.6733561158180237,141.0958251953125,0,False,False,target,0,1.0264744748338128,True,False,0.01387732569128275,0.17193754017353058,0.11102115362882614,0
3,confidence,original_reconstruction,0.01,4.476036071777344,0.06371040642261505,0.00030320556834340096,0.014738162979483604,4.410821437835693,0.06371040642261505,3.0320557925733738e-05,0.0014738163445144892,4.410821437835693,0.014738162979483604,0.06371040642261505,0.14307047426700592,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9595344662666321,0.9849376678466797,0.0,1,0.7506213784217834,False,0.24937868118286133,0.7506213784217834,4.338741302490234,0,False,False,target,0,1.0264744748338128,True,False,0.01741279847919941,0.21815381944179535,0.12140083312988281,0
4,confidence,original_reconstruction,0.01,2.185429811477661,0.0,0.0004258138360455632,0.017408864572644234,2.1836464405059814,0.0,4.2581385059747845e-05,0.0017408864805474877,2.1836464405059814,0.017408864572644234,0.0,0.07256367057561874,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9532870650291443,0.9785248637199402,0.0,1,0.8186643719673157,True,0.1813356876373291,0.8186643719673157,4.538169860839844,0,False,False,target,0,1.0264744748338128,True,False,0.02063525654375553,0.26698413491249084,0.13194265961647034,0
5,confidence,original_reconstruction,0.01,3.0550694465637207,0.0,0.0005523997242562473,0.026372022926807404,3.0523769855499268,0.0,5.523997242562473e-05,0.002637202385812998,3.0523769855499268,0.026372022926807404,0.0,0.041469890624284744,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9483556151390076,0.9734628200531006,0.0,1,0.8612184524536133,True,0.13878154754638672,0.8612184524536133,3.0200681686401367,0,False,False,target,0,1.0264744748338128,True,False,0.02350318431854248,0.30522871017456055,0.16239464282989502,0
6,confidence,original_reconstruction,0.01,1.9434711933135986,0.0,0.0006870885845273733,0.03219083696603775,1.940183401107788,0.0,6.870886136312038e-05,0.0032190836500376463,1.940183401107788,0.03219083696603775,0.0,0.026014769449830055,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9443683624267578,0.9693700075149536,0.0,1,0.8892173767089844,True,0.1107826679944992,0.8892173767089844,2.3680765628814697,0,False,False,target,0,1.0264744748338128,True,False,0.02621237374842167,0.33593136072158813,0.17941805720329285,0
7,confidence,original_reconstruction,0.01,0.1743534952402115,0.0,0.0008262053597718477,0.03605850040912628,0.17066502571105957,0.0,8.262053597718477e-05,0.003605850040912628,0.17066502571105957,0.03605850040912628,0.0,0.01756623014807701,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9410564303398132,0.9659703969955444,0.0,1,0.9084860682487488,True,0.09151395410299301,0.9084860682487488,0.2941890060901642,0,False,False,target,0,1.0264744748338128,True,False,0.028743788599967957,0.3610900044441223,0.1898907572031021,7
8,confidence,original_reconstruction,0.01,0.4065152704715729,0.0,0.000969121465459466,0.04036282002925873,0.4023820757865906,0.0,9.69121465459466e-05,0.004036282189190388,0.4023820757865906,0.04036282002925873,0.0,0.012574912048876286,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9382554888725281,0.9630953073501587,0.0,1,0.9222835898399353,True,0.07771647721529007,0.9222835898399353,0.6487053632736206,0,False,False,target,0,1.0264744748338128,True,False,0.03113071620464325,0.3822043538093567,0.2009049952030182,7
9,confidence,original_reconstruction,0.01,0.524818480014801,0.0,0.001109935692511499,0.0454605296254158,0.5201614499092102,0.0,0.00011099356925114989,0.004546053241938353,0.5201614499092102,0.0454605296254158,0.0,0.00943642109632492,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9358794689178467,0.9606564044952393,0.0,1,0.9324936866760254,True,0.067506343126297,0.9324936866760254,0.9418334364891052,0,False,False,target,0,1.0264744748338128,True,False,0.03331569582223892,0.40011078119277954,0.21321474015712738,7
